Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,1,2017-01-02,2017-01-08,107,107,,0,0,0,0,0,1,0,0,1,1,106,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,2,2017-01-09,2017-01-15,58,58,,0,0,0,0,0,1,0,0,1,1,57,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,3,2017-01-16,2017-01-22,89,89,,0,0,0,0,0,0,0,0,0,0,89,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,4,2017-01-23,2017-01-29,69,69,,0,0,0,0,0,0,0,0,0,0,69,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,5,2017-01-30,2017-02-05,93,93,,0,0,0,0,0,1,0,0,1,1,92,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,6,2017-02-06,2017-02-12,105,105,,0,1,0,0,1,1,0,0,1,2,103,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,7,2017-02-13,2017-02-19,76,76,,0,2,0,0,2,1,0,0,1,3,73,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,8,2017-02-20,2017-02-26,56,56,,0,0,0,0,0,0,0,0,0,0,56,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,9,2017-02-27,2017-03-05,70,70,,0,0,0,0,0,0,0,0,0,0,70,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,10,2017-03-06,2017-03-12,60,60,,0,1,0,0,1,0,0,0,0,1,59,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,11,2017-03-13,2017-03-19,110,110,,0,0,0,0,0,0,0,0,0,0,110,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,12,2017-03-20,2017-03-26,39,39,,0,0,0,0,0,0,0,0,0,0,39,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,13,2017-03-27,2017-04-02,76,76,,0,0,0,0,0,0,0,0,0,0,76,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,14,2017-04-03,2017-04-09,37,37,,0,0,0,0,0,0,0,0,0,0,37,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,15,2017-04-10,2017-04-16,45,45,,0,0,0,0,0,0,0,0,0,0,45,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,16,2017-04-17,2017-04-23,35,35,,0,0,0,0,0,0,0,0,0,0,35,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,17,2017-04-24,2017-04-30,52,52,,0,0,0,0,0,0,0,0,0,0,52,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,18,2017-05-01,2017-05-07,39,39,,0,0,0,0,0,0,0,0,0,0,39,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,19,2017-05-08,2017-05-14,44,44,,0,0,0,0,0,0,0,0,0,0,44,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,20,2017-05-15,2017-05-21,48,48,,0,0,0,0,0,0,0,0,0,0,48,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,21,2017-05-22,2017-05-28,25,25,,0,0,0,0,0,0,0,0,0,0,25,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,22,2017-05-29,2017-06-04,46,46,,0,0,0,0,0,0,0,0,0,0,46,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,23,2017-06-05,2017-06-11,35,35,,0,0,0,0,0,0,0,0,0,0,35,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,24,2017-06-12,2017-06-18,45,45,,0,0,0,0,0,0,0,0,0,0,45,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,25,2017-06-19,2017-06-25,31,31,,0,0,0,0,0,0,0,0,0,0,31,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,26,2017-06-26,2017-07-02,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,27,2017-07-03,2017-07-09,46,46,,0,0,0,0,0,0,0,0,0,0,46,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,28,2017-07-10,2017-07-16,20,20,,0,0,0,0,0,0,0,0,0,0,20,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,29,2017-07-17,2017-07-23,43,43,,0,0,0,0,0,0,0,0,0,0,43,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,30,2017-07-24,2017-07-30,43,43,,0,0,0,0,0,0,0,0,0,0,43,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,31,2017-07-31,2017-08-06,30,30,,0,0,0,0,0,0,0,0,0,0,30,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,32,2017-08-07,2017-08-13,47,47,,0,0,0,0,0,0,0,0,0,0,47,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,33,2017-08-14,2017-08-20,36,36,,0,0,0,0,0,0,0,0,0,0,36,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,34,2017-08-21,2017-08-27,42,42,,0,0,0,0,0,0,0,0,0,0,42,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,35,2017-08-28,2017-09-03,33,33,,0,0,0,0,0,0,0,0,0,0,33,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,36,2017-09-04,2017-09-10,23,23,,0,0,0,0,0,0,0,0,0,0,23,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,37,2017-09-11,2017-09-17,47,47,,0,0,0,0,0,0,0,0,0,0,47,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,38,2017-09-18,2017-09-24,37,37,,0,0,0,0,0,0,0,0,0,0,37,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,39,2017-09-25,2017-10-01,40,40,,0,0,0,0,0,0,0,0,0,0,40,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,40,2017-10-02,2017-10-08,39,39,,0,1,0,0,1,0,0,0,0,1,38,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,41,2017-10-09,2017-10-15,46,46,,0,1,0,0,1,0,0,0,0,1,45,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,42,2017-10-16,2017-10-22,63,63,,0,0,0,0,0,0,0,0,0,0,63,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,43,2017-10-23,2017-10-29,54,54,,0,4,0,0,4,0,0,0,0,4,50,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,44,2017-10-30,2017-11-05,67,67,,0,0,0,0,0,0,0,0,0,0,67,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,45,2017-11-06,2017-11-12,30,30,,0,5,0,0,5,0,0,0,0,5,25,No Report

Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,46,2017-11-13,2017-11-19,49,49,,1,5,0,0,6,0,0,0,0,6,43,No Report

