Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Algeria,African Region of WHO,Northern Africa,2018,1,2018-01-01,2018-01-07,45,45,,25,1,,0,26,2,,,2,28,20,Regional Outbreak

Algeria,African Region of WHO,Northern Africa,2018,2,2018-01-08,2018-01-14,109,109,,36,2,,0,38,,,0,0,38,71,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,3,2018-01-15,2018-01-21,99,99,,23,1,,0,24,2,,,2,26,73,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,4,2018-01-22,2018-01-28,78,78,,29,1,0,0,30,5,,,5,35,43,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,5,2018-01-29,2018-02-04,77,77,,36,2,0,0,38,9,,,9,47,30,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,6,2018-02-05,2018-02-11,69,69,,21,3,0,0,24,,,12,12,36,45,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,7,2018-02-12,2018-02-18,62,62,,15,3,,,18,9,,,9,27,35,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,8,2018-02-19,2018-02-25,46,46,,3,3,0,0,6,11,0,0,11,17,29,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,9,2018-02-26,2018-03-04,42,42,,10,1,0,0,11,8,0,0,8,19,23,Widespread Outbreak

Algeria,African Region of WHO,Northern Africa,2018,10,2018-03-05,2018-03-11,34,34,,1,3,0,0,4,6,0,0,6,10,24,Regional Outbreak

Algeria,African Region of WHO,Northern Africa,2018,11,2018-03-12,2018-03-18,22,22,,4,2,0,0,6,6,0,0,6,12,10,Regional Outbreak

Algeria,African Region of WHO,Northern Africa,2018,12,2018-03-19,2018-03-25,12,12,,4,4,0,0,8,2,0,0,2,10,2,Regional Outbreak

Algeria,African Region of WHO,Northern Africa,2018,13,2018-03-26,2018-04-01,16,16,,0,1,0,0,1,1,0,0,1,2,14,Local Outbreak

Algeria,African Region of WHO,Northern Africa,2018,14,2018-04-02,2018-04-08,6,6,,,,,,0,2,,,2,2,4,Local Outbreak

Algeria,African Region of WHO,Northern Africa,2018,15,2018-04-09,2018-04-15,0,0,,0,0,0,0,0,0,0,0,0,0,,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,16,2018-04-16,2018-04-22,2,2,,0,0,0,0,0,0,0,0,0,0,2,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,17,2018-04-23,2018-04-29,3,3,,1,0,0,0,1,0,0,0,0,1,2,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,18,2018-04-30,2018-05-06,0,0,,,,,,0,,,0,0,0,,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,19,2018-05-07,2018-05-13,1,1,,0,0,0,0,0,0,0,0,0,0,1,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,20,2018-05-14,2018-05-20,0,0,,,,,,0,,,0,0,0,,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,21,2018-05-21,2018-05-27,0,0,,,,,,0,,,0,0,0,,Sporadic

Algeria,African Region of WHO,Northern Africa,2018,22,2018-05-28,2018-06-03,1,1,,,,,,0,,,0,0,0,1,Sporadic

