Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Angola,African Region of WHO,Middle Africa,2011,1,2011-01-03,2011-01-09,3,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Angola,African Region of WHO,Middle Africa,2011,2,2011-01-10,2011-01-16,4,,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Angola,African Region of WHO,Middle Africa,2011,3,2011-01-17,2011-01-23,4,1,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,4,2011-01-24,2011-01-30,11,11,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Angola,African Region of WHO,Middle Africa,2011,5,2011-01-31,2011-02-06,5,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,6,2011-02-07,2011-02-13,5,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,7,2011-02-14,2011-02-20,6,6,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,8,2011-02-21,2011-02-27,4,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,9,2011-02-28,2011-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Angola,African Region of WHO,Middle Africa,2011,10,2011-03-07,2011-03-13,11,0,0,0,2,0,0,2,0,0,0,0,2,,No Report

Angola,African Region of WHO,Middle Africa,2011,11,2011-03-14,2011-03-20,3,18,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,12,2011-03-21,2011-03-27,1,0,0,0,1,0,0,1,0,0,0,0,1,,No Report

Angola,African Region of WHO,Middle Africa,2011,13,2011-03-28,2011-04-03,6,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,14,2011-04-04,2011-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,15,2011-04-11,2011-04-17,12,18,0,0,2,0,0,2,0,0,0,0,2,,No Report

Angola,African Region of WHO,Middle Africa,2011,16,2011-04-18,2011-04-24,5,0,0,0,1,0,0,1,0,0,0,0,1,,No Report

Angola,African Region of WHO,Middle Africa,2011,17,2011-04-25,2011-05-01,3,5,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,18,2011-05-02,2011-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,19,2011-05-09,2011-05-15,6,6,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,20,2011-05-16,2011-05-22,8,8,0,0,1,0,0,1,0,0,0,0,1,,No Report

Angola,African Region of WHO,Middle Africa,2011,21,2011-05-23,2011-05-29,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,22,2011-05-30,2011-06-05,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,23,2011-06-06,2011-06-12,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,24,2011-06-13,2011-06-19,2,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Angola,African Region of WHO,Middle Africa,2011,25,2011-06-20,2011-06-26,9,11,0,0,0,0,0,0,0,0,0,0,0,,No Report

