Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Armenia,European Region of WHO,Western Asia,2015,1,2014-12-29,2015-01-04,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,2,2015-01-05,2015-01-11,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,3,2015-01-12,2015-01-18,,14,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,4,2015-01-19,2015-01-25,,48,0,2,1,,0,3,0,0,0,0,3,,No Report

Armenia,European Region of WHO,Western Asia,2015,5,2015-01-26,2015-02-01,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,6,2015-02-02,2015-02-08,,22,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,7,2015-02-09,2015-02-15,,37,0,0,0,,0,0,0,0,8,8,8,,No Report

Armenia,European Region of WHO,Western Asia,2015,8,2015-02-16,2015-02-22,,35,0,1,0,,0,1,0,0,18,18,19,,No Report

Armenia,European Region of WHO,Western Asia,2015,9,2015-02-23,2015-03-01,,32,0,2,0,,0,2,0,0,3,3,5,,No Report

Armenia,European Region of WHO,Western Asia,2015,10,2015-03-02,2015-03-08,,33,0,1,0,,0,1,0,0,11,11,12,,No Report

Armenia,European Region of WHO,Western Asia,2015,11,2015-03-09,2015-03-15,,45,0,2,0,,0,2,0,0,18,18,20,,No Report

Armenia,European Region of WHO,Western Asia,2015,12,2015-03-16,2015-03-22,,61,0,2,0,,0,2,0,0,6,6,8,,No Report

Armenia,European Region of WHO,Western Asia,2015,13,2015-03-23,2015-03-29,,76,0,3,0,,0,3,0,0,6,6,9,,No Report

Armenia,European Region of WHO,Western Asia,2015,14,2015-03-30,2015-04-05,,50,0,4,0,,0,4,0,0,8,8,12,,No Report

Armenia,European Region of WHO,Western Asia,2015,15,2015-04-06,2015-04-12,,41,0,0,0,,0,0,0,0,3,3,3,,No Report

Armenia,European Region of WHO,Western Asia,2015,16,2015-04-13,2015-04-19,,65,0,1,0,,0,1,0,0,0,0,1,,No Report

Armenia,European Region of WHO,Western Asia,2015,17,2015-04-20,2015-04-26,,12,0,0,0,,0,0,0,0,1,1,1,,No Report

Armenia,European Region of WHO,Western Asia,2015,18,2015-04-27,2015-05-03,,18,0,0,0,,0,0,0,0,1,1,1,,No Report

Armenia,European Region of WHO,Western Asia,2015,19,2015-05-04,2015-05-10,,50,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,20,2015-05-11,2015-05-17,,20,0,4,0,,0,4,0,0,0,0,4,,No Report

Armenia,European Region of WHO,Western Asia,2015,21,2015-05-18,2015-05-24,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,22,2015-05-25,2015-05-31,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,23,2015-06-01,2015-06-07,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,24,2015-06-08,2015-06-14,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,25,2015-06-15,2015-06-21,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,26,2015-06-22,2015-06-28,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,27,2015-06-29,2015-07-05,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,28,2015-07-06,2015-07-12,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,29,2015-07-13,2015-07-19,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,30,2015-07-20,2015-07-26,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,31,2015-07-27,2015-08-02,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,32,2015-08-03,2015-08-09,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,33,2015-08-10,2015-08-16,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,34,2015-08-17,2015-08-23,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,35,2015-08-24,2015-08-30,,,,,,,,,,,,,,,No Report

Armenia,European Region of WHO,Western Asia,2015,36,2015-08-31,2015-09-06,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Armenia,European Region of WHO,Western Asia,2015,37,2015-09-07,2015-09-13,,,,,,,,,,,,,,,No Report

