Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,1,2017-01-02,2017-01-08,,40,,11,,,,11,,,0,0,11,29,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,2,2017-01-09,2017-01-15,,2,,,,,,0,,,0,0,0,2,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,3,2017-01-16,2017-01-22,,14,,2,,,,2,,,1,1,3,11,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,4,2017-01-23,2017-01-29,,12,,1,,,,1,,,0,0,1,11,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,5,2017-01-30,2017-02-05,,19,,,,,,0,,,0,0,0,19,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,6,2017-02-06,2017-02-12,,6,,1,,,,1,,,0,0,1,5,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,7,2017-02-13,2017-02-19,,5,,1,,,,1,,,0,0,1,4,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,8,2017-02-20,2017-02-26,,11,,2,,,,2,,,0,0,2,9,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,9,2017-02-27,2017-03-05,,13,,,,,,0,,,2,2,2,11,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,10,2017-03-06,2017-03-12,,7,,,,,,0,,,0,0,0,7,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,11,2017-03-13,2017-03-19,,6,,,,,,0,,,0,0,0,6,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,12,2017-03-20,2017-03-26,,7,,3,,,,3,,,0,0,3,4,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,13,2017-03-27,2017-04-02,,6,,,,,,0,,,1,1,1,5,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,14,2017-04-03,2017-04-09,,3,,,,,,0,,,0,0,0,3,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,15,2017-04-10,2017-04-16,,1,,,,,,0,,,0,0,0,1,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,16,2017-04-17,2017-04-23,,2,,,,,,0,,,0,0,0,2,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,17,2017-04-24,2017-04-30,,1,,,,,,0,,,0,0,0,1,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,18,2017-05-01,2017-05-07,,2,,,,,,0,,,0,0,0,2,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,19,2017-05-08,2017-05-14,,,,,,,,,,,,,,,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,20,2017-05-15,2017-05-21,,1,,,,,,0,,,0,0,0,1,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,21,2017-05-22,2017-05-28,,,,,,,,,,,,,,,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,22,2017-05-29,2017-06-04,,1,,,,,,0,,,0,0,0,1,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,23,2017-06-05,2017-06-11,,,,,,,,,,,,,,,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,24,2017-06-12,2017-06-18,,,,,,,,,,,,,,,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,25,2017-06-19,2017-06-25,,1,,,,,,0,,,1,1,1,,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,26,2017-06-26,2017-07-02,,6,,,,,,0,,,1,1,1,5,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,27,2017-07-03,2017-07-09,,4,,,,,,0,,,3,3,3,1,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,28,2017-07-10,2017-07-16,,6,,,,,,0,,,5,5,5,1,No Report

Aruba,Region of the Americas of WHO,Central America and Caribbean,2017,29,2017-07-17,2017-07-23,,6,,,,,,0,,,5,5,5,1,No Report

