Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Azerbaijan,European Region of WHO,Western Asia,2016,1,2016-01-04,2016-01-10,,34,0,0,6,,3,9,0,0,0,0,9,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,2,2016-01-11,2016-01-17,,23,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,3,2016-01-18,2016-01-24,,127,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,4,2016-01-25,2016-01-31,,121,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,5,2016-02-01,2016-02-07,,165,0,0,6,,3,9,0,0,4,4,13,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,6,2016-02-08,2016-02-14,,96,0,0,0,,0,0,0,17,17,34,34,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,7,2016-02-15,2016-02-21,,62,0,0,10,,5,15,0,10,10,20,35,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,8,2016-02-22,2016-02-28,,57,0,0,8,,4,12,0,7,7,14,26,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,9,2016-02-29,2016-03-06,,94,0,0,4,,2,6,0,10,10,20,26,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,10,2016-03-07,2016-03-13,,65,0,0,6,,3,9,0,18,18,36,45,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,11,2016-03-14,2016-03-20,,46,0,0,4,,2,6,0,27,27,54,60,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,12,2016-03-21,2016-03-27,,34,0,0,1,,1,2,0,20,20,40,42,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,13,2016-03-28,2016-04-03,,29,0,0,0,,0,0,0,5,5,10,10,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,14,2016-04-04,2016-04-10,,24,0,0,2,,2,4,0,7,7,14,18,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,15,2016-04-11,2016-04-17,,18,0,0,0,,0,0,0,2,2,4,4,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,16,2016-04-18,2016-04-24,,18,0,0,0,,0,0,0,2,2,4,4,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,17,2016-04-25,2016-05-01,,38,0,0,0,,0,0,0,1,1,2,2,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,18,2016-05-02,2016-05-08,,12,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,19,2016-05-09,2016-05-15,,9,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,20,2016-05-16,2016-05-22,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,21,2016-05-23,2016-05-29,,48,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,22,2016-05-30,2016-06-05,,5,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,23,2016-06-06,2016-06-12,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,24,2016-06-13,2016-06-19,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,25,2016-06-20,2016-06-26,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,26,2016-06-27,2016-07-03,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,27,2016-07-04,2016-07-10,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,28,2016-07-11,2016-07-17,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,29,2016-07-18,2016-07-24,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,30,2016-07-25,2016-07-31,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,31,2016-08-01,2016-08-07,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,32,2016-08-08,2016-08-14,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Azerbaijan,European Region of WHO,Western Asia,2016,33,2016-08-15,2016-08-21,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

