Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,1,2016-01-04,2016-01-10,33,33,0,4,0,0,2,6,0,0,2,2,8,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,2,2016-01-11,2016-01-17,44,44,0,3,0,0,0,3,0,0,5,5,8,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,3,2016-01-18,2016-01-24,21,21,0,1,0,0,1,2,1,1,1,3,5,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,4,2016-01-25,2016-01-31,29,29,0,1,0,0,1,2,1,7,2,10,12,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,5,2016-02-01,2016-02-07,28,28,0,0,0,0,3,3,0,0,3,3,6,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,6,2016-02-08,2016-02-14,20,20,0,2,0,0,0,2,0,0,7,7,9,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,7,2016-02-15,2016-02-21,20,20,0,0,0,0,2,2,0,0,2,2,4,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,8,2016-02-22,2016-02-28,20,20,0,0,0,0,3,3,0,0,1,1,4,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,9,2016-02-29,2016-03-06,22,22,0,1,0,0,0,1,0,0,6,6,7,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,10,2016-03-07,2016-03-13,18,18,0,0,0,0,3,3,0,0,2,2,5,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,11,2016-03-14,2016-03-20,15,15,0,0,0,0,0,0,0,0,3,3,3,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,12,2016-03-21,2016-03-27,7,7,0,0,0,0,0,0,0,0,1,1,1,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,13,2016-03-28,2016-04-03,24,24,0,0,0,0,2,2,0,0,3,3,5,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,14,2016-04-04,2016-04-10,13,13,0,0,0,0,0,0,0,0,3,3,3,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,15,2016-04-11,2016-04-17,260,260,0,0,0,0,1,1,0,0,0,0,1,,Local Outbreak

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2016,16,2016-04-18,2016-04-24,19,19,0,0,0,0,0,0,0,3,0,3,3,,Local Outbreak

