Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,1,2017-01-02,2017-01-08,8,8,,0,2,0,0,2,0,1,0,1,3,6,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,2,2017-01-09,2017-01-15,12,12,,0,0,0,0,0,0,0,0,0,0,12,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,3,2017-01-16,2017-01-22,12,12,,0,0,0,0,0,0,2,0,2,2,10,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,4,2017-01-23,2017-01-29,15,15,,0,1,0,0,1,0,1,1,2,3,12,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,5,2017-01-30,2017-02-05,13,13,,1,0,0,0,1,0,0,0,0,1,12,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,6,2017-02-06,2017-02-12,12,12,,0,0,0,0,0,0,0,0,0,0,12,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,7,2017-02-13,2017-02-19,11,11,,0,2,0,0,2,0,0,0,0,2,9,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,8,2017-02-20,2017-02-26,15,15,,0,1,0,0,1,0,0,0,0,1,14,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,9,2017-02-27,2017-03-05,16,16,,0,1,0,0,1,1,0,0,1,2,14,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,10,2017-03-06,2017-03-12,19,19,,0,3,0,0,3,1,1,0,2,5,14,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,11,2017-03-13,2017-03-19,18,18,,0,0,0,0,0,2,0,0,2,2,16,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,12,2017-03-20,2017-03-26,14,14,,0,0,0,0,0,0,0,0,0,0,14,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,13,2017-03-27,2017-04-02,9,9,,0,0,0,0,0,0,1,0,1,1,8,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,14,2017-04-03,2017-04-09,13,13,,0,0,0,0,0,0,0,0,0,0,13,Sporadic

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,15,2017-04-10,2017-04-16,10,10,,1,0,0,0,1,2,1,0,3,4,7,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,16,2017-04-17,2017-04-23,12,12,,1,0,0,0,1,0,1,0,1,2,10,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,17,2017-04-24,2017-04-30,7,7,,0,0,0,0,0,0,0,0,0,0,7,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,18,2017-05-01,2017-05-07,6,6,,0,0,0,0,0,2,0,0,2,2,4,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,19,2017-05-08,2017-05-14,12,12,,0,0,0,0,0,1,0,0,1,1,11,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,20,2017-05-15,2017-05-21,6,6,,0,0,0,0,0,1,0,0,1,1,5,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,21,2017-05-22,2017-05-28,14,14,,1,0,0,0,1,0,2,0,2,3,11,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,22,2017-05-29,2017-06-04,13,13,,2,0,0,0,2,0,0,0,0,2,11,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,23,2017-06-05,2017-06-11,9,9,,0,0,0,0,0,0,0,0,0,0,9,No Report

Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2017,24,2017-06-12,2017-06-18,7,7,,0,0,0,0,0,0,0,0,0,0,7,No Report

