Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,1,2011-01-03,2011-01-09,37,37,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,2,2011-01-10,2011-01-16,36,36,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,3,2011-01-17,2011-01-23,45,45,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,4,2011-01-24,2011-01-30,21,21,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,5,2011-01-31,2011-02-06,41,41,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,6,2011-02-07,2011-02-13,45,45,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,7,2011-02-14,2011-02-20,53,53,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,8,2011-02-21,2011-02-27,35,35,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,9,2011-02-28,2011-03-06,48,48,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,10,2011-03-07,2011-03-13,39,39,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,11,2011-03-14,2011-03-20,64,64,0,1,0,0,0,1,0,0,0,0,1,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,12,2011-03-21,2011-03-27,27,27,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,13,2011-03-28,2011-04-03,42,42,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,14,2011-04-04,2011-04-10,39,39,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,15,2011-04-11,2011-04-17,64,64,0,0,0,0,0,0,0,0,1,1,1,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,16,2011-04-18,2011-04-24,40,40,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,17,2011-04-25,2011-05-01,35,35,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,18,2011-05-02,2011-05-08,37,37,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,19,2011-05-09,2011-05-15,49,49,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,20,2011-05-16,2011-05-22,73,73,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,21,2011-05-23,2011-05-29,28,28,0,0,0,0,0,0,0,0,0,0,0,,No Report

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,22,2011-05-30,2011-06-05,63,63,0,2,10,0,0,12,0,0,0,0,12,,Sporadic

Bangladesh,South-East Asia Region of WHO,Southern Asia,2011,23,2011-06-06,2011-06-12,58,58,0,0,2,0,0,2,0,0,0,0,2,,No Activity
