,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
1,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
2,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
3,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
4,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
5,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
6,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
7,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
8,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
9,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
10,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
11,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
12,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
13,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
14,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
15,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
16,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
17,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
18,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
19,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
20,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
21,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
22,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
23,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
24,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
25,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
26,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
27,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
28,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
29,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
30,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
31,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
32,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
33,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
34,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
35,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
36,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
37,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
38,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
39,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
40,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
41,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
42,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
43,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
44,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
45,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
46,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
47,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
48,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
49,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
50,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
51,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
52,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
53,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
54,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
55,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
56,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
57,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
58,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
59,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
60,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
61,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
62,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
63,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
64,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
65,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
66,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
67,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
68,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
69,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
70,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
71,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
72,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
73,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
74,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
75,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
76,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
77,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
78,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
79,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
80,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
81,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
82,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
83,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
84,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
85,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
86,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
87,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
88,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
89,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
90,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
91,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
92,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
93,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
94,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
95,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
96,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
97,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
98,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
99,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
100,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
101,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
102,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
103,Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
104,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
105,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
106,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
107,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
108,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
109,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
110,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
111,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,8,1996-02-19,1996-02-25,,,,,,,,,,,,,,,No Report
112,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,9,1996-02-26,1996-03-03,,,,,,,,,,,,,,,No Report
113,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,10,1996-03-04,1996-03-10,,,,,,,,,,,,,,,No Report
114,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,11,1996-03-11,1996-03-17,,,,,,,,,,,,,,,No Report
115,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,12,1996-03-18,1996-03-24,,,,,,,,,,,,,,,No Report
116,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,13,1996-03-25,1996-03-31,,,,,,,,,,,,,,,No Report
117,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,14,1996-04-01,1996-04-07,,,,,,,,,,,,,,,No Report
118,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,15,1996-04-08,1996-04-14,,,,,,,,,,,,,,,No Report
119,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,16,1996-04-15,1996-04-21,,,,,,,,,,,,,,,No Report
120,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,17,1996-04-22,1996-04-28,,,,,,,,,,,,,,,No Report
121,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,18,1996-04-29,1996-05-05,,,,,,,,,,,,,,,No Report
122,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,19,1996-05-06,1996-05-12,,,,,,,,,,,,,,,No Report
123,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,20,1996-05-13,1996-05-19,,,,,,,,,,,,,,,No Report
124,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,21,1996-05-20,1996-05-26,,,,,,,,,,,,,,,No Report
125,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,22,1996-05-27,1996-06-02,,,,,,,,,,,,,,,No Report
126,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,23,1996-06-03,1996-06-09,,,,,,,,,,,,,,,No Report
127,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,24,1996-06-10,1996-06-16,,,,,,,,,,,,,,,No Report
128,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,25,1996-06-17,1996-06-23,,,,,,,,,,,,,,,No Report
129,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,26,1996-06-24,1996-06-30,,,,,,,,,,,,,,,No Report
130,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,27,1996-07-01,1996-07-07,,,,,,,,,,,,,,,No Report
131,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,28,1996-07-08,1996-07-14,,,,,,,,,,,,,,,No Report
132,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,29,1996-07-15,1996-07-21,,,,,,,,,,,,,,,No Report
133,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,30,1996-07-22,1996-07-28,,,,,,,,,,,,,,,No Report
134,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,31,1996-07-29,1996-08-04,,,,,,,,,,,,,,,No Report
135,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,32,1996-08-05,1996-08-11,,,,,,,,,,,,,,,No Report
136,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,33,1996-08-12,1996-08-18,,,,,,,,,,,,,,,No Report
137,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,34,1996-08-19,1996-08-25,,,,,,,,,,,,,,,No Report
138,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,35,1996-08-26,1996-09-01,,,,,,,,,,,,,,,No Report
139,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,36,1996-09-02,1996-09-08,,,,,,,,,,,,,,,No Report
140,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,37,1996-09-09,1996-09-15,,,,,,,,,,,,,,,No Report
141,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,38,1996-09-16,1996-09-22,,,,,,,,,,,,,,,No Report
142,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,39,1996-09-23,1996-09-29,,,,,,,,,,,,,,,No Report
143,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,40,1996-09-30,1996-10-06,,,,,,,,,,,,,,,No Report
144,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,41,1996-10-07,1996-10-13,,,,,,,,,,,,,,,No Report
145,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,42,1996-10-14,1996-10-20,,,,,,,,,,,,,,,No Report
146,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,43,1996-10-21,1996-10-27,,,,,,,,,,,,,,,No Report
147,Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,44,1996-10-28,1996-11-03,,,,,,,,,,,,,,,No Report
