Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,1,2018-01-01,2018-01-07,,2,,,,,,0,,,0,0,0,2,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,2,2018-01-08,2018-01-14,,3,,,,,,0,,,0,0,0,3,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,3,2018-01-15,2018-01-21,,9,,,3,,,3,1,,,1,4,5,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,4,2018-01-22,2018-01-28,,7,,,,,,0,,,0,0,0,7,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,5,2018-01-29,2018-02-04,,15,,2,,,,2,,,0,0,2,13,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,6,2018-02-05,2018-02-11,,7,,1,,,,1,1,,,1,2,5,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,7,2018-02-12,2018-02-18,,18,,2,2,,,4,2,,1,3,7,11,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,8,2018-02-19,2018-02-25,,11,,,,,,0,,,1,1,1,10,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,9,2018-02-26,2018-03-04,,11,,2,,,,2,,,0,0,2,9,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,10,2018-03-05,2018-03-11,,17,,,,,,0,,,0,0,0,17,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,11,2018-03-12,2018-03-18,,6,,,,,,0,,,0,0,0,6,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,12,2018-03-19,2018-03-25,,11,,,,,,0,,,0,0,0,11,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,13,2018-03-26,2018-04-01,,9,,,,,,0,,,0,0,0,9,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,14,2018-04-02,2018-04-08,,9,,,,,,0,,,1,1,1,8,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,15,2018-04-09,2018-04-15,,6,,,,,,0,1,,1,2,2,4,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,16,2018-04-16,2018-04-22,,4,,,,,,0,,,0,0,0,4,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,17,2018-04-23,2018-04-29,,3,,,,,,0,,,0,0,0,3,No Report

Barbados,Region of the Americas of WHO,Central America and Caribbean,2018,18,2018-04-30,2018-05-06,,15,,,,,,0,,,0,0,0,15,No Report

