Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Belarus,European Region of WHO,Eastern Europe,2011,1,2011-01-03,2011-01-09,,132,0,0,0,,2,2,0,0,9,9,11,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,2,2011-01-10,2011-01-16,,233,0,9,0,,2,11,0,0,20,20,31,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,3,2011-01-17,2011-01-23,,165,0,14,0,,4,18,0,0,30,30,48,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,4,2011-01-24,2011-01-30,,329,0,60,0,,1,61,0,0,29,29,90,,Local Outbreak

Belarus,European Region of WHO,Eastern Europe,2011,5,2011-01-31,2011-02-06,,604,0,143,0,,4,147,0,0,25,25,172,,Local Outbreak

Belarus,European Region of WHO,Eastern Europe,2011,6,2011-02-07,2011-02-13,,516,0,122,0,,3,125,0,0,24,24,149,,Local Outbreak

Belarus,European Region of WHO,Eastern Europe,2011,7,2011-02-14,2011-02-20,,723,0,167,0,,10,177,0,0,19,19,196,,Local Outbreak

Belarus,European Region of WHO,Eastern Europe,2011,8,2011-02-21,2011-02-27,,688,0,164,0,,10,174,0,0,20,20,194,,Local Outbreak

Belarus,European Region of WHO,Eastern Europe,2011,9,2011-02-28,2011-03-06,,451,0,88,0,,5,93,0,0,15,15,108,,Local Outbreak

Belarus,European Region of WHO,Eastern Europe,2011,10,2011-03-07,2011-03-13,,473,0,74,0,,6,80,0,0,11,11,91,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,11,2011-03-14,2011-03-20,,300,0,41,0,,5,46,0,0,9,9,55,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,12,2011-03-21,2011-03-27,,218,0,16,0,,0,16,0,0,8,8,24,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,13,2011-03-28,2011-04-03,,142,0,4,0,,0,4,0,0,7,7,11,,No Report

Belarus,European Region of WHO,Eastern Europe,2011,14,2011-04-04,2011-04-10,,139,0,7,0,,0,7,0,0,5,5,12,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,15,2011-04-11,2011-04-17,,249,0,3,0,,0,3,0,0,7,7,10,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,16,2011-04-18,2011-04-24,,130,0,1,0,,0,1,0,0,6,6,7,,Sporadic

Belarus,European Region of WHO,Eastern Europe,2011,17,2011-04-25,2011-05-01,,84,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belarus,European Region of WHO,Eastern Europe,2011,18,2011-05-02,2011-05-08,,54,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belarus,European Region of WHO,Eastern Europe,2011,19,2011-05-09,2011-05-15,,70,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belarus,European Region of WHO,Eastern Europe,2011,20,2011-05-16,2011-05-22,,90,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belarus,European Region of WHO,Eastern Europe,2011,21,2011-05-23,2011-05-29,,68,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2011,22,2011-05-30,2011-06-05,,43,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2011,23,2011-06-06,2011-06-12,,72,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2011,24,2011-06-13,2011-06-19,,50,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belarus,European Region of WHO,Eastern Europe,2011,25,2011-06-20,2011-06-26,,45,0,0,0,,0,0,0,0,0,0,0,,No Activity

