Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Belarus,European Region of WHO,Eastern Europe,2017,1,2017-01-02,2017-01-08,,217,0,0,59,,0,59,0,0,0,0,59,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,2,2017-01-09,2017-01-15,,218,0,0,83,,3,86,0,0,5,5,91,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,3,2017-01-16,2017-01-22,,272,0,1,83,,0,84,0,0,11,11,95,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,4,2017-01-23,2017-01-29,,333,0,0,86,,2,88,0,9,2,11,99,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,5,2017-01-30,2017-02-05,,430,0,0,110,,0,110,0,0,11,11,121,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,6,2017-02-06,2017-02-12,,287,0,0,70,,0,70,0,0,15,15,85,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,7,2017-02-13,2017-02-19,,250,0,0,64,,7,71,0,6,12,18,89,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,8,2017-02-20,2017-02-26,,190,0,0,25,,0,25,0,13,6,19,44,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,9,2017-02-27,2017-03-05,,226,0,0,9,,0,9,0,15,9,24,33,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,10,2017-03-06,2017-03-12,,108,0,0,5,,0,5,0,0,15,15,20,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,11,2017-03-13,2017-03-19,,115,0,0,2,,0,2,0,4,0,4,6,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,12,2017-03-20,2017-03-26,,97,0,0,5,,0,5,0,0,9,9,14,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,13,2017-03-27,2017-04-02,,121,0,0,1,,0,1,0,0,6,6,7,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,14,2017-04-03,2017-04-09,,88,0,0,0,,0,0,0,0,3,3,3,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,15,2017-04-10,2017-04-16,,214,0,0,0,,0,0,0,0,1,1,1,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,16,2017-04-17,2017-04-23,,90,0,0,0,,0,0,0,0,2,2,2,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,17,2017-04-24,2017-04-30,,56,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,18,2017-05-01,2017-05-07,,71,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,19,2017-05-08,2017-05-14,,44,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,20,2017-05-15,2017-05-21,,94,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,21,2017-05-22,2017-05-28,,10,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,22,2017-05-29,2017-06-04,,65,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,23,2017-06-05,2017-06-11,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,24,2017-06-12,2017-06-18,,63,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,25,2017-06-19,2017-06-25,,22,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,26,2017-06-26,2017-07-02,,94,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,27,2017-07-03,2017-07-09,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,28,2017-07-10,2017-07-16,,74,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,29,2017-07-17,2017-07-23,,14,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,30,2017-07-24,2017-07-30,,,,,,,,,,,,,,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,31,2017-07-31,2017-08-06,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,32,2017-08-07,2017-08-13,,66,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,33,2017-08-14,2017-08-20,,81,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,34,2017-08-21,2017-08-27,,60,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,35,2017-08-28,2017-09-03,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,36,2017-09-04,2017-09-10,,85,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,37,2017-09-11,2017-09-17,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,38,2017-09-18,2017-09-24,,81,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,39,2017-09-25,2017-10-01,,32,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,40,2017-10-02,2017-10-08,,96,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,41,2017-10-09,2017-10-15,,99,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,42,2017-10-16,2017-10-22,,94,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,43,2017-10-23,2017-10-29,,145,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,44,2017-10-30,2017-11-05,,100,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,45,2017-11-06,2017-11-12,,87,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,46,2017-11-13,2017-11-19,,142,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,47,2017-11-20,2017-11-26,,121,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,48,2017-11-27,2017-12-03,,101,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,49,2017-12-04,2017-12-10,,147,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,50,2017-12-11,2017-12-17,,128,0,0,2,,0,2,0,0,0,0,2,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,51,2017-12-18,2017-12-24,,147,0,0,0,,0,0,0,0,0,0,0,,No Report

Belarus,European Region of WHO,Eastern Europe,2017,52,2017-12-25,2017-12-31,,75,0,0,0,,0,0,0,0,0,0,0,,No Report


