,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Belarus,European Region of WHO,Eastern Europe,2020,1,2019-12-30,2020-01-05,,85.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No Report
1,Belarus,European Region of WHO,Eastern Europe,2020,2,2020-01-06,2020-01-12,,97.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,No Report
2,Belarus,European Region of WHO,Eastern Europe,2020,3,2020-01-13,2020-01-19,,154.0,0.0,5.0,0.0,,0.0,5.0,0.0,0.0,1.0,1.0,6.0,,No Report
3,Belarus,European Region of WHO,Eastern Europe,2020,4,2020-01-20,2020-01-26,,157.0,0.0,1.0,1.0,,1.0,3.0,0.0,0.0,2.0,2.0,5.0,,No Report
4,Belarus,European Region of WHO,Eastern Europe,2020,5,2020-01-27,2020-02-02,,,,,,,,,,,,,,,No Report
5,Belarus,European Region of WHO,Eastern Europe,2020,6,2020-02-03,2020-02-09,,214.0,0.0,7.0,2.0,,0.0,9.0,0.0,0.0,3.0,3.0,12.0,,No Report
6,Belarus,European Region of WHO,Eastern Europe,2020,7,2020-02-10,2020-02-16,,304.0,0.0,11.0,4.0,,0.0,15.0,0.0,0.0,8.0,8.0,23.0,,No Report
7,Belarus,European Region of WHO,Eastern Europe,2020,8,2020-02-17,2020-02-23,,313.0,0.0,44.0,6.0,,0.0,50.0,0.0,0.0,8.0,8.0,58.0,,No Report
8,Belarus,European Region of WHO,Eastern Europe,2020,9,2020-02-24,2020-03-01,,352.0,0.0,47.0,8.0,,3.0,58.0,0.0,0.0,7.0,7.0,65.0,,No Report
9,Belarus,European Region of WHO,Eastern Europe,2020,10,2020-03-02,2020-03-08,,422.0,0.0,57.0,23.0,,0.0,80.0,0.0,0.0,7.0,7.0,87.0,,No Report
