Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Belgium,European Region of WHO,South West Europe,2009,1,2008-12-29,2009-01-04,39,39,1,,26,,0,27,,,0,0,27,,Local Outbreak

Belgium,European Region of WHO,South West Europe,2009,2,2009-01-05,2009-01-11,63,63,2,,32,,4,38,,,0,0,38,,Regional Outbreak

Belgium,European Region of WHO,South West Europe,2009,3,2009-01-12,2009-01-18,139,139,3,,79,,14,96,,,0,0,96,,Regional Outbreak

Belgium,European Region of WHO,South West Europe,2009,4,2009-01-19,2009-01-25,134,134,6,,70,,11,87,,,1,1,88,,No Report

Belgium,European Region of WHO,South West Europe,2009,5,2009-01-26,2009-02-01,108,108,5,,58,,,63,,,1,1,64,,No Report

Belgium,European Region of WHO,South West Europe,2009,6,2009-02-02,2009-02-08,84,84,3,,35,,15,53,,,0,0,53,,No Report

Belgium,European Region of WHO,South West Europe,2009,7,2009-02-09,2009-02-15,67,67,1,,39,,3,43,,,4,4,47,,Sporadic

Belgium,European Region of WHO,South West Europe,2009,8,2009-02-16,2009-02-22,41,41,5,,7,,0,12,,,6,6,18,,Sporadic

Belgium,European Region of WHO,South West Europe,2009,9,2009-02-23,2009-03-01,25,25,,,1,,9,10,,,4,4,14,,Sporadic

Belgium,European Region of WHO,South West Europe,2009,10,2009-03-02,2009-03-08,12,12,,,,,1,1,,,2,2,3,,Sporadic

Belgium,European Region of WHO,South West Europe,2009,11,2009-03-09,2009-03-15,14,14,,,2,,0,2,,,3,3,5,,Sporadic

Belgium,European Region of WHO,South West Europe,2009,12,2009-03-16,2009-03-22,7,7,,,1,,0,1,,,1,1,2,,Sporadic

