Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Belgium,European Region of WHO,South West Europe,2013,1,2012-12-31,2013-01-06,,37,0,4,0,,1,5,12,0,11,23,28,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,2,2013-01-07,2013-01-13,,88,0,6,5,,5,16,27,0,1,28,44,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,3,2013-01-14,2013-01-20,,102,0,28,1,,3,32,33,1,3,37,69,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,4,2013-01-21,2013-01-27,,127,0,32,9,,3,44,36,0,13,49,93,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,5,2013-01-28,2013-02-03,,147,0,54,8,,3,65,0,0,45,45,110,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,6,2013-02-04,2013-02-10,,126,0,28,7,,5,40,55,0,2,57,97,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,7,2013-02-11,2013-02-17,,106,0,21,4,,13,38,32,0,3,35,73,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,8,2013-02-18,2013-02-24,,88,0,13,3,,3,19,24,2,0,26,45,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,9,2013-02-25,2013-03-03,,89,0,5,6,,25,36,27,2,0,29,65,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,10,2013-03-04,2013-03-10,,84,0,14,7,,9,30,24,2,1,27,57,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,11,2013-03-11,2013-03-17,,58,0,5,0,,13,18,13,2,0,15,33,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,12,2013-03-18,2013-03-24,,34,0,6,2,,0,8,8,2,0,10,18,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,13,2013-03-25,2013-03-31,,31,0,0,4,,1,5,5,1,5,11,16,,Widespread Outbreak

Belgium,European Region of WHO,South West Europe,2013,14,2013-04-01,2013-04-07,,8,0,0,1,,1,2,1,0,1,2,4,,Sporadic

Belgium,European Region of WHO,South West Europe,2013,15,2013-04-08,2013-04-14,,13,0,1,4,,1,6,1,0,0,1,7,,Sporadic

Belgium,European Region of WHO,South West Europe,2013,16,2013-04-15,2013-04-21,,9,0,0,0,,0,0,0,0,3,3,3,,Sporadic

Belgium,European Region of WHO,South West Europe,2013,17,2013-04-22,2013-04-28,,5,0,0,0,,0,0,0,0,0,0,0,,No Report

Belgium,European Region of WHO,South West Europe,2013,18,2013-04-29,2013-05-05,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,19,2013-05-06,2013-05-12,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,20,2013-05-13,2013-05-19,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,21,2013-05-20,2013-05-26,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,22,2013-05-27,2013-06-02,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,23,2013-06-03,2013-06-09,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,24,2013-06-10,2013-06-16,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,25,2013-06-17,2013-06-23,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,26,2013-06-24,2013-06-30,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,27,2013-07-01,2013-07-07,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,28,2013-07-08,2013-07-14,,1,0,0,0,,1,1,0,0,0,0,1,,No Activity

Belgium,European Region of WHO,South West Europe,2013,29,2013-07-15,2013-07-21,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,30,2013-07-22,2013-07-28,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,31,2013-07-29,2013-08-04,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,32,2013-08-05,2013-08-11,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,33,2013-08-12,2013-08-18,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,34,2013-08-19,2013-08-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,35,2013-08-26,2013-09-01,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,36,2013-09-02,2013-09-08,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,37,2013-09-09,2013-09-15,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,38,2013-09-16,2013-09-22,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,39,2013-09-23,2013-09-29,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,40,2013-09-30,2013-10-06,,3,0,0,0,,0,0,0,0,1,1,1,,No Activity

Belgium,European Region of WHO,South West Europe,2013,41,2013-10-07,2013-10-13,,27,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,42,2013-10-14,2013-10-20,,18,0,0,0,,0,0,0,0,0,0,0,,No Activity

Belgium,European Region of WHO,South West Europe,2013,43,2013-10-21,2013-10-27,,14,0,0,0,,0,0,0,0,0,0,0,,No Activity

