Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,1,2018-12-31,2019-01-06,,11,0,0,0,,0,0,0,0,0,0,0,11,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,2,2019-01-07,2019-01-13,,16,0,0,0,,0,0,1,0,0,1,1,15,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,3,2019-01-14,2019-01-20,,11,0,0,0,,0,0,0,0,0,0,0,11,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,4,2019-01-21,2019-01-27,,10,0,0,0,,0,0,0,0,0,0,0,10,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,5,2019-01-28,2019-02-03,,11,0,0,0,,1,1,0,0,0,0,1,10,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,6,2019-02-04,2019-02-10,,9,0,0,0,,0,0,0,2,0,2,2,7,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,7,2019-02-11,2019-02-17,,17,0,0,1,,1,2,0,0,0,0,2,15,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,8,2019-02-18,2019-02-24,,13,0,0,0,,0,0,0,0,0,0,0,13,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,9,2019-02-25,2019-03-03,,13,0,1,0,,1,2,2,0,0,2,4,9,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,10,2019-03-04,2019-03-10,,21,0,3,0,,0,3,1,0,0,1,4,17,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,11,2019-03-11,2019-03-17,,10,0,1,0,,0,1,0,0,0,0,1,9,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,12,2019-03-18,2019-03-24,,18,0,0,0,,0,0,0,0,0,0,0,18,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,13,2019-03-25,2019-03-31,,17,0,0,0,,0,0,0,0,0,0,0,17,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,14,2019-04-01,2019-04-07,,13,0,0,0,,0,0,0,0,0,0,0,13,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,15,2019-04-08,2019-04-14,,14,0,0,0,,0,0,0,0,0,0,0,14,No Report

Belize,Region of the Americas of WHO,Central America and Caribbean,2019,16,2019-04-15,2019-04-21,,19,0,0,0,,0,0,0,0,0,0,0,19,No Report

