Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,1,2014-12-29,2015-01-04,2,2,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,2,2015-01-05,2015-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,3,2015-01-12,2015-01-18,11,11,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,4,2015-01-19,2015-01-25,3,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,5,2015-01-26,2015-02-01,8,8,0,1,1,0,0,2,0,0,1,1,3,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,6,2015-02-02,2015-02-08,7,7,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,7,2015-02-09,2015-02-15,30,30,0,12,2,0,0,14,0,0,0,0,14,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,8,2015-02-16,2015-02-22,30,30,0,13,2,0,0,15,0,0,0,0,15,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,9,2015-02-23,2015-03-01,31,31,0,11,1,0,0,12,0,0,0,0,12,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,10,2015-03-02,2015-03-08,16,16,0,6,0,0,0,6,0,0,0,0,6,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,11,2015-03-09,2015-03-15,60,60,0,15,6,0,0,21,0,0,0,0,21,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,12,2015-03-16,2015-03-22,40,40,0,18,1,0,0,19,0,0,0,0,19,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,13,2015-03-23,2015-03-29,64,64,0,13,8,0,0,21,0,0,0,0,21,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,14,2015-03-30,2015-04-05,41,41,0,3,9,0,0,12,0,0,0,0,12,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,15,2015-04-06,2015-04-12,44,44,0,6,7,0,0,13,0,0,0,0,13,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,16,2015-04-13,2015-04-19,45,45,0,4,2,0,0,6,0,0,0,0,6,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,17,2015-04-20,2015-04-26,37,37,0,4,0,0,0,4,0,0,0,0,4,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,18,2015-04-27,2015-05-03,37,37,0,10,2,0,0,12,0,0,0,0,12,,No Report

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,19,2015-05-04,2015-05-10,13,13,0,10,2,0,0,12,0,0,0,0,12,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,20,2015-05-11,2015-05-17,43,43,0,6,2,0,0,8,0,0,0,0,8,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,21,2015-05-18,2015-05-24,29,29,0,2,0,0,0,2,0,0,0,0,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,22,2015-05-25,2015-05-31,25,25,0,2,0,0,0,2,0,0,0,0,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,23,2015-06-01,2015-06-07,28,28,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,24,2015-06-08,2015-06-14,25,25,0,2,0,0,0,2,0,0,0,0,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,25,2015-06-15,2015-06-21,13,13,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,26,2015-06-22,2015-06-28,14,14,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,27,2015-06-29,2015-07-05,25,25,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,28,2015-07-06,2015-07-12,41,41,0,4,0,0,0,4,0,0,1,1,5,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,29,2015-07-13,2015-07-19,44,44,0,5,1,0,0,6,0,0,2,2,8,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,30,2015-07-20,2015-07-26,22,22,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,31,2015-07-27,2015-08-02,34,34,0,1,2,0,0,3,0,0,0,0,3,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,32,2015-08-03,2015-08-09,40,40,0,5,0,0,0,5,0,0,2,2,7,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,33,2015-08-10,2015-08-16,43,43,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,34,2015-08-17,2015-08-23,44,44,0,0,2,0,0,2,1,0,1,2,4,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,35,2015-08-24,2015-08-30,23,23,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,36,2015-08-31,2015-09-06,27,27,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,37,2015-09-07,2015-09-13,40,40,0,2,0,0,0,2,0,0,2,2,4,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,38,2015-09-14,2015-09-20,29,29,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,39,2015-09-21,2015-09-27,33,33,0,2,0,0,0,2,0,0,1,1,3,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,40,2015-09-28,2015-10-04,28,28,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,41,2015-10-05,2015-10-11,32,32,0,4,3,0,0,7,0,0,1,1,8,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,42,2015-10-12,2015-10-18,34,34,0,0,1,0,0,1,0,0,0,0,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,43,2015-10-19,2015-10-25,27,27,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,44,2015-10-26,2015-11-01,20,20,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,45,2015-11-02,2015-11-08,17,17,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,46,2015-11-09,2015-11-15,10,10,0,1,1,0,0,2,0,0,0,0,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,47,2015-11-16,2015-11-22,11,11,0,0,1,0,0,1,0,0,0,0,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,48,2015-11-23,2015-11-29,17,17,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,49,2015-11-30,2015-12-06,28,28,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,50,2015-12-07,2015-12-13,17,17,0,0,1,0,0,1,0,0,3,3,4,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,51,2015-12-14,2015-12-20,9,9,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,52,2015-12-21,2015-12-27,8,8,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Bhutan,South-East Asia Region of WHO,Southern Asia,2015,53,2015-12-28,2016-01-03,4,4,0,0,0,0,0,0,0,0,1,1,1,,Sporadic


