Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,1,2018-12-31,2019-01-06,25,25,0,11,0,0,5,16,0,0,1,1,17,8,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,2,2019-01-07,2019-01-13,23,23,0,0,0,0,7,7,0,0,1,1,8,15,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,3,2019-01-14,2019-01-20,54,53,0,21,3,0,0,24,0,0,0,0,24,29,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,4,2019-01-21,2019-01-27,88,88,0,38,2,0,1,41,0,0,0,0,41,47,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,5,2019-01-28,2019-02-03,103,102,,38,1,0,0,39,0,0,0,0,39,63,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,6,2019-02-04,2019-02-10,89,85,0,18,1,0,0,19,0,0,0,0,19,66,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,7,2019-02-11,2019-02-17,71,63,0,13,0,0,0,13,0,0,0,0,13,50,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,8,2019-02-18,2019-02-24,29,26,0,4,0,0,0,4,0,0,0,0,4,22,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,9,2019-02-25,2019-03-03,59,43,0,8,0,0,0,8,0,0,0,0,8,35,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,10,2019-03-04,2019-03-10,66,66,0,17,0,0,0,17,0,0,1,1,18,47,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,11,2019-03-11,2019-03-17,86,86,0,16,0,0,0,16,0,0,0,0,16,70,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,12,2019-03-18,2019-03-24,96,96,0,28,0,0,0,28,0,2,0,2,30,66,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,13,2019-03-25,2019-03-31,69,69,0,26,1,0,0,27,1,0,0,1,28,41,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,14,2019-04-01,2019-04-07,60,60,0,7,0,0,0,7,0,4,0,4,11,49,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,15,2019-04-08,2019-04-14,68,68,0,17,0,0,0,17,0,1,0,1,18,50,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,16,2019-04-15,2019-04-21,47,47,0,5,0,0,0,5,1,1,0,2,7,40,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,17,2019-04-22,2019-04-28,63,63,0,4,0,0,0,4,0,5,0,5,9,54,No Activity

Bhutan,South-East Asia Region of WHO,Southern Asia,2019,18,2019-04-29,2019-05-05,55,55,0,1,0,0,0,1,2,10,0,12,13,42,No Activity

