Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,1,2013-12-30,2014-01-05,,41,0,1,0,,0,1,0,0,0,0,1,40,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,2,2014-01-06,2014-01-12,,45,0,4,0,,0,4,0,0,0,0,4,41,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,3,2014-01-13,2014-01-19,,35,0,0,0,,0,0,0,0,0,0,0,35,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,4,2014-01-20,2014-01-26,,29,0,1,0,,0,1,0,0,0,0,1,28,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,5,2014-01-27,2014-02-02,,23,0,0,0,,0,0,0,0,0,0,0,23,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,6,2014-02-03,2014-02-09,,27,0,0,0,,0,0,0,0,1,1,1,26,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,7,2014-02-10,2014-02-16,,42,0,2,0,,0,2,0,0,0,0,2,40,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,8,2014-02-17,2014-02-23,,53,0,2,0,,0,2,0,0,1,1,3,50,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,9,2014-02-24,2014-03-02,,34,0,1,0,,0,1,0,0,2,2,3,31,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,10,2014-03-03,2014-03-09,,41,0,1,0,,0,1,0,0,0,0,1,40,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,11,2014-03-10,2014-03-16,,69,0,2,0,,0,2,0,0,0,0,2,67,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,12,2014-03-17,2014-03-23,,59,0,0,1,,0,1,0,0,0,0,1,58,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,13,2014-03-24,2014-03-30,,84,0,0,0,,0,0,0,0,0,0,0,84,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,14,2014-03-31,2014-04-06,,77,0,0,0,,0,0,0,0,0,0,0,77,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,15,2014-04-07,2014-04-13,,81,0,0,1,,0,1,0,0,0,0,1,80,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,16,2014-04-14,2014-04-20,,66,0,0,0,,0,0,0,0,0,0,0,66,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,17,2014-04-21,2014-04-27,,96,0,1,5,,0,6,0,0,1,1,7,89,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,18,2014-04-28,2014-05-04,,84,0,0,8,,0,8,0,0,0,0,8,76,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,19,2014-05-05,2014-05-11,,118,0,0,16,,0,16,0,0,0,0,16,102,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,20,2014-05-12,2014-05-18,,139,0,1,34,,0,35,0,0,0,0,35,104,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,21,2014-05-19,2014-05-25,,139,0,6,40,,0,46,0,0,5,5,51,88,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,22,2014-05-26,2014-06-01,,152,0,11,48,,0,59,0,0,2,2,61,91,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,23,2014-06-02,2014-06-08,,180,0,13,46,,0,59,0,0,3,3,62,118,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,24,2014-06-09,2014-06-15,,133,0,15,30,,0,45,0,0,2,2,47,86,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,25,2014-06-16,2014-06-22,,176,0,23,29,,0,52,0,0,2,2,54,122,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,26,2014-06-23,2014-06-29,,196,0,37,35,,0,72,0,1,0,1,73,123,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,27,2014-06-30,2014-07-06,,197,0,30,41,,0,71,0,0,0,0,71,126,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,28,2014-07-07,2014-07-13,,252,0,41,56,,0,97,0,0,1,1,98,154,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,29,2014-07-14,2014-07-20,,241,0,37,28,,0,65,1,0,0,1,66,175,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,30,2014-07-21,2014-07-27,,219,0,27,14,,0,41,1,2,2,5,46,173,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,31,2014-07-28,2014-08-03,,248,0,51,9,,0,60,2,0,3,5,65,183,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,32,2014-08-04,2014-08-10,,166,0,20,11,,0,31,2,0,1,3,34,132,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,33,2014-08-11,2014-08-17,,190,0,26,5,,0,31,1,0,2,3,34,156,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,34,2014-08-18,2014-08-24,,174,0,19,4,,0,23,1,0,1,2,25,149,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,35,2014-08-25,2014-08-31,,128,0,13,2,,0,15,2,0,0,2,17,111,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,36,2014-09-01,2014-09-07,,115,0,8,3,,0,11,0,0,1,1,12,103,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,37,2014-09-08,2014-09-14,,100,0,4,2,,0,6,0,0,1,1,7,93,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,38,2014-09-15,2014-09-21,,76,0,4,0,,0,4,1,0,0,1,5,71,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,39,2014-09-22,2014-09-28,,74,0,5,0,,0,5,0,0,0,0,5,69,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,40,2014-09-29,2014-10-05,,84,0,1,1,,0,2,0,0,0,0,2,82,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,41,2014-10-06,2014-10-12,,71,0,2,0,,0,2,0,0,0,0,2,69,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,42,2014-10-13,2014-10-19,,53,0,3,1,,0,4,0,0,0,0,4,49,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,43,2014-10-20,2014-10-26,,35,0,2,0,,0,2,1,0,0,1,3,32,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,44,2014-10-27,2014-11-02,,46,0,0,0,,0,0,1,0,0,1,1,45,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,45,2014-11-03,2014-11-09,,35,0,0,0,,0,0,0,0,0,0,0,35,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,46,2014-11-10,2014-11-16,,45,0,0,0,,0,0,0,0,0,0,0,45,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,47,2014-11-17,2014-11-23,,47,0,0,0,,0,0,0,0,2,2,2,45,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,48,2014-11-24,2014-11-30,,47,0,0,0,,0,0,0,0,1,1,1,46,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,49,2014-12-01,2014-12-07,,40,0,0,0,,0,0,0,0,0,0,0,40,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,50,2014-12-08,2014-12-14,,41,0,0,0,,0,0,0,0,1,1,1,40,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,51,2014-12-15,2014-12-21,,25,0,0,1,,0,1,0,0,0,0,1,24,No Report

Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2014,52,2014-12-22,2014-12-28,,19,0,0,0,,0,0,0,0,0,0,0,19,No Report


