Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,1,2013-12-30,2014-01-05,,4,0,1,0,,0,1,0,0,0,0,1,,No Report

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,2,2014-01-06,2014-01-12,,18,0,0,0,,0,0,0,0,4,4,4,,No Activity

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,3,2014-01-13,2014-01-19,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,4,2014-01-20,2014-01-26,,2,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,5,2014-01-27,2014-02-02,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,6,2014-02-03,2014-02-09,,12,0,5,0,,0,5,0,0,4,4,9,,No Activity

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,7,2014-02-10,2014-02-16,,15,0,2,0,,0,2,0,0,2,2,4,,No Activity

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,8,2014-02-17,2014-02-23,,5,0,0,0,,0,0,0,0,1,1,1,,No Activity

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,9,2014-02-24,2014-03-02,,16,0,6,0,,2,8,0,0,0,0,8,,Sporadic

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,10,2014-03-03,2014-03-09,,14,0,2,0,,1,3,0,0,3,3,6,,No Report

Bosnia and Herzegovina,European Region of WHO,South West Europe,2014,11,2014-03-10,2014-03-16,,44,0,14,0,,0,14,0,0,6,6,20,,No Activity

