Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Brazil,Region of the Americas of WHO,Tropical South America,2010,1,2010-01-04,2010-01-10,61,61,0,3,0,0,0,3,0,0,0,0,3,58,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,2,2010-01-11,2010-01-17,164,164,0,16,2,0,2,20,0,0,0,0,20,144,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,3,2010-01-18,2010-01-24,200,200,0,28,0,0,3,31,0,0,0,0,31,169,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,4,2010-01-25,2010-01-31,99,99,0,14,2,0,0,16,0,0,0,0,16,83,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,5,2010-02-01,2010-02-07,106,106,0,11,3,0,1,15,0,0,0,0,15,91,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,6,2010-02-08,2010-02-14,124,124,0,14,2,0,1,17,0,0,1,1,18,106,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,7,2010-02-15,2010-02-21,63,63,0,12,1,0,1,14,0,0,0,0,14,49,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,8,2010-02-22,2010-02-28,191,191,0,13,4,0,0,17,0,0,0,0,17,174,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,9,2010-03-01,2010-03-07,215,215,0,59,2,0,2,63,0,0,2,2,65,150,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,10,2010-03-08,2010-03-14,406,406,0,83,3,0,4,90,0,0,3,3,93,313,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,11,2010-03-15,2010-03-21,372,372,0,76,1,0,13,90,0,0,1,1,91,281,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,12,2010-03-22,2010-03-28,352,352,0,56,0,0,2,58,0,0,1,1,59,293,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,13,2010-03-29,2010-04-04,432,432,0,46,2,0,2,50,0,0,1,1,51,381,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,14,2010-04-05,2010-04-11,265,265,0,31,5,0,2,38,0,0,4,4,42,223,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,15,2010-04-12,2010-04-18,215,215,0,37,3,0,0,40,0,0,3,3,43,172,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,16,2010-04-19,2010-04-25,309,309,0,17,1,0,0,18,0,0,2,2,20,289,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,17,2010-04-26,2010-05-02,268,268,0,15,2,0,7,24,0,0,2,2,26,242,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,18,2010-05-03,2010-05-09,298,298,0,15,3,0,0,18,0,0,1,1,19,279,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,19,2010-05-10,2010-05-16,172,172,0,8,0,0,2,10,0,0,3,3,13,159,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,20,2010-05-17,2010-05-23,241,241,0,6,1,0,1,8,0,0,0,0,8,233,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,21,2010-05-24,2010-05-30,155,155,0,5,2,0,2,9,0,0,0,0,9,146,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,22,2010-05-31,2010-06-06,122,122,0,7,2,0,1,10,0,0,3,3,13,109,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,23,2010-06-07,2010-06-13,133,133,0,6,0,0,0,6,0,0,3,3,9,124,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,24,2010-06-14,2010-06-20,155,155,0,10,0,0,2,12,0,0,4,4,16,139,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,25,2010-06-21,2010-06-27,141,141,0,15,0,0,0,15,0,0,1,1,16,125,Sporadic

Brazil,Region of the Americas of WHO,Tropical South America,2010,26,2010-06-28,2010-07-04,115,115,0,12,0,0,0,12,0,0,3,3,15,100,Local Outbreak

