,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Brazil,Region of the Americas of WHO,Tropical South America,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
1,Brazil,Region of the Americas of WHO,Tropical South America,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
2,Brazil,Region of the Americas of WHO,Tropical South America,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
3,Brazil,Region of the Americas of WHO,Tropical South America,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
4,Brazil,Region of the Americas of WHO,Tropical South America,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
5,Brazil,Region of the Americas of WHO,Tropical South America,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
6,Brazil,Region of the Americas of WHO,Tropical South America,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
7,Brazil,Region of the Americas of WHO,Tropical South America,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
8,Brazil,Region of the Americas of WHO,Tropical South America,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
9,Brazil,Region of the Americas of WHO,Tropical South America,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
10,Brazil,Region of the Americas of WHO,Tropical South America,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
11,Brazil,Region of the Americas of WHO,Tropical South America,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
12,Brazil,Region of the Americas of WHO,Tropical South America,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
13,Brazil,Region of the Americas of WHO,Tropical South America,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
14,Brazil,Region of the Americas of WHO,Tropical South America,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
