Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Bulgaria,European Region of WHO,Eastern Europe,2015,1,2014-12-29,2015-01-04,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,2,2015-01-05,2015-01-11,,13,0,1,0,,0,1,0,0,0,0,1,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,3,2015-01-12,2015-01-18,,20,0,1,3,,0,4,0,0,0,0,4,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,4,2015-01-19,2015-01-25,,96,0,3,25,,0,28,2,0,0,2,30,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,5,2015-01-26,2015-02-01,,96,0,5,28,,0,33,3,0,0,3,36,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,6,2015-02-02,2015-02-08,,81,0,2,23,,0,25,3,0,0,3,28,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,7,2015-02-09,2015-02-15,,49,0,0,12,,0,12,6,0,0,6,18,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,8,2015-02-16,2015-02-22,,33,0,1,5,,0,6,1,0,0,1,7,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,9,2015-02-23,2015-03-01,,91,0,7,21,,0,28,6,0,0,6,34,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,10,2015-03-02,2015-03-08,,43,0,7,8,,0,15,6,0,0,6,21,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,11,2015-03-09,2015-03-15,,22,0,0,3,,0,3,5,0,0,5,8,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,12,2015-03-16,2015-03-22,,44,0,0,7,,0,7,4,0,0,4,11,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,13,2015-03-23,2015-03-29,,14,0,0,2,,0,2,3,0,0,3,5,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,14,2015-03-30,2015-04-05,,16,0,0,2,,0,2,7,0,0,7,9,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,15,2015-04-06,2015-04-12,,25,0,2,4,,0,6,2,0,0,2,8,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,16,2015-04-13,2015-04-19,,8,0,0,0,,0,0,2,0,0,2,2,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,17,2015-04-20,2015-04-26,,5,0,2,0,,0,2,2,0,0,2,4,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,18,2015-04-27,2015-05-03,,4,0,0,0,,0,0,1,0,0,1,1,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,19,2015-05-04,2015-05-10,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,20,2015-05-11,2015-05-17,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,21,2015-05-18,2015-05-24,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,22,2015-05-25,2015-05-31,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,23,2015-06-01,2015-06-07,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,24,2015-06-08,2015-06-14,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,25,2015-06-15,2015-06-21,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,26,2015-06-22,2015-06-28,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,27,2015-06-29,2015-07-05,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,28,2015-07-06,2015-07-12,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,29,2015-07-13,2015-07-19,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,30,2015-07-20,2015-07-26,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,31,2015-07-27,2015-08-02,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,32,2015-08-03,2015-08-09,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,33,2015-08-10,2015-08-16,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,34,2015-08-17,2015-08-23,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,35,2015-08-24,2015-08-30,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Bulgaria,European Region of WHO,Eastern Europe,2015,36,2015-08-31,2015-09-06,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

