,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Bulgaria,European Region of WHO,Eastern Europe,2020,1,2019-12-30,2020-01-05,,16.0,0.0,3.0,2.0,,0.0,5.0,0.0,1.0,0.0,1.0,6.0,,No Report
1,Bulgaria,European Region of WHO,Eastern Europe,2020,2,2020-01-06,2020-01-12,,54.0,0.0,9.0,11.0,,0.0,20.0,0.0,2.0,0.0,2.0,22.0,,No Report
2,Bulgaria,European Region of WHO,Eastern Europe,2020,3,2020-01-13,2020-01-19,,134.0,0.0,34.0,32.0,,0.0,66.0,0.0,10.0,0.0,10.0,76.0,,No Report
3,Bulgaria,European Region of WHO,Eastern Europe,2020,4,2020-01-20,2020-01-26,,353.0,0.0,59.0,110.0,,0.0,169.0,0.0,26.0,2.0,28.0,197.0,,No Report
4,Bulgaria,European Region of WHO,Eastern Europe,2020,5,2020-01-27,2020-02-02,,265.0,0.0,30.0,94.0,,0.0,124.0,0.0,8.0,0.0,8.0,132.0,,No Report
5,Bulgaria,European Region of WHO,Eastern Europe,2020,6,2020-02-03,2020-02-09,,111.0,0.0,5.0,37.0,,0.0,42.0,0.0,3.0,1.0,4.0,46.0,,No Report
6,Bulgaria,European Region of WHO,Eastern Europe,2020,7,2020-02-10,2020-02-16,,66.0,0.0,5.0,13.0,,0.0,18.0,0.0,11.0,0.0,11.0,29.0,,No Report
7,Bulgaria,European Region of WHO,Eastern Europe,2020,8,2020-02-17,2020-02-23,,57.0,0.0,1.0,6.0,,0.0,7.0,0.0,13.0,0.0,13.0,20.0,,No Report
8,Bulgaria,European Region of WHO,Eastern Europe,2020,9,2020-02-24,2020-03-01,,67.0,0.0,0.0,2.0,,0.0,2.0,0.0,24.0,0.0,24.0,26.0,,No Report
9,Bulgaria,European Region of WHO,Eastern Europe,2020,10,2020-03-02,2020-03-08,,56.0,0.0,0.0,2.0,,0.0,2.0,0.0,11.0,0.0,11.0,13.0,,No Report
10,Bulgaria,European Region of WHO,Eastern Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Bulgaria,European Region of WHO,Eastern Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Bulgaria,European Region of WHO,Eastern Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Bulgaria,European Region of WHO,Eastern Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Bulgaria,European Region of WHO,Eastern Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Bulgaria,European Region of WHO,Eastern Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Bulgaria,European Region of WHO,Eastern Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Bulgaria,European Region of WHO,Eastern Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Bulgaria,European Region of WHO,Eastern Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Bulgaria,European Region of WHO,Eastern Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Bulgaria,European Region of WHO,Eastern Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Bulgaria,European Region of WHO,Eastern Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Bulgaria,European Region of WHO,Eastern Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Bulgaria,European Region of WHO,Eastern Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Bulgaria,European Region of WHO,Eastern Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Bulgaria,European Region of WHO,Eastern Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Bulgaria,European Region of WHO,Eastern Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Bulgaria,European Region of WHO,Eastern Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Bulgaria,European Region of WHO,Eastern Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Bulgaria,European Region of WHO,Eastern Europe,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Bulgaria,European Region of WHO,Eastern Europe,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Bulgaria,European Region of WHO,Eastern Europe,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Bulgaria,European Region of WHO,Eastern Europe,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Bulgaria,European Region of WHO,Eastern Europe,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,Bulgaria,European Region of WHO,Eastern Europe,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,Bulgaria,European Region of WHO,Eastern Europe,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,Bulgaria,European Region of WHO,Eastern Europe,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,Bulgaria,European Region of WHO,Eastern Europe,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,Bulgaria,European Region of WHO,Eastern Europe,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
39,Bulgaria,European Region of WHO,Eastern Europe,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
40,Bulgaria,European Region of WHO,Eastern Europe,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
41,Bulgaria,European Region of WHO,Eastern Europe,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
42,Bulgaria,European Region of WHO,Eastern Europe,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
43,Bulgaria,European Region of WHO,Eastern Europe,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
44,Bulgaria,European Region of WHO,Eastern Europe,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
45,Bulgaria,European Region of WHO,Eastern Europe,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
46,Bulgaria,European Region of WHO,Eastern Europe,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
47,Bulgaria,European Region of WHO,Eastern Europe,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
