Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Burkina Faso,African Region of WHO,Western Africa,2017,1,2017-01-02,2017-01-08,12,12,0,0,0,0,0,0,0,3,0,3,3,9,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,2,2017-01-09,2017-01-15,10,10,0,0,0,0,0,0,0,2,0,2,2,8,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,3,2017-01-16,2017-01-22,10,10,0,0,0,0,0,0,0,3,0,3,3,7,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,4,2017-01-23,2017-01-29,9,9,0,0,0,0,0,0,0,3,0,3,3,7,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,5,2017-01-30,2017-02-05,9,9,0,0,0,0,0,0,0,0,0,0,0,9,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,6,2017-02-06,2017-02-12,11,11,0,1,0,0,1,2,0,1,0,1,3,9,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,7,2017-02-13,2017-02-19,9,9,0,1,0,0,0,1,0,0,0,0,1,8,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,8,2017-02-20,2017-02-26,6,6,0,2,0,0,0,2,0,0,0,0,2,4,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,9,2017-02-27,2017-03-05,9,9,,3,0,0,0,3,0,2,0,2,5,4,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,10,2017-03-06,2017-03-12,6,6,,1,0,0,0,1,0,0,0,0,1,5,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,11,2017-03-13,2017-03-19,6,6,,1,0,0,0,1,0,0,0,0,1,5,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,12,2017-03-20,2017-03-26,5,5,,3,0,0,0,3,0,0,0,0,3,2,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,13,2017-03-27,2017-04-02,5,5,,0,0,0,0,0,0,0,0,0,0,5,Regional Outbreak

Burkina Faso,African Region of WHO,Western Africa,2017,14,2017-04-03,2017-04-09,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,15,2017-04-10,2017-04-16,7,7,,3,0,0,0,3,0,0,0,0,3,4,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,16,2017-04-17,2017-04-23,8,8,,0,0,0,0,0,0,0,0,0,0,8,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,17,2017-04-24,2017-04-30,6,6,,0,0,0,0,0,0,0,0,0,0,6,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,18,2017-05-01,2017-05-07,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,19,2017-05-08,2017-05-14,9,9,,2,0,0,0,2,0,0,0,0,2,7,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,20,2017-05-15,2017-05-21,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,21,2017-05-22,2017-05-28,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,22,2017-05-29,2017-06-04,8,8,,0,0,0,0,0,0,0,0,0,0,8,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,23,2017-06-05,2017-06-11,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,24,2017-06-12,2017-06-18,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,25,2017-06-19,2017-06-25,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,26,2017-06-26,2017-07-02,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,27,2017-07-03,2017-07-09,8,8,,0,0,0,0,0,0,0,0,0,0,8,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,28,2017-07-10,2017-07-16,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,29,2017-07-17,2017-07-23,7,7,,0,0,0,0,0,0,0,0,0,0,7,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,30,2017-07-24,2017-07-30,6,6,,0,0,0,0,0,0,0,0,0,0,6,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,31,2017-07-31,2017-08-06,9,9,,0,0,0,0,0,0,0,0,0,0,9,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,32,2017-08-07,2017-08-13,6,6,,0,0,0,0,0,0,0,0,0,0,6,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,33,2017-08-14,2017-08-20,8,8,,0,0,0,0,0,0,0,0,0,0,8,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,34,2017-08-21,2017-08-27,4,4,,0,0,0,0,0,0,0,0,0,0,4,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,35,2017-08-28,2017-09-03,8,8,,0,0,0,0,0,0,0,0,0,0,8,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,36,2017-09-04,2017-09-10,6,6,,0,0,0,0,0,0,0,0,0,0,6,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,37,2017-09-11,2017-09-17,11,11,,0,0,0,0,0,0,0,0,0,0,11,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,38,2017-09-18,2017-09-24,14,14,,0,0,0,0,0,0,0,0,0,0,14,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,39,2017-09-25,2017-10-01,16,16,,1,0,0,0,1,0,0,0,0,1,15,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,40,2017-10-02,2017-10-08,11,11,,0,0,0,0,0,0,0,0,0,0,11,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,41,2017-10-09,2017-10-15,19,19,,0,0,0,0,0,0,0,0,0,0,19,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,42,2017-10-16,2017-10-22,16,16,,0,0,0,0,0,0,0,0,0,0,16,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,43,2017-10-23,2017-10-29,13,13,,0,0,0,0,0,0,0,0,0,0,13,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,44,2017-10-30,2017-11-05,12,12,,0,1,0,0,1,0,0,0,0,1,12,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,45,2017-11-06,2017-11-12,9,9,,0,0,0,0,0,0,0,0,0,0,9,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,46,2017-11-13,2017-11-19,16,16,,0,0,0,0,0,0,0,0,0,0,16,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,47,2017-11-20,2017-11-26,12,12,,1,0,0,0,1,0,0,0,0,1,11,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,48,2017-11-27,2017-12-03,18,18,,1,0,0,0,1,0,0,0,0,1,17,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,49,2017-12-04,2017-12-10,16,16,,3,1,0,0,4,0,0,0,0,4,12,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,50,2017-12-11,2017-12-17,20,20,,3,3,0,0,6,0,0,0,0,6,17,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,51,2017-12-18,2017-12-24,17,17,,4,1,0,0,5,0,0,0,0,5,12,No Report

Burkina Faso,African Region of WHO,Western Africa,2017,52,2017-12-25,2017-12-31,18,18,,3,1,0,0,4,0,0,0,0,4,14,No Report


