textbox22,Textbox9
generated on 02/04/2020 17:07:12 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Côte d'Ivoire,African Region of WHO,Western Africa,2016,1,2016-01-04,2016-01-10,35,35,0,0,0,0,4,4,0,0,0,0,4,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,2,2016-01-11,2016-01-17,44,44,0,0,0,0,1,1,0,0,0,0,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,3,2016-01-18,2016-01-24,33,33,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Côte d'Ivoire,African Region of WHO,Western Africa,2016,4,2016-01-25,2016-01-31,49,49,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Côte d'Ivoire,African Region of WHO,Western Africa,2016,5,2016-02-01,2016-02-07,61,61,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,6,2016-02-08,2016-02-14,31,31,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Côte d'Ivoire,African Region of WHO,Western Africa,2016,7,2016-02-15,2016-02-21,50,50,0,2,0,0,0,2,0,0,1,1,3,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,8,2016-02-22,2016-02-28,24,24,0,1,0,0,0,1,1,0,0,1,2,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,9,2016-02-29,2016-03-06,32,32,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,10,2016-03-07,2016-03-13,35,35,0,2,0,0,0,2,1,0,0,1,3,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,11,2016-03-14,2016-03-20,43,43,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,12,2016-03-21,2016-03-27,33,33,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Côte d'Ivoire,African Region of WHO,Western Africa,2016,13,2016-03-28,2016-04-03,44,44,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Côte d'Ivoire,African Region of WHO,Western Africa,2016,14,2016-04-04,2016-04-10,45,45,0,0,4,0,0,4,1,0,0,1,5,,Local Outbreak
Côte d'Ivoire,African Region of WHO,Western Africa,2016,15,2016-04-11,2016-04-17,27,27,0,6,6,0,0,12,0,0,0,0,12,,Local Outbreak
Côte d'Ivoire,African Region of WHO,Western Africa,2016,16,2016-04-18,2016-04-24,38,38,0,10,3,0,0,13,0,0,0,0,13,,Local Outbreak
Côte d'Ivoire,African Region of WHO,Western Africa,2016,17,2016-04-25,2016-05-01,36,36,0,6,4,0,0,10,0,0,0,0,10,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,18,2016-05-02,2016-05-08,27,27,0,2,3,0,0,5,0,0,0,0,5,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,19,2016-05-09,2016-05-15,38,38,0,4,8,0,0,12,1,0,0,1,13,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,20,2016-05-16,2016-05-22,32,32,0,6,4,0,0,10,0,0,0,0,10,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,21,2016-05-23,2016-05-29,25,25,0,3,1,0,0,4,0,0,0,0,4,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,22,2016-05-30,2016-06-05,45,45,0,7,0,0,0,7,2,0,0,2,9,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,23,2016-06-06,2016-06-12,48,48,0,4,15,0,0,19,3,1,0,4,23,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,24,2016-06-13,2016-06-19,32,32,0,4,3,0,0,7,0,3,0,3,10,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,25,2016-06-20,2016-06-26,43,43,0,1,3,0,0,4,3,5,0,8,12,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,26,2016-06-27,2016-07-03,30,30,0,1,5,0,0,6,4,0,0,4,10,,No Report
Côte d'Ivoire,African Region of WHO,Western Africa,2016,27,2016-07-04,2016-07-10,13,13,0,0,1,0,0,1,4,0,0,4,5,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,28,2016-07-11,2016-07-17,5,5,0,0,0,0,0,0,0,1,0,1,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,29,2016-07-18,2016-07-24,12,12,0,0,0,0,0,0,2,0,0,2,2,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,30,2016-07-25,2016-07-31,26,26,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,31,2016-08-01,2016-08-07,48,48,0,0,1,0,0,1,5,1,0,6,7,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,32,2016-08-08,2016-08-14,15,15,0,0,0,0,0,0,1,2,0,3,3,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,33,2016-08-15,2016-08-21,19,19,0,0,0,0,0,0,4,0,0,4,4,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,34,2016-08-22,2016-08-28,80,80,0,0,0,0,0,0,14,5,0,19,19,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,35,2016-08-29,2016-09-04,61,61,0,0,0,0,0,0,1,6,0,7,7,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,36,2016-09-05,2016-09-11,67,67,0,0,1,0,0,1,0,6,0,6,7,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,37,2016-09-12,2016-09-18,17,17,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Côte d'Ivoire,African Region of WHO,Western Africa,2016,38,2016-09-19,2016-09-25,35,35,,0,0,,0,0,0,3,0,3,3,32,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,39,2016-09-26,2016-10-02,44,44,,0,0,,0,0,0,9,0,9,9,35,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,40,2016-10-03,2016-10-09,68,68,,0,0,,0,0,0,10,0,10,10,58,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,41,2016-10-10,2016-10-16,50,50,,0,0,,0,0,1,11,0,12,12,38,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,42,2016-10-17,2016-10-23,71,71,,0,0,,0,0,1,23,7,31,31,40,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,43,2016-10-24,2016-10-30,43,43,,0,0,,0,0,0,6,0,6,6,37,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,44,2016-10-31,2016-11-06,65,65,,0,1,,0,1,0,14,2,16,17,48,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,45,2016-11-07,2016-11-13,47,47,,0,0,,0,0,0,11,1,12,12,35,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,46,2016-11-14,2016-11-20,53,53,,2,0,,0,2,1,13,0,14,16,37,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,47,2016-11-21,2016-11-27,39,39,,0,0,,0,0,0,4,0,4,4,35,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,48,2016-11-28,2016-12-04,47,47,,0,1,,0,1,0,10,0,10,11,36,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,49,2016-12-05,2016-12-11,49,49,,0,0,,0,0,0,6,0,6,6,43,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,50,2016-12-12,2016-12-18,37,37,,0,0,,0,0,0,3,0,3,3,34,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,51,2016-12-19,2016-12-25,61,61,,0,1,,0,1,0,9,0,9,10,51,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2016,52,2016-12-26,2017-01-01,17,17,,0,1,,0,1,0,1,0,1,2,15,Sporadic

