Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,1,2012-01-02,2012-01-08,87,87,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,2,2012-01-09,2012-01-15,103,103,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,3,2012-01-16,2012-01-22,112,112,0,0,0,1,0,1,0,0,0,0,1,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,4,2012-01-23,2012-01-29,112,112,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,5,2012-01-30,2012-02-05,100,100,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,6,2012-02-06,2012-02-12,85,85,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,7,2012-02-13,2012-02-19,130,130,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,8,2012-02-20,2012-02-26,110,110,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,9,2012-02-27,2012-03-04,97,97,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,10,2012-03-05,2012-03-11,97,97,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,11,2012-03-12,2012-03-18,84,84,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,12,2012-03-19,2012-03-25,105,105,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,13,2012-03-26,2012-04-01,123,123,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,14,2012-04-02,2012-04-08,90,90,0,0,0,1,0,1,0,0,1,1,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,15,2012-04-09,2012-04-15,87,87,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,16,2012-04-16,2012-04-22,52,52,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,17,2012-04-23,2012-04-29,52,52,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,18,2012-04-30,2012-05-06,52,52,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,19,2012-05-07,2012-05-13,54,54,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,20,2012-05-14,2012-05-20,47,47,0,0,2,0,0,2,0,0,0,0,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,21,2012-05-21,2012-05-27,53,53,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,22,2012-05-28,2012-06-03,58,58,0,0,2,1,0,3,0,0,0,0,3,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,23,2012-06-04,2012-06-10,59,59,0,0,4,0,0,4,0,0,0,0,4,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,24,2012-06-11,2012-06-17,58,58,0,0,2,0,0,2,0,0,0,0,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,25,2012-06-18,2012-06-24,64,64,0,0,6,0,0,6,0,0,1,1,7,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,26,2012-06-25,2012-07-01,59,59,0,0,9,0,0,9,0,0,0,0,9,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,27,2012-07-02,2012-07-08,57,57,0,0,2,0,0,2,0,0,0,0,2,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,28,2012-07-09,2012-07-15,54,54,0,0,4,0,0,4,0,0,1,1,5,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,29,2012-07-16,2012-07-22,50,50,0,0,4,0,0,4,0,0,1,1,5,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,30,2012-07-23,2012-07-29,50,50,0,0,9,0,0,9,0,0,0,0,9,,Local Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,31,2012-07-30,2012-08-05,51,51,0,0,8,0,0,8,0,0,0,0,8,,Local Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,32,2012-08-06,2012-08-12,51,51,0,0,3,0,0,3,0,0,2,2,5,,Local Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,33,2012-08-13,2012-08-19,51,51,0,0,3,0,0,3,0,0,0,0,3,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,34,2012-08-20,2012-08-26,50,50,0,0,2,0,0,2,0,0,1,1,3,,Sporadic

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,35,2012-08-27,2012-09-02,55,55,0,0,4,0,0,4,0,0,0,0,4,,Local Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,36,2012-09-03,2012-09-09,53,53,0,1,2,0,0,3,0,0,0,0,3,,Local Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,37,2012-09-10,2012-09-16,51,51,0,0,9,0,0,9,0,0,1,1,10,,Local Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,38,2012-09-17,2012-09-23,50,50,0,0,5,0,0,5,0,0,5,5,10,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,39,2012-09-24,2012-09-30,51,51,0,1,11,0,0,12,0,0,2,2,14,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,40,2012-10-01,2012-10-07,50,50,0,1,7,0,0,8,0,0,2,2,10,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,41,2012-10-08,2012-10-14,51,51,0,0,15,0,0,15,0,0,0,0,15,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,42,2012-10-15,2012-10-21,48,48,0,0,16,0,0,16,0,0,0,0,16,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,43,2012-10-22,2012-10-28,68,68,0,0,17,0,0,17,0,0,3,3,20,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,44,2012-10-29,2012-11-04,65,65,0,3,16,0,0,19,0,0,2,2,21,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,45,2012-11-05,2012-11-11,51,51,0,2,15,0,0,17,0,0,4,4,21,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,46,2012-11-12,2012-11-18,50,50,0,1,14,0,0,15,0,0,2,2,17,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,47,2012-11-19,2012-11-25,50,50,0,1,12,0,0,13,0,0,8,8,21,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,48,2012-11-26,2012-12-02,47,47,0,2,7,0,0,9,0,0,5,5,14,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,49,2012-12-03,2012-12-09,53,53,0,2,5,0,0,7,0,0,7,7,14,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,50,2012-12-10,2012-12-16,52,52,0,1,6,0,0,7,0,0,9,9,16,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,51,2012-12-17,2012-12-23,51,51,0,1,8,0,0,9,0,0,8,8,17,,Regional Outbreak

Cambodia,Western Pacific Region of WHO,South-East Asia,2012,52,2012-12-24,2012-12-30,49,49,0,0,4,0,0,4,0,0,7,7,11,,Regional Outbreak


