Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Cameroon,African Region of WHO,Middle Africa,2010,1,2010-01-04,2010-01-10,4,4,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,2,2010-01-11,2010-01-17,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2010,3,2010-01-18,2010-01-24,5,5,0,0,1,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,4,2010-01-25,2010-01-31,12,12,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,5,2010-02-01,2010-02-07,13,13,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,6,2010-02-08,2010-02-14,17,17,0,6,0,0,0,6,0,0,0,0,6,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2010,7,2010-02-15,2010-02-21,16,16,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,8,2010-02-22,2010-02-28,32,32,0,4,0,0,0,4,0,0,0,0,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,9,2010-03-01,2010-03-07,25,25,0,2,1,0,0,3,0,0,1,1,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,10,2010-03-08,2010-03-14,18,18,0,2,0,0,0,2,0,0,5,5,7,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2010,11,2010-03-15,2010-03-21,15,15,0,2,0,0,0,2,0,0,3,3,5,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,12,2010-03-22,2010-03-28,19,19,0,5,0,0,0,5,0,0,3,3,8,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,13,2010-03-29,2010-04-04,15,15,0,3,0,0,0,3,0,0,8,8,11,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,14,2010-04-05,2010-04-11,15,15,0,4,0,0,0,4,0,0,4,4,8,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,15,2010-04-12,2010-04-18,20,20,0,1,0,0,0,1,0,0,2,2,3,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,16,2010-04-19,2010-04-25,22,22,0,0,0,0,0,0,0,0,8,8,8,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,17,2010-04-26,2010-05-02,26,26,0,1,0,0,0,1,0,0,8,8,9,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,18,2010-05-03,2010-05-09,25,25,0,0,0,0,0,0,0,0,9,9,9,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,19,2010-05-10,2010-05-16,12,12,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,20,2010-05-17,2010-05-23,7,7,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,21,2010-05-24,2010-05-30,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2010,22,2010-05-31,2010-06-06,37,37,0,0,0,0,0,0,0,0,9,9,9,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,23,2010-06-07,2010-06-13,77,77,0,2,0,0,0,2,0,0,25,25,27,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,24,2010-06-14,2010-06-20,65,65,0,0,0,0,0,0,0,0,17,17,17,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,25,2010-06-21,2010-06-27,41,41,0,0,0,0,0,0,0,0,14,14,14,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,26,2010-06-28,2010-07-04,61,61,0,0,0,0,0,0,0,0,16,16,16,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,27,2010-07-05,2010-07-11,69,69,0,0,0,0,0,0,0,0,11,11,11,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,28,2010-07-12,2010-07-18,60,60,0,0,0,0,0,0,0,0,14,14,14,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,29,2010-07-19,2010-07-25,58,58,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2010,30,2010-07-26,2010-08-01,88,88,0,0,1,0,0,1,0,0,6,6,7,,Sporadic

