Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Cameroon,African Region of WHO,Middle Africa,2011,1,2011-01-03,2011-01-09,60,60,0,3,0,0,0,3,0,0,1,1,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,2,2011-01-10,2011-01-16,45,45,0,3,0,0,0,3,0,0,1,1,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,3,2011-01-17,2011-01-23,77,77,0,7,0,0,0,7,0,0,2,2,9,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,4,2011-01-24,2011-01-30,75,75,0,5,0,0,0,5,0,0,1,1,6,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,5,2011-01-31,2011-02-06,69,69,0,7,1,0,0,8,0,0,3,3,11,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,6,2011-02-07,2011-02-13,56,56,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,7,2011-02-14,2011-02-20,39,39,0,2,0,0,0,2,0,0,0,0,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,8,2011-02-21,2011-02-27,47,47,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,9,2011-02-28,2011-03-06,54,54,0,4,0,0,0,4,0,0,0,0,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,10,2011-03-07,2011-03-13,64,64,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,11,2011-03-14,2011-03-20,53,53,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,12,2011-03-21,2011-03-27,58,58,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2011,13,2011-03-28,2011-04-03,42,42,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,14,2011-04-04,2011-04-10,43,43,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,15,2011-04-11,2011-04-17,40,40,0,2,0,0,0,2,0,0,0,0,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,16,2011-04-18,2011-04-24,33,33,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2011,17,2011-04-25,2011-05-01,45,45,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2011,18,2011-05-02,2011-05-08,39,39,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2011,19,2011-05-09,2011-05-15,32,32,0,0,0,0,0,0,0,1,0,1,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,20,2011-05-16,2011-05-22,28,28,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Cameroon,African Region of WHO,Middle Africa,2011,21,2011-05-23,2011-05-29,13,13,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,22,2011-05-30,2011-06-05,26,26,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,23,2011-06-06,2011-06-12,19,19,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,24,2011-06-13,2011-06-19,30,30,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,25,2011-06-20,2011-06-26,25,25,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,26,2011-06-27,2011-07-03,34,34,0,0,0,0,0,0,0,0,4,4,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,27,2011-07-04,2011-07-10,41,41,0,0,0,0,0,0,0,0,6,6,6,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,28,2011-07-11,2011-07-17,46,46,0,1,0,0,0,1,0,0,3,3,4,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,29,2011-07-18,2011-07-24,51,51,0,1,0,0,0,1,0,0,5,5,6,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,30,2011-07-25,2011-07-31,47,47,0,0,0,0,0,0,0,0,8,8,8,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,31,2011-08-01,2011-08-07,48,48,0,3,0,0,0,3,0,0,11,11,14,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,32,2011-08-08,2011-08-14,43,43,0,5,0,0,0,5,0,0,6,6,11,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,33,2011-08-15,2011-08-21,31,31,0,4,0,0,0,4,0,0,8,8,12,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,34,2011-08-22,2011-08-28,55,55,0,5,0,0,0,5,0,0,12,12,17,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,35,2011-08-29,2011-09-04,32,32,0,4,0,0,0,4,0,0,5,5,9,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,36,2011-09-05,2011-09-11,73,73,0,4,1,0,0,5,0,0,20,20,25,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,37,2011-09-12,2011-09-18,90,90,0,3,1,0,0,4,0,0,16,16,20,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,38,2011-09-19,2011-09-25,113,113,0,9,2,0,0,11,0,0,20,20,31,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,39,2011-09-26,2011-10-02,80,80,0,2,4,0,0,6,0,0,13,13,19,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,40,2011-10-03,2011-10-09,102,102,0,6,7,0,0,13,0,0,24,24,37,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,41,2011-10-10,2011-10-16,52,52,0,8,1,0,0,9,0,0,9,9,18,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,42,2011-10-17,2011-10-23,73,73,0,11,3,0,0,14,0,0,15,15,29,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,43,2011-10-24,2011-10-30,55,55,0,4,11,0,0,15,0,0,12,12,27,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,44,2011-10-31,2011-11-06,63,63,0,9,10,0,0,19,0,0,6,6,25,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,45,2011-11-07,2011-11-13,78,78,0,5,12,0,0,17,0,0,13,13,30,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,46,2011-11-14,2011-11-20,43,43,0,1,12,0,0,13,0,0,7,7,20,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,47,2011-11-21,2011-11-27,62,62,0,2,7,0,0,9,0,0,6,6,15,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,48,2011-11-28,2011-12-04,74,74,0,1,14,0,0,15,0,0,9,9,24,,Local Outbreak

Cameroon,African Region of WHO,Middle Africa,2011,49,2011-12-05,2011-12-11,53,53,0,0,7,0,0,7,0,0,2,2,9,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,50,2011-12-12,2011-12-18,73,73,0,1,1,0,0,2,0,0,8,8,10,,Sporadic

Cameroon,African Region of WHO,Middle Africa,2011,51,2011-12-19,2011-12-25,39,39,0,0,4,0,0,4,0,0,2,2,6,,Sporadic

