,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Cameroon,African Region of WHO,Middle Africa,2020,1,2019-12-30,2020-01-05,,,,,,,,,,,,,,,No Report
1,Cameroon,African Region of WHO,Middle Africa,2020,2,2020-01-06,2020-01-12,,,,,,,,,,,,,,,No Report
2,Cameroon,African Region of WHO,Middle Africa,2020,3,2020-01-13,2020-01-19,,,,,,,,,,,,,,,No Report
3,Cameroon,African Region of WHO,Middle Africa,2020,4,2020-01-20,2020-01-26,,,,,,,,,,,,,,,No Report
4,Cameroon,African Region of WHO,Middle Africa,2020,5,2020-01-27,2020-02-02,,,,,,,,,,,,,,,No Report
5,Cameroon,African Region of WHO,Middle Africa,2020,6,2020-02-03,2020-02-09,,,,,,,,,,,,,,,No Report
6,Cameroon,African Region of WHO,Middle Africa,2020,7,2020-02-10,2020-02-16,,,,,,,,,,,,,,,No Report
7,Cameroon,African Region of WHO,Middle Africa,2020,8,2020-02-17,2020-02-23,,,,,,,,,,,,,,,No Report
8,Cameroon,African Region of WHO,Middle Africa,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
9,Cameroon,African Region of WHO,Middle Africa,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Cameroon,African Region of WHO,Middle Africa,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Cameroon,African Region of WHO,Middle Africa,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Cameroon,African Region of WHO,Middle Africa,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Cameroon,African Region of WHO,Middle Africa,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Cameroon,African Region of WHO,Middle Africa,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Cameroon,African Region of WHO,Middle Africa,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Cameroon,African Region of WHO,Middle Africa,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Cameroon,African Region of WHO,Middle Africa,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Cameroon,African Region of WHO,Middle Africa,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Cameroon,African Region of WHO,Middle Africa,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Cameroon,African Region of WHO,Middle Africa,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Cameroon,African Region of WHO,Middle Africa,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Cameroon,African Region of WHO,Middle Africa,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Cameroon,African Region of WHO,Middle Africa,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Cameroon,African Region of WHO,Middle Africa,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Cameroon,African Region of WHO,Middle Africa,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Cameroon,African Region of WHO,Middle Africa,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Cameroon,African Region of WHO,Middle Africa,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Cameroon,African Region of WHO,Middle Africa,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Cameroon,African Region of WHO,Middle Africa,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Cameroon,African Region of WHO,Middle Africa,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Cameroon,African Region of WHO,Middle Africa,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
