Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Central African Republic,African Region of WHO,Middle Africa,2012,1,2012-01-02,2012-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Central African Republic,African Region of WHO,Middle Africa,2012,2,2012-01-09,2012-01-15,7,7,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,3,2012-01-16,2012-01-22,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,4,2012-01-23,2012-01-29,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,5,2012-01-30,2012-02-05,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,6,2012-02-06,2012-02-12,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,7,2012-02-13,2012-02-19,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,8,2012-02-20,2012-02-26,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,9,2012-02-27,2012-03-04,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,10,2012-03-05,2012-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,11,2012-03-12,2012-03-18,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,12,2012-03-19,2012-03-25,7,7,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,13,2012-03-26,2012-04-01,7,7,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,14,2012-04-02,2012-04-08,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,15,2012-04-09,2012-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,16,2012-04-16,2012-04-22,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,17,2012-04-23,2012-04-29,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,18,2012-04-30,2012-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,19,2012-05-07,2012-05-13,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,20,2012-05-14,2012-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,21,2012-05-21,2012-05-27,20,20,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,22,2012-05-28,2012-06-03,11,11,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,23,2012-06-04,2012-06-10,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,24,2012-06-11,2012-06-17,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,25,2012-06-18,2012-06-24,14,14,0,0,0,0,0,0,0,0,0,0,0,,No Report

Central African Republic,African Region of WHO,Middle Africa,2012,26,2012-06-25,2012-07-01,19,19,0,0,0,0,0,0,0,0,0,0,0,,No Report

