Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Chile,Region of the Americas of WHO,Temperate South America,2014,1,2013-12-30,2014-01-05,,362,0,0,0,,0,0,2,3,0,5,5,357,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,2,2014-01-06,2014-01-12,,418,0,0,4,,0,4,1,2,0,3,7,411,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,3,2014-01-13,2014-01-19,,329,0,2,4,,0,6,1,3,0,4,10,319,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,4,2014-01-20,2014-01-26,,298,0,1,1,,0,2,0,0,0,0,2,296,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,5,2014-01-27,2014-02-02,,326,0,3,1,,0,4,0,0,0,0,4,322,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,6,2014-02-03,2014-02-09,,265,0,1,1,,0,2,0,0,0,0,2,263,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,7,2014-02-10,2014-02-16,,283,0,0,1,,0,1,0,0,0,0,1,282,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,8,2014-02-17,2014-02-23,,273,0,0,0,,0,0,0,0,0,0,0,273,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,9,2014-02-24,2014-03-02,,271,0,1,1,,0,2,1,0,0,1,3,268,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,10,2014-03-03,2014-03-09,,310,0,0,1,,0,1,0,0,0,0,1,309,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,11,2014-03-10,2014-03-16,,392,0,1,1,,0,2,0,0,0,0,2,390,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,12,2014-03-17,2014-03-23,,525,0,0,0,,0,0,0,0,0,0,0,525,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,13,2014-03-24,2014-03-30,,449,0,0,0,,0,0,0,0,1,1,1,448,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,14,2014-03-31,2014-04-06,,455,0,1,4,,0,5,1,0,0,1,6,449,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,15,2014-04-07,2014-04-13,,429,0,0,2,,1,3,3,0,0,3,6,423,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,16,2014-04-14,2014-04-20,,442,0,1,3,,1,5,0,0,0,0,5,437,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,17,2014-04-21,2014-04-27,,524,0,0,11,,6,17,0,0,0,0,17,507,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,18,2014-04-28,2014-05-04,,481,0,0,10,,6,16,4,0,0,4,20,461,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,19,2014-05-05,2014-05-11,,586,0,0,11,,19,30,0,0,0,0,30,556,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,20,2014-05-12,2014-05-18,,643,0,0,33,,18,51,3,0,0,3,54,589,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,21,2014-05-19,2014-05-25,,718,0,0,22,,18,40,1,0,0,1,41,677,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,22,2014-05-26,2014-06-01,,929,0,0,43,,17,60,1,0,2,3,63,866,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,23,2014-06-02,2014-06-08,,1062,0,0,76,,3,79,3,0,0,3,82,980,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,24,2014-06-09,2014-06-15,,1297,0,0,88,,12,100,3,0,0,3,103,1194,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,25,2014-06-16,2014-06-22,,1544,0,0,127,,14,141,9,0,0,9,150,1394,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,26,2014-06-23,2014-06-29,,1775,0,0,128,,17,145,10,0,2,12,157,1618,No Report

Chile,Region of the Americas of WHO,Temperate South America,2014,27,2014-06-30,2014-07-06,,1840,0,0,174,,21,195,12,0,0,12,207,1633,No Report

