,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,China,Western Pacific Region of WHO,Eastern Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
1,China,Western Pacific Region of WHO,Eastern Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
2,China,Western Pacific Region of WHO,Eastern Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
3,China,Western Pacific Region of WHO,Eastern Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
4,China,Western Pacific Region of WHO,Eastern Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
5,China,Western Pacific Region of WHO,Eastern Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
6,China,Western Pacific Region of WHO,Eastern Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
7,China,Western Pacific Region of WHO,Eastern Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
8,China,Western Pacific Region of WHO,Eastern Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
9,China,Western Pacific Region of WHO,Eastern Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
10,China,Western Pacific Region of WHO,Eastern Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
11,China,Western Pacific Region of WHO,Eastern Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
12,China,Western Pacific Region of WHO,Eastern Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
13,China,Western Pacific Region of WHO,Eastern Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
14,China,Western Pacific Region of WHO,Eastern Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
15,China,Western Pacific Region of WHO,Eastern Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
16,China,Western Pacific Region of WHO,Eastern Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
17,China,Western Pacific Region of WHO,Eastern Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
18,China,Western Pacific Region of WHO,Eastern Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
19,China,Western Pacific Region of WHO,Eastern Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
20,China,Western Pacific Region of WHO,Eastern Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
21,China,Western Pacific Region of WHO,Eastern Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
