Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Colombia,Region of the Americas of WHO,Tropical South America,2007,1,2007-01-01,2007-01-07,,20,,,,,0,0,,,0,0,0,20,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,2,2007-01-08,2007-01-14,,5,,,,,0,0,,,0,0,0,5,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,3,2007-01-15,2007-01-21,,22,,,,,1,1,,,0,0,1,21,Sporadic

Colombia,Region of the Americas of WHO,Tropical South America,2007,4,2007-01-22,2007-01-28,,11,,,,,0,0,,,0,0,0,11,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,5,2007-01-29,2007-02-04,,14,,,,,0,0,,,0,0,0,14,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,6,2007-02-05,2007-02-11,,13,,,,,0,0,,,0,0,0,13,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,7,2007-02-12,2007-02-18,,17,,,,,0,0,,,0,0,0,17,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,8,2007-02-19,2007-02-25,,21,,,,,0,0,,,0,0,0,21,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,9,2007-02-26,2007-03-04,,20,,,,,0,0,,,0,0,0,20,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,10,2007-03-05,2007-03-11,,11,,,,,0,0,,,0,0,0,11,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,11,2007-03-12,2007-03-18,,41,,,,,0,0,,,0,0,0,41,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,12,2007-03-19,2007-03-25,,48,,,,,0,0,,,0,0,0,48,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,13,2007-03-26,2007-04-01,,40,,,,,0,0,,,0,0,0,40,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,14,2007-04-02,2007-04-08,,30,,,,,0,0,,,1,1,1,29,Sporadic

Colombia,Region of the Americas of WHO,Tropical South America,2007,15,2007-04-09,2007-04-15,,41,,,,,0,0,,,0,0,0,41,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,16,2007-04-16,2007-04-22,,62,,,,,0,0,,,0,0,0,62,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,17,2007-04-23,2007-04-29,,51,,,,,1,1,,,0,0,1,50,Sporadic

Colombia,Region of the Americas of WHO,Tropical South America,2007,18,2007-04-30,2007-05-06,,44,,,,,0,0,,,0,0,0,44,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,19,2007-05-07,2007-05-13,,128,,,,,0,0,,,1,1,1,127,Sporadic

Colombia,Region of the Americas of WHO,Tropical South America,2007,20,2007-05-14,2007-05-20,,42,,,,,0,0,,,0,0,0,42,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,21,2007-05-21,2007-05-27,,34,,,,,0,0,,,0,0,0,34,No Activity

Colombia,Region of the Americas of WHO,Tropical South America,2007,22,2007-05-28,2007-06-03,,56,,,,,0,0,,,0,0,0,56,No Activity

