Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Colombia,Region of the Americas of WHO,Tropical South America,2013,1,2012-12-31,2013-01-06,,110,0,1,3,,0,4,,,0,0,4,106,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,2,2013-01-07,2013-01-13,,107,0,0,5,,0,5,,,0,0,5,102,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,3,2013-01-14,2013-01-20,,114,0,0,13,,0,13,,,0,0,13,101,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,4,2013-01-21,2013-01-27,,100,0,0,3,,0,3,,,0,0,3,97,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,5,2013-01-28,2013-02-03,,102,0,0,1,,0,1,,,0,0,1,101,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,6,2013-02-04,2013-02-10,,78,0,3,2,,0,5,0,0,0,0,5,73,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,7,2013-02-11,2013-02-17,,122,0,1,1,,0,2,,,0,0,2,120,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,8,2013-02-18,2013-02-24,,141,0,1,1,,0,2,,,0,0,2,139,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,9,2013-02-25,2013-03-03,,121,0,2,2,,0,4,,,0,0,4,117,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,10,2013-03-04,2013-03-10,,149,0,2,0,,0,2,,,1,1,3,146,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,11,2013-03-11,2013-03-17,,120,0,5,2,,0,7,,,0,0,7,113,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,12,2013-03-18,2013-03-24,,118,0,7,2,,0,9,,,0,0,9,109,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,13,2013-03-25,2013-03-31,,101,0,10,3,,0,13,,,1,1,14,87,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,14,2013-04-01,2013-04-07,,167,0,11,4,,1,16,,,0,0,16,151,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,15,2013-04-08,2013-04-14,,150,0,13,3,,0,16,,,2,2,18,132,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,16,2013-04-15,2013-04-21,,182,0,20,3,,0,23,,,4,4,27,155,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,17,2013-04-22,2013-04-28,,203,0,21,3,,0,24,,,0,0,24,179,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,18,2013-04-29,2013-05-05,,168,0,18,14,,0,32,,,1,1,33,135,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,19,2013-05-06,2013-05-12,,170,0,36,6,,0,42,,,2,2,44,126,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,20,2013-05-13,2013-05-19,,235,0,41,3,,2,46,0,0,1,1,47,188,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,21,2013-05-20,2013-05-26,,312,0,28,1,,5,34,,,1,1,35,277,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,22,2013-05-27,2013-06-02,,317,0,39,2,,3,44,,,0,0,44,273,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,23,2013-06-03,2013-06-09,,363,0,47,5,,3,55,0,0,0,0,55,308,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,24,2013-06-10,2013-06-16,,406,0,54,8,,3,65,0,0,0,0,65,341,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,25,2013-06-17,2013-06-23,,375,0,44,4,,2,50,0,0,0,0,50,325,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,26,2013-06-24,2013-06-30,,388,0,76,7,,0,83,0,0,0,0,83,305,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,27,2013-07-01,2013-07-07,,388,0,33,2,,6,41,0,0,0,0,41,347,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,28,2013-07-08,2013-07-14,,233,0,18,4,,0,22,,,0,0,22,211,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,29,2013-07-15,2013-07-21,,372,0,50,13,,1,64,0,0,1,1,65,307,No Report

Colombia,Region of the Americas of WHO,Tropical South America,2013,30,2013-07-22,2013-07-28,,242,0,15,3,,2,20,,,0,0,20,222,No Report

