Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,1,2008-12-29,2009-01-04,,51,0,,0,,0,0,0,0,0,0,0,51,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,2,2009-01-05,2009-01-11,,34,0,,0,,0,0,0,0,0,0,0,34,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,3,2009-01-12,2009-01-18,,25,0,,0,,0,0,0,0,0,0,0,25,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,4,2009-01-19,2009-01-25,,48,0,,0,,0,0,0,0,0,0,0,48,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,5,2009-01-26,2009-02-01,,41,0,,0,,0,0,0,0,0,0,0,41,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,6,2009-02-02,2009-02-08,,50,0,,0,,0,0,0,0,0,0,0,50,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,7,2009-02-09,2009-02-15,,31,0,,0,,0,0,0,0,0,0,0,31,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,8,2009-02-16,2009-02-22,,42,0,,0,,0,0,0,0,0,0,0,42,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,9,2009-02-23,2009-03-01,,32,0,,0,,0,0,0,0,0,0,0,32,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,10,2009-03-02,2009-03-08,,53,0,,0,,0,0,0,0,0,0,0,53,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,11,2009-03-09,2009-03-15,,15,0,,0,,0,0,0,0,0,0,0,15,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,12,2009-03-16,2009-03-22,,14,0,,0,,0,0,0,0,0,0,0,14,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,13,2009-03-23,2009-03-29,,18,0,,0,,0,0,0,0,0,0,0,18,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,14,2009-03-30,2009-04-05,,2,0,,0,,0,0,0,0,0,0,0,2,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,15,2009-04-06,2009-04-12,,14,0,,0,,0,0,0,0,0,0,0,14,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,16,2009-04-13,2009-04-19,,10,0,1,0,,0,1,0,0,0,0,1,9,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,17,2009-04-20,2009-04-26,,343,,,,,5,5,,,2,2,7,336,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,18,2009-04-27,2009-05-03,,311,,,,,4,4,,,2,2,6,305,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,19,2009-05-04,2009-05-10,,293,,,,,3,3,,,3,3,6,287,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,20,2009-05-11,2009-05-17,,285,,,,,17,17,,,4,4,21,264,No Report

Costa Rica,Region of the Americas of WHO,Central America and Caribbean,2009,21,2009-05-18,2009-05-24,,427,,,,,30,30,,,8,8,38,389,No Report

