Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Croatia,European Region of WHO,South West Europe,2012,1,2012-01-02,2012-01-08,,4,0,0,1,,0,1,0,0,0,0,1,,Sporadic

Croatia,European Region of WHO,South West Europe,2012,2,2012-01-09,2012-01-15,,25,0,0,5,,0,5,0,0,0,0,5,,Sporadic

Croatia,European Region of WHO,South West Europe,2012,3,2012-01-16,2012-01-22,,37,0,0,1,,0,1,0,0,1,1,2,,No Report

Croatia,European Region of WHO,South West Europe,2012,4,2012-01-23,2012-01-29,,97,0,0,6,,0,6,0,0,3,3,9,,Sporadic

Croatia,European Region of WHO,South West Europe,2012,5,2012-01-30,2012-02-05,,69,0,0,9,,0,9,0,0,4,4,13,,Sporadic

Croatia,European Region of WHO,South West Europe,2012,6,2012-02-06,2012-02-12,,128,0,0,24,,0,24,0,0,8,8,32,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,7,2012-02-13,2012-02-19,,156,0,0,30,,0,30,0,0,14,14,44,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,8,2012-02-20,2012-02-26,,258,0,0,56,,0,56,0,0,26,26,82,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,9,2012-02-27,2012-03-04,,264,0,0,114,,0,114,0,0,8,8,122,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,10,2012-03-05,2012-03-11,,300,0,0,100,,0,100,0,0,19,19,119,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,11,2012-03-12,2012-03-18,,161,0,0,39,,0,39,0,0,13,13,52,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,12,2012-03-19,2012-03-25,,161,0,0,57,,0,57,0,0,49,49,106,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,13,2012-03-26,2012-04-01,,123,0,0,36,,0,36,0,0,35,35,71,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,14,2012-04-02,2012-04-08,,81,0,0,23,,0,23,0,0,9,9,32,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,15,2012-04-09,2012-04-15,,30,0,0,6,,0,6,0,0,1,1,7,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,16,2012-04-16,2012-04-22,,20,0,0,0,,0,0,0,0,1,1,1,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,17,2012-04-23,2012-04-29,,16,0,0,2,,0,2,0,0,3,3,5,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,18,2012-04-30,2012-05-06,,10,0,0,2,,0,2,0,0,2,2,4,,Widespread Outbreak

Croatia,European Region of WHO,South West Europe,2012,19,2012-05-07,2012-05-13,,17,0,0,2,,0,2,0,0,0,0,2,,Regional Outbreak

Croatia,European Region of WHO,South West Europe,2012,20,2012-05-14,2012-05-20,,4,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2012,21,2012-05-21,2012-05-27,,2,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak

Croatia,European Region of WHO,South West Europe,2012,22,2012-05-28,2012-06-03,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,23,2012-06-04,2012-06-10,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,24,2012-06-11,2012-06-17,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,25,2012-06-18,2012-06-24,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,26,2012-06-25,2012-07-01,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,27,2012-07-02,2012-07-08,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,28,2012-07-09,2012-07-15,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,29,2012-07-16,2012-07-22,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,30,2012-07-23,2012-07-29,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,31,2012-07-30,2012-08-05,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,32,2012-08-06,2012-08-12,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,33,2012-08-13,2012-08-19,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,34,2012-08-20,2012-08-26,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,35,2012-08-27,2012-09-02,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,36,2012-09-03,2012-09-09,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,37,2012-09-10,2012-09-16,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,38,2012-09-17,2012-09-23,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,39,2012-09-24,2012-09-30,,,,,,,,,,,,,,,No Report

Croatia,European Region of WHO,South West Europe,2012,40,2012-10-01,2012-10-07,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2012,41,2012-10-08,2012-10-14,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,42,2012-10-15,2012-10-21,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,43,2012-10-22,2012-10-28,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2012,44,2012-10-29,2012-11-04,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Croatia,European Region of WHO,South West Europe,2012,45,2012-11-05,2012-11-11,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,46,2012-11-12,2012-11-18,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,47,2012-11-19,2012-11-25,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,48,2012-11-26,2012-12-02,,9,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,49,2012-12-03,2012-12-09,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity

Croatia,European Region of WHO,South West Europe,2012,50,2012-12-10,2012-12-16,,12,0,2,0,,2,4,0,0,0,0,4,,Sporadic

Croatia,European Region of WHO,South West Europe,2012,51,2012-12-17,2012-12-23,,12,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Croatia,European Region of WHO,South West Europe,2012,52,2012-12-24,2012-12-30,,44,0,0,0,,11,11,0,0,4,4,15,,Sporadic


