Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,1,2012-12-31,2013-01-06,,28,0,1,0,,0,1,0,0,0,0,1,27,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,2,2013-01-07,2013-01-13,,28,0,0,0,,0,0,,,0,0,0,28,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,3,2013-01-14,2013-01-20,,39,0,12,0,,0,12,,,0,0,12,27,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,4,2013-01-21,2013-01-27,,27,0,0,0,,0,0,,,0,0,0,27,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,5,2013-01-28,2013-02-03,,60,0,7,1,,0,8,,,1,1,9,51,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,6,2013-02-04,2013-02-10,,72,0,4,8,,0,12,,,0,0,12,60,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,7,2013-02-11,2013-02-17,,70,0,6,2,,0,8,,,0,0,8,62,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,8,2013-02-18,2013-02-24,,85,0,11,3,,0,14,,,0,0,14,71,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,9,2013-02-25,2013-03-03,,84,0,8,3,,0,11,,,0,0,11,73,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,10,2013-03-04,2013-03-10,,68,0,4,1,,0,5,0,1,1,2,7,61,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,11,2013-03-11,2013-03-17,,83,0,7,0,,0,7,,,0,0,7,76,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,12,2013-03-18,2013-03-24,,68,0,6,0,,0,6,,,0,0,6,62,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,13,2013-03-25,2013-03-31,,74,0,2,1,,0,3,,,0,0,3,71,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,14,2013-04-01,2013-04-07,,79,0,7,1,,0,8,,,0,0,8,71,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,15,2013-04-08,2013-04-14,,62,0,19,0,,0,19,0,1,1,2,21,41,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,16,2013-04-15,2013-04-21,,76,0,23,1,,2,26,,,0,0,26,50,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,17,2013-04-22,2013-04-28,,54,0,8,0,,0,8,0,2,1,3,11,43,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,18,2013-04-29,2013-05-05,,99,0,23,0,,1,24,0,2,2,4,28,71,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,19,2013-05-06,2013-05-12,,103,0,18,5,,0,23,0,2,2,4,27,76,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,20,2013-05-13,2013-05-19,,73,0,23,0,,0,23,0,2,2,4,27,46,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,21,2013-05-20,2013-05-26,,110,0,33,0,,0,33,0,3,2,5,38,72,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,22,2013-05-27,2013-06-02,,148,0,42,4,,0,46,,,0,0,46,102,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,23,2013-06-03,2013-06-09,,133,0,52,4,,0,56,,,0,0,56,77,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,24,2013-06-10,2013-06-16,,151,0,39,12,,0,51,,,0,0,51,100,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,25,2013-06-17,2013-06-23,,172,0,51,8,,0,59,,,0,0,59,113,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,26,2013-06-24,2013-06-30,,133,0,26,11,,0,37,,,0,0,37,96,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,27,2013-07-01,2013-07-07,,172,0,44,20,,0,64,,,0,0,64,108,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,28,2013-07-08,2013-07-14,,112,0,26,12,,0,38,,,0,0,38,74,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,29,2013-07-15,2013-07-21,,66,0,8,8,,0,16,0,2,2,4,20,46,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,30,2013-07-22,2013-07-28,,90,0,5,19,,0,24,,,0,0,24,66,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,31,2013-07-29,2013-08-04,,82,0,4,17,,0,21,0,0,0,0,21,61,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,32,2013-08-05,2013-08-11,,75,0,3,22,,0,25,0,0,0,0,25,50,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,33,2013-08-12,2013-08-18,,79,0,2,11,,0,13,0,0,1,1,14,65,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,34,2013-08-19,2013-08-25,,74,0,1,13,,0,14,0,0,0,0,14,60,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,35,2013-08-26,2013-09-01,,78,0,0,14,,0,14,0,1,1,2,16,62,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,36,2013-09-02,2013-09-08,,118,0,0,10,,0,10,0,4,1,5,15,103,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,37,2013-09-09,2013-09-15,,95,0,0,3,,0,3,0,1,0,1,4,91,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,38,2013-09-16,2013-09-22,,145,0,0,9,,0,9,0,7,0,7,16,129,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,39,2013-09-23,2013-09-29,,185,0,0,14,,0,14,0,0,0,0,14,171,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,40,2013-09-30,2013-10-06,,160,0,0,7,,0,7,0,9,3,12,19,141,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,41,2013-10-07,2013-10-13,,155,0,0,2,,0,2,0,11,2,13,15,140,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,42,2013-10-14,2013-10-20,,127,0,0,3,,0,3,2,10,1,13,16,111,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,43,2013-10-21,2013-10-27,,106,0,0,1,,0,1,4,2,2,8,9,97,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,44,2013-10-28,2013-11-03,,71,0,0,2,,0,2,9,0,3,12,14,57,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,45,2013-11-04,2013-11-10,,77,0,0,2,,0,2,3,0,1,4,6,71,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,46,2013-11-11,2013-11-17,,50,0,0,4,,0,4,4,0,2,6,10,40,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,47,2013-11-18,2013-11-24,,79,0,5,3,,0,8,9,0,7,16,24,55,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,48,2013-11-25,2013-12-01,,45,0,0,0,,0,0,7,0,0,7,7,38,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,49,2013-12-02,2013-12-08,,47,0,2,0,,0,2,11,0,0,11,13,34,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,50,2013-12-09,2013-12-15,,59,0,3,0,,0,3,12,0,0,12,15,44,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,51,2013-12-16,2013-12-22,,15,0,1,0,,0,1,0,0,1,1,2,13,No Report

Cuba,Region of the Americas of WHO,Central America and Caribbean,2013,52,2013-12-23,2013-12-29,,24,0,1,0,,0,1,2,0,0,2,3,21,No Report


