,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,1,2019-12-30,2020-01-05,,39.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,37.0,No Report
1,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,2,2020-01-06,2020-01-12,,20.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,2.0,18.0,No Report
2,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,3,2020-01-13,2020-01-19,,43.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,2.0,41.0,No Report
3,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,4,2020-01-20,2020-01-26,,47.0,0.0,7.0,1.0,,5.0,13.0,0.0,0.0,0.0,0.0,13.0,34.0,No Report
4,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,5,2020-01-27,2020-02-02,,58.0,0.0,14.0,0.0,,11.0,25.0,0.0,0.0,0.0,0.0,25.0,33.0,No Report
5,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,6,2020-02-03,2020-02-09,,38.0,0.0,6.0,1.0,,7.0,14.0,0.0,0.0,0.0,0.0,14.0,24.0,No Report
6,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,7,2020-02-10,2020-02-16,,181.0,0.0,31.0,2.0,,24.0,57.0,0.0,0.0,2.0,2.0,59.0,122.0,No Report
7,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,8,2020-02-17,2020-02-23,,175.0,0.0,0.0,0.0,,26.0,26.0,0.0,0.0,1.0,1.0,27.0,148.0,No Report
8,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,9,2020-02-24,2020-03-01,,195.0,0.0,0.0,0.0,,38.0,38.0,0.0,0.0,1.0,1.0,39.0,156.0,No Report
9,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,10,2020-03-02,2020-03-08,,193.0,0.0,0.0,0.0,,39.0,39.0,0.0,0.0,1.0,1.0,40.0,153.0,No Report
10,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Cuba,Region of the Americas of WHO,Central America and Caribbean,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Cuba,Region of the Americas of WHO,Central America and Caribbean,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
