Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Cyprus,European Region of WHO,Western Asia,2008,1,2007-12-31,2008-01-06,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,2,2008-01-07,2008-01-13,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,3,2008-01-14,2008-01-20,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,4,2008-01-21,2008-01-27,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,5,2008-01-28,2008-02-03,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,6,2008-02-04,2008-02-10,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,7,2008-02-11,2008-02-17,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,8,2008-02-18,2008-02-24,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,9,2008-02-25,2008-03-02,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,10,2008-03-03,2008-03-09,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,11,2008-03-10,2008-03-16,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,12,2008-03-17,2008-03-23,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,13,2008-03-24,2008-03-30,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,14,2008-03-31,2008-04-06,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,15,2008-04-07,2008-04-13,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,16,2008-04-14,2008-04-20,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,17,2008-04-21,2008-04-27,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,18,2008-04-28,2008-05-04,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,19,2008-05-05,2008-05-11,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,20,2008-05-12,2008-05-18,,,,,,,,,,,,,,,No Report

Cyprus,European Region of WHO,Western Asia,2008,21,2008-05-19,2008-05-25,,,,,,,,,,,,,,,No Report

