Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Czechia,European Region of WHO,Eastern Europe,2015,1,2014-12-29,2015-01-04,,5,0,0,3,,0,3,0,0,0,0,3,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,2,2015-01-05,2015-01-11,,28,0,0,8,,0,8,0,0,6,6,14,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,3,2015-01-12,2015-01-18,,35,0,1,16,,0,17,0,0,3,3,20,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,4,2015-01-19,2015-01-25,,55,0,5,27,,1,33,0,0,2,2,35,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,5,2015-01-26,2015-02-01,,86,0,4,54,,0,58,0,0,2,2,60,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,6,2015-02-02,2015-02-08,,163,0,12,70,,15,97,1,0,11,12,109,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,7,2015-02-09,2015-02-15,,150,0,7,82,,4,93,0,0,17,17,110,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,8,2015-02-16,2015-02-22,,132,0,12,54,,4,70,0,0,16,16,86,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,9,2015-02-23,2015-03-01,,137,0,11,43,,2,56,0,0,25,25,81,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,10,2015-03-02,2015-03-08,,103,0,4,21,,5,30,0,0,19,19,49,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,11,2015-03-09,2015-03-15,,65,0,0,6,,7,13,0,0,16,16,29,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,12,2015-03-16,2015-03-22,,51,0,3,3,,5,11,0,0,25,25,36,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,13,2015-03-23,2015-03-29,,33,0,1,2,,4,7,0,0,14,14,21,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,14,2015-03-30,2015-04-05,,32,0,0,0,,2,2,0,0,17,17,19,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,15,2015-04-06,2015-04-12,,,,,,,,,,,,,,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,16,2015-04-13,2015-04-19,,21,0,0,0,,0,0,0,0,10,10,10,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,17,2015-04-20,2015-04-26,,23,0,0,0,,1,1,0,0,10,10,11,,No Report

Czechia,European Region of WHO,Eastern Europe,2015,18,2015-04-27,2015-05-03,,13,0,0,0,,0,0,0,0,4,4,4,,No Report

