,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Czechia,European Region of WHO,Eastern Europe,2020,1,2019-12-30,2020-01-05,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No Report
1,Czechia,European Region of WHO,Eastern Europe,2020,2,2020-01-06,2020-01-12,,75.0,0.0,8.0,22.0,,0.0,30.0,0.0,0.0,0.0,0.0,30.0,,No Report
2,Czechia,European Region of WHO,Eastern Europe,2020,3,2020-01-13,2020-01-19,,36.0,0.0,4.0,10.0,,1.0,15.0,0.0,0.0,0.0,0.0,15.0,,No Report
3,Czechia,European Region of WHO,Eastern Europe,2020,4,2020-01-20,2020-01-26,,54.0,0.0,3.0,18.0,,0.0,21.0,0.0,0.0,1.0,1.0,22.0,,No Report
4,Czechia,European Region of WHO,Eastern Europe,2020,5,2020-01-27,2020-02-02,,82.0,0.0,10.0,28.0,,4.0,42.0,0.0,4.0,0.0,4.0,46.0,,No Report
5,Czechia,European Region of WHO,Eastern Europe,2020,6,2020-02-03,2020-02-09,,107.0,0.0,12.0,48.0,,2.0,62.0,0.0,4.0,0.0,4.0,66.0,,No Report
6,Czechia,European Region of WHO,Eastern Europe,2020,7,2020-02-10,2020-02-16,,110.0,0.0,21.0,40.0,,3.0,64.0,0.0,6.0,0.0,6.0,70.0,,No Report
7,Czechia,European Region of WHO,Eastern Europe,2020,8,2020-02-17,2020-02-23,,,,,,,,,,,,,,,No Report
8,Czechia,European Region of WHO,Eastern Europe,2020,9,2020-02-24,2020-03-01,,110.0,0.0,6.0,29.0,,2.0,37.0,0.0,3.0,6.0,9.0,46.0,,No Report
9,Czechia,European Region of WHO,Eastern Europe,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Czechia,European Region of WHO,Eastern Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Czechia,European Region of WHO,Eastern Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Czechia,European Region of WHO,Eastern Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Czechia,European Region of WHO,Eastern Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Czechia,European Region of WHO,Eastern Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Czechia,European Region of WHO,Eastern Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Czechia,European Region of WHO,Eastern Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Czechia,European Region of WHO,Eastern Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Czechia,European Region of WHO,Eastern Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Czechia,European Region of WHO,Eastern Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Czechia,European Region of WHO,Eastern Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Czechia,European Region of WHO,Eastern Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Czechia,European Region of WHO,Eastern Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Czechia,European Region of WHO,Eastern Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Czechia,European Region of WHO,Eastern Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Czechia,European Region of WHO,Eastern Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Czechia,European Region of WHO,Eastern Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Czechia,European Region of WHO,Eastern Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Czechia,European Region of WHO,Eastern Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Czechia,European Region of WHO,Eastern Europe,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Czechia,European Region of WHO,Eastern Europe,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Czechia,European Region of WHO,Eastern Europe,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Czechia,European Region of WHO,Eastern Europe,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Czechia,European Region of WHO,Eastern Europe,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,Czechia,European Region of WHO,Eastern Europe,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,Czechia,European Region of WHO,Eastern Europe,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,Czechia,European Region of WHO,Eastern Europe,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,Czechia,European Region of WHO,Eastern Europe,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,Czechia,European Region of WHO,Eastern Europe,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
39,Czechia,European Region of WHO,Eastern Europe,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
40,Czechia,European Region of WHO,Eastern Europe,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
41,Czechia,European Region of WHO,Eastern Europe,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
42,Czechia,European Region of WHO,Eastern Europe,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
43,Czechia,European Region of WHO,Eastern Europe,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
44,Czechia,European Region of WHO,Eastern Europe,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
45,Czechia,European Region of WHO,Eastern Europe,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
46,Czechia,European Region of WHO,Eastern Europe,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
47,Czechia,European Region of WHO,Eastern Europe,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
48,Czechia,European Region of WHO,Eastern Europe,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
49,Czechia,European Region of WHO,Eastern Europe,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
50,Czechia,European Region of WHO,Eastern Europe,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
51,Czechia,European Region of WHO,Eastern Europe,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
52,Czechia,European Region of WHO,Eastern Europe,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
53,Czechia,European Region of WHO,Eastern Europe,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
54,Czechia,European Region of WHO,Eastern Europe,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
55,Czechia,European Region of WHO,Eastern Europe,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
56,Czechia,European Region of WHO,Eastern Europe,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
57,Czechia,European Region of WHO,Eastern Europe,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
58,Czechia,European Region of WHO,Eastern Europe,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
59,Czechia,European Region of WHO,Eastern Europe,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
60,Czechia,European Region of WHO,Eastern Europe,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
61,Czechia,European Region of WHO,Eastern Europe,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
62,Czechia,European Region of WHO,Eastern Europe,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
63,Czechia,European Region of WHO,Eastern Europe,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
