Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,1,2018-12-31,2019-01-06,102,102,,0,7,0,,7,,,3,3,10,92,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,2,2019-01-07,2019-01-13,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,3,2019-01-14,2019-01-20,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,4,2019-01-21,2019-01-27,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,5,2019-01-28,2019-02-03,117,117,,20,25,0,,45,,,19,19,64,53,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,6,2019-02-04,2019-02-10,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,7,2019-02-11,2019-02-17,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,8,2019-02-18,2019-02-24,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,9,2019-02-25,2019-03-03,100,100,,14,15,0,,29,,,13,13,42,58,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,10,2019-03-04,2019-03-10,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,11,2019-03-11,2019-03-17,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,12,2019-03-18,2019-03-24,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,13,2019-03-25,2019-03-31,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,14,2019-04-01,2019-04-07,89,89,,12,13,0,,25,,,6,6,31,58,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,15,2019-04-08,2019-04-14,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,16,2019-04-15,2019-04-21,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,17,2019-04-22,2019-04-28,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,18,2019-04-29,2019-05-05,68,68,,6,7,0,,13,,,3,3,16,52,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,19,2019-05-06,2019-05-12,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,20,2019-05-13,2019-05-19,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,21,2019-05-20,2019-05-26,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,22,2019-05-27,2019-06-02,,,,,,,,,,,,,,,No Report

Democratic People's Republic of Korea,South-East Asia Region of WHO,Eastern Asia,2019,23,2019-06-03,2019-06-09,47,47,,5,5,0,,10,,,0,0,10,37,No Report

