Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Denmark,European Region of WHO,Northern Europe,2011,1,2011-01-03,2011-01-09,207,207,0,42,0,0,0,42,5,23,0,28,70,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2011,2,2011-01-10,2011-01-16,253,253,0,79,4,0,0,83,5,26,0,31,114,,No Report

Denmark,European Region of WHO,Northern Europe,2011,3,2011-01-17,2011-01-23,290,290,0,88,1,0,0,89,8,30,0,38,127,,No Report

Denmark,European Region of WHO,Northern Europe,2011,4,2011-01-24,2011-01-30,232,232,0,63,0,0,0,63,7,28,0,35,98,,No Report

Denmark,European Region of WHO,Northern Europe,2011,5,2011-01-31,2011-02-06,222,222,0,30,0,0,0,30,9,33,0,42,72,,No Report

Denmark,European Region of WHO,Northern Europe,2011,6,2011-02-07,2011-02-13,257,257,0,52,0,0,0,52,12,55,0,67,119,,No Report

Denmark,European Region of WHO,Northern Europe,2011,7,2011-02-14,2011-02-20,225,225,0,24,1,0,0,25,14,42,0,56,81,,No Report

Denmark,European Region of WHO,Northern Europe,2011,8,2011-02-21,2011-02-27,139,139,0,14,0,0,0,14,5,31,0,36,50,,No Report

Denmark,European Region of WHO,Northern Europe,2011,9,2011-02-28,2011-03-06,126,126,0,13,0,0,0,13,2,18,0,20,33,,No Report

Denmark,European Region of WHO,Northern Europe,2011,10,2011-03-07,2011-03-13,100,100,0,4,0,0,0,4,9,10,0,19,23,,No Report

Denmark,European Region of WHO,Northern Europe,2011,11,2011-03-14,2011-03-20,77,77,0,5,2,0,0,7,3,2,0,5,12,,No Report

Denmark,European Region of WHO,Northern Europe,2011,12,2011-03-21,2011-03-27,102,102,0,6,0,0,0,6,3,19,0,22,28,,No Report

Denmark,European Region of WHO,Northern Europe,2011,13,2011-03-28,2011-04-03,71,71,0,1,1,0,0,2,2,9,0,11,13,,No Report

Denmark,European Region of WHO,Northern Europe,2011,14,2011-04-04,2011-04-10,41,41,0,1,1,0,0,2,0,3,0,3,5,,No Report

Denmark,European Region of WHO,Northern Europe,2011,15,2011-04-11,2011-04-17,40,40,0,0,0,0,0,0,2,0,0,2,2,,No Report

Denmark,European Region of WHO,Northern Europe,2011,16,2011-04-18,2011-04-24,13,13,0,1,0,0,0,1,1,0,0,1,2,,No Report

Denmark,European Region of WHO,Northern Europe,2011,17,2011-04-25,2011-05-01,36,36,0,1,0,0,0,1,0,0,0,0,1,,No Report

Denmark,European Region of WHO,Northern Europe,2011,18,2011-05-02,2011-05-08,24,24,0,0,1,0,0,1,0,0,0,0,1,,No Report

Denmark,European Region of WHO,Northern Europe,2011,19,2011-05-09,2011-05-15,26,26,0,0,0,0,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,20,2011-05-16,2011-05-22,,22,0,1,0,,0,1,0,0,0,0,1,,No Activity

Denmark,European Region of WHO,Northern Europe,2011,21,2011-05-23,2011-05-29,,23,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,22,2011-05-30,2011-06-05,,12,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,23,2011-06-06,2011-06-12,,23,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,24,2011-06-13,2011-06-19,,17,0,1,0,,0,1,0,0,0,0,1,,No Report

Denmark,European Region of WHO,Northern Europe,2011,25,2011-06-20,2011-06-26,,24,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,26,2011-06-27,2011-07-03,,15,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,27,2011-07-04,2011-07-10,,16,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,28,2011-07-11,2011-07-17,,14,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,29,2011-07-18,2011-07-24,,10,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,30,2011-07-25,2011-07-31,,14,0,0,1,,0,1,0,0,0,0,1,,No Report

Denmark,European Region of WHO,Northern Europe,2011,31,2011-08-01,2011-08-07,,11,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,32,2011-08-08,2011-08-14,,18,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2011,33,2011-08-15,2011-08-21,,18,0,0,0,,0,0,0,0,0,0,0,,No Report

