Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Denmark,European Region of WHO,Northern Europe,2013,1,2012-12-31,2013-01-06,,1157,0,5,128,,196,329,17,0,49,66,395,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,2,2013-01-07,2013-01-13,,893,0,8,91,,79,178,22,1,4,27,205,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,3,2013-01-14,2013-01-20,,865,0,11,67,,83,161,16,0,16,32,193,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,4,2013-01-21,2013-01-27,,893,0,9,66,,113,188,23,0,35,58,246,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,5,2013-01-28,2013-02-03,,974,0,18,84,,150,252,29,0,53,82,334,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,6,2013-02-04,2013-02-10,,915,0,14,46,,107,167,34,1,76,111,278,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,7,2013-02-11,2013-02-17,,981,0,12,53,,81,146,54,1,86,141,287,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,8,2013-02-18,2013-02-24,,939,0,22,47,,40,109,61,0,90,151,260,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,9,2013-02-25,2013-03-03,,849,0,15,18,,48,81,43,2,102,147,228,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,10,2013-03-04,2013-03-10,,681,0,4,14,,32,50,22,0,89,111,161,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,11,2013-03-11,2013-03-17,,575,0,3,5,,24,32,24,2,66,92,124,,Widespread Outbreak

Denmark,European Region of WHO,Northern Europe,2013,12,2013-03-18,2013-03-24,,490,0,6,3,,27,36,30,0,47,77,113,,Sporadic

Denmark,European Region of WHO,Northern Europe,2013,13,2013-03-25,2013-03-31,,392,0,2,5,,11,18,20,2,37,59,77,,Sporadic

Denmark,European Region of WHO,Northern Europe,2013,14,2013-04-01,2013-04-07,,415,0,0,3,,10,13,18,1,33,52,65,,Sporadic

Denmark,European Region of WHO,Northern Europe,2013,15,2013-04-08,2013-04-14,,349,0,1,2,,2,5,16,0,19,35,40,,Sporadic

Denmark,European Region of WHO,Northern Europe,2013,16,2013-04-15,2013-04-21,,223,0,0,1,,2,3,4,0,11,15,18,,Sporadic

Denmark,European Region of WHO,Northern Europe,2013,17,2013-04-22,2013-04-28,,210,0,0,0,,0,0,0,0,6,6,6,,Sporadic

Denmark,European Region of WHO,Northern Europe,2013,18,2013-04-29,2013-05-05,,204,0,0,0,,1,1,0,0,3,3,4,,No Activity

Denmark,European Region of WHO,Northern Europe,2013,19,2013-05-06,2013-05-12,,154,0,0,0,,0,0,0,0,5,5,5,,No Activity

Denmark,European Region of WHO,Northern Europe,2013,20,2013-05-13,2013-05-19,,166,0,0,0,,0,0,0,0,1,1,1,,No Activity

Denmark,European Region of WHO,Northern Europe,2013,21,2013-05-20,2013-05-26,,143,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2013,22,2013-05-27,2013-06-02,,144,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2013,23,2013-06-03,2013-06-09,,137,0,0,0,,1,1,0,0,0,0,1,,No Report

Denmark,European Region of WHO,Northern Europe,2013,24,2013-06-10,2013-06-16,,151,0,0,0,,0,0,0,0,0,0,0,,No Report

Denmark,European Region of WHO,Northern Europe,2013,25,2013-06-17,2013-06-23,,84,0,0,1,,2,3,0,0,1,1,4,,No Report

