,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Denmark,European Region of WHO,Northern Europe,2020,1,2019-12-30,2020-01-05,,2206.0,0.0,52.0,66.0,,149.0,267.0,0.0,4.0,16.0,20.0,287.0,,No Report
1,Denmark,European Region of WHO,Northern Europe,2020,2,2020-01-06,2020-01-12,,2335.0,0.0,60.0,55.0,,124.0,239.0,0.0,6.0,16.0,22.0,261.0,,No Report
2,Denmark,European Region of WHO,Northern Europe,2020,3,2020-01-13,2020-01-19,,2216.0,0.0,48.0,74.0,,138.0,260.0,0.0,11.0,23.0,34.0,294.0,,No Report
3,Denmark,European Region of WHO,Northern Europe,2020,4,2020-01-20,2020-01-26,,2578.0,0.0,69.0,113.0,,221.0,403.0,0.0,2.0,37.0,39.0,442.0,,No Report
4,Denmark,European Region of WHO,Northern Europe,2020,5,2020-01-27,2020-02-02,,2944.0,0.0,71.0,146.0,,270.0,487.0,0.0,22.0,46.0,68.0,555.0,,No Report
5,Denmark,European Region of WHO,Northern Europe,2020,6,2020-02-03,2020-02-09,,2974.0,0.0,68.0,135.0,,329.0,532.0,0.0,19.0,40.0,59.0,591.0,,No Report
6,Denmark,European Region of WHO,Northern Europe,2020,7,2020-02-10,2020-02-16,,2880.0,0.0,85.0,176.0,,346.0,607.0,0.0,5.0,58.0,63.0,670.0,,No Report
7,Denmark,European Region of WHO,Northern Europe,2020,8,2020-02-17,2020-02-23,,2897.0,0.0,63.0,153.0,,344.0,560.0,0.0,0.0,60.0,60.0,620.0,,No Report
8,Denmark,European Region of WHO,Northern Europe,2020,9,2020-02-24,2020-03-01,,3247.0,0.0,62.0,146.0,,410.0,618.0,0.0,0.0,104.0,104.0,722.0,,No Report
9,Denmark,European Region of WHO,Northern Europe,2020,10,2020-03-02,2020-03-08,,3680.0,0.0,21.0,53.0,,653.0,727.0,0.0,0.0,99.0,99.0,826.0,,No Report
10,Denmark,European Region of WHO,Northern Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Denmark,European Region of WHO,Northern Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Denmark,European Region of WHO,Northern Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Denmark,European Region of WHO,Northern Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Denmark,European Region of WHO,Northern Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Denmark,European Region of WHO,Northern Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Denmark,European Region of WHO,Northern Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Denmark,European Region of WHO,Northern Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Denmark,European Region of WHO,Northern Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Denmark,European Region of WHO,Northern Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Denmark,European Region of WHO,Northern Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Denmark,European Region of WHO,Northern Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Denmark,European Region of WHO,Northern Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Denmark,European Region of WHO,Northern Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Denmark,European Region of WHO,Northern Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Denmark,European Region of WHO,Northern Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Denmark,European Region of WHO,Northern Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Denmark,European Region of WHO,Northern Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Denmark,European Region of WHO,Northern Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Denmark,European Region of WHO,Northern Europe,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Denmark,European Region of WHO,Northern Europe,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Denmark,European Region of WHO,Northern Europe,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Denmark,European Region of WHO,Northern Europe,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Denmark,European Region of WHO,Northern Europe,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,Denmark,European Region of WHO,Northern Europe,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,Denmark,European Region of WHO,Northern Europe,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,Denmark,European Region of WHO,Northern Europe,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,Denmark,European Region of WHO,Northern Europe,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,Denmark,European Region of WHO,Northern Europe,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
39,Denmark,European Region of WHO,Northern Europe,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
40,Denmark,European Region of WHO,Northern Europe,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
41,Denmark,European Region of WHO,Northern Europe,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
42,Denmark,European Region of WHO,Northern Europe,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
43,Denmark,European Region of WHO,Northern Europe,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
44,Denmark,European Region of WHO,Northern Europe,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
45,Denmark,European Region of WHO,Northern Europe,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
46,Denmark,European Region of WHO,Northern Europe,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
47,Denmark,European Region of WHO,Northern Europe,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
48,Denmark,European Region of WHO,Northern Europe,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
49,Denmark,European Region of WHO,Northern Europe,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
50,Denmark,European Region of WHO,Northern Europe,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
51,Denmark,European Region of WHO,Northern Europe,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
52,Denmark,European Region of WHO,Northern Europe,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
53,Denmark,European Region of WHO,Northern Europe,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
54,Denmark,European Region of WHO,Northern Europe,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
55,Denmark,European Region of WHO,Northern Europe,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
56,Denmark,European Region of WHO,Northern Europe,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
57,Denmark,European Region of WHO,Northern Europe,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
58,Denmark,European Region of WHO,Northern Europe,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
59,Denmark,European Region of WHO,Northern Europe,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
60,Denmark,European Region of WHO,Northern Europe,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
61,Denmark,European Region of WHO,Northern Europe,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
62,Denmark,European Region of WHO,Northern Europe,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
63,Denmark,European Region of WHO,Northern Europe,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
64,Denmark,European Region of WHO,Northern Europe,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
65,Denmark,European Region of WHO,Northern Europe,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
66,Denmark,European Region of WHO,Northern Europe,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
67,Denmark,European Region of WHO,Northern Europe,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
68,Denmark,European Region of WHO,Northern Europe,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
69,Denmark,European Region of WHO,Northern Europe,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
70,Denmark,European Region of WHO,Northern Europe,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
71,Denmark,European Region of WHO,Northern Europe,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
72,Denmark,European Region of WHO,Northern Europe,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
73,Denmark,European Region of WHO,Northern Europe,1996,8,1996-02-19,1996-02-25,,,,,,,,,,,,,,,No Report
74,Denmark,European Region of WHO,Northern Europe,1996,9,1996-02-26,1996-03-03,,,,,,,,,,,,,,,No Report
75,Denmark,European Region of WHO,Northern Europe,1996,10,1996-03-04,1996-03-10,,,,,,,,,,,,,,,No Report
76,Denmark,European Region of WHO,Northern Europe,1996,11,1996-03-11,1996-03-17,,,,,,,,,,,,,,,No Report
77,Denmark,European Region of WHO,Northern Europe,1996,12,1996-03-18,1996-03-24,,,,,,,,,,,,,,,No Report
78,Denmark,European Region of WHO,Northern Europe,1996,13,1996-03-25,1996-03-31,,,,,,,,,,,,,,,No Report
79,Denmark,European Region of WHO,Northern Europe,1996,14,1996-04-01,1996-04-07,,,,,,,,,,,,,,,No Report
80,Denmark,European Region of WHO,Northern Europe,1996,15,1996-04-08,1996-04-14,,,,,,,,,,,,,,,No Report
81,Denmark,European Region of WHO,Northern Europe,1996,16,1996-04-15,1996-04-21,,,,,,,,,,,,,,,No Report
82,Denmark,European Region of WHO,Northern Europe,1996,17,1996-04-22,1996-04-28,,,,,,,,,,,,,,,No Report
83,Denmark,European Region of WHO,Northern Europe,1996,18,1996-04-29,1996-05-05,,,,,,,,,,,,,,,No Report
84,Denmark,European Region of WHO,Northern Europe,1996,19,1996-05-06,1996-05-12,,,,,,,,,,,,,,,No Report
85,Denmark,European Region of WHO,Northern Europe,1996,20,1996-05-13,1996-05-19,,,,,,,,,,,,,,,No Report
86,Denmark,European Region of WHO,Northern Europe,1996,21,1996-05-20,1996-05-26,,,,,,,,,,,,,,,No Report
87,Denmark,European Region of WHO,Northern Europe,1996,22,1996-05-27,1996-06-02,,,,,,,,,,,,,,,No Report
88,Denmark,European Region of WHO,Northern Europe,1996,23,1996-06-03,1996-06-09,,,,,,,,,,,,,,,No Report
89,Denmark,European Region of WHO,Northern Europe,1996,24,1996-06-10,1996-06-16,,,,,,,,,,,,,,,No Report
90,Denmark,European Region of WHO,Northern Europe,1996,25,1996-06-17,1996-06-23,,,,,,,,,,,,,,,No Report
91,Denmark,European Region of WHO,Northern Europe,1996,26,1996-06-24,1996-06-30,,,,,,,,,,,,,,,No Report
92,Denmark,European Region of WHO,Northern Europe,1996,27,1996-07-01,1996-07-07,,,,,,,,,,,,,,,No Report
93,Denmark,European Region of WHO,Northern Europe,1996,28,1996-07-08,1996-07-14,,,,,,,,,,,,,,,No Report
94,Denmark,European Region of WHO,Northern Europe,1996,29,1996-07-15,1996-07-21,,,,,,,,,,,,,,,No Report
95,Denmark,European Region of WHO,Northern Europe,1996,30,1996-07-22,1996-07-28,,,,,,,,,,,,,,,No Report
96,Denmark,European Region of WHO,Northern Europe,1996,31,1996-07-29,1996-08-04,,,,,,,,,,,,,,,No Report
97,Denmark,European Region of WHO,Northern Europe,1996,32,1996-08-05,1996-08-11,,,,,,,,,,,,,,,No Report
98,Denmark,European Region of WHO,Northern Europe,1996,33,1996-08-12,1996-08-18,,,,,,,,,,,,,,,No Report
99,Denmark,European Region of WHO,Northern Europe,1996,34,1996-08-19,1996-08-25,,,,,,,,,,,,,,,No Report
100,Denmark,European Region of WHO,Northern Europe,1996,35,1996-08-26,1996-09-01,,,,,,,,,,,,,,,No Report
101,Denmark,European Region of WHO,Northern Europe,1996,36,1996-09-02,1996-09-08,,,,,,,,,,,,,,,No Report
