Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,1,2007-12-31,2008-01-06,,0,,,,,0,0,,,0,0,0,,No Report

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,2,2008-01-07,2008-01-13,,2,,,,,0,0,,,0,0,0,2,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,3,2008-01-14,2008-01-20,,1,,,,,0,0,,,0,0,0,1,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,4,2008-01-21,2008-01-27,,2,,,,,0,0,,,0,0,0,2,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,5,2008-01-28,2008-02-03,,3,,,,,0,0,,,0,0,0,3,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,6,2008-02-04,2008-02-10,,1,,,,,0,0,,,0,0,0,1,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,7,2008-02-11,2008-02-17,,4,,,,,1,1,,,0,0,1,3,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,8,2008-02-18,2008-02-24,,0,,,,,0,0,,,0,0,0,,No Report

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,9,2008-02-25,2008-03-02,,0,,,,,0,0,,,0,0,0,,No Report

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,10,2008-03-03,2008-03-09,,0,,,,,0,0,,,0,0,0,,No Report

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,11,2008-03-10,2008-03-16,,6,,,,,1,1,,,0,0,1,5,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,12,2008-03-17,2008-03-23,,3,,,,,1,1,,,0,0,1,2,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,13,2008-03-24,2008-03-30,,4,,,,,1,1,,,0,0,1,3,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,14,2008-03-31,2008-04-06,,13,,,,,1,1,,,2,2,3,10,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,15,2008-04-07,2008-04-13,,3,,,,,0,0,,,0,0,0,3,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,16,2008-04-14,2008-04-20,,8,,,,,0,0,,,1,1,1,7,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,17,2008-04-21,2008-04-27,,7,,,,,0,0,,,0,0,0,7,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,18,2008-04-28,2008-05-04,,1,,,,,0,0,,,0,0,0,1,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,19,2008-05-05,2008-05-11,,8,,,,,1,1,,,0,0,1,7,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,20,2008-05-12,2008-05-18,,8,,,,,0,0,,,0,0,0,8,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,21,2008-05-19,2008-05-25,,7,,,,,0,0,,,0,0,0,7,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,22,2008-05-26,2008-06-01,,15,,,,,2,2,,,1,1,3,12,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,23,2008-06-02,2008-06-08,,9,,,,,0,0,,,0,0,0,9,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,24,2008-06-09,2008-06-15,,14,,,,,0,0,,,0,0,0,14,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,25,2008-06-16,2008-06-22,,19,,,,,0,0,,,0,0,0,19,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,26,2008-06-23,2008-06-29,,6,,,,,0,0,,,1,1,1,5,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,27,2008-06-30,2008-07-06,,12,,,,,0,0,,,1,1,1,11,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,28,2008-07-07,2008-07-13,,24,,,,,1,1,,,1,1,2,22,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,29,2008-07-14,2008-07-20,,11,,,,,0,0,,,0,0,0,11,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,30,2008-07-21,2008-07-27,,22,,,,,1,1,,,0,0,1,21,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,31,2008-07-28,2008-08-03,,25,,,,,0,0,,,1,1,1,24,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,32,2008-08-04,2008-08-10,,12,,,,,0,0,,,0,0,0,12,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,33,2008-08-11,2008-08-17,,12,,,,,1,1,,,0,0,1,11,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,34,2008-08-18,2008-08-24,,30,,,,,0,0,,,0,0,0,30,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,35,2008-08-25,2008-08-31,,14,,,,,0,0,,,0,0,0,14,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,36,2008-09-01,2008-09-07,,9,,,,,0,0,,,0,0,0,9,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,37,2008-09-08,2008-09-14,,25,,,,,1,1,,,0,0,1,24,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,38,2008-09-15,2008-09-21,,14,,,,,0,0,,,0,0,0,14,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,39,2008-09-22,2008-09-28,,34,,,,,0,0,,,0,0,0,34,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,40,2008-09-29,2008-10-05,,21,,,,,0,0,,,0,0,0,21,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,41,2008-10-06,2008-10-12,,24,,,,,1,1,,,0,0,1,23,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,42,2008-10-13,2008-10-19,,33,,,,,1,1,,,0,0,1,32,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,43,2008-10-20,2008-10-26,,31,,,,,1,1,,,0,0,1,30,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,44,2008-10-27,2008-11-02,,18,,,,,0,0,,,0,0,0,18,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,45,2008-11-03,2008-11-09,,10,,,,,0,0,,,0,0,0,10,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,46,2008-11-10,2008-11-16,,14,,,,,0,0,,,0,0,0,14,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,47,2008-11-17,2008-11-23,,18,,,,,0,0,,,0,0,0,18,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,48,2008-11-24,2008-11-30,,14,,,,,0,0,,,0,0,0,14,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,49,2008-12-01,2008-12-07,,13,,,,,0,0,,,0,0,0,13,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,50,2008-12-08,2008-12-14,,15,,,,,1,1,,,0,0,1,14,Sporadic

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,51,2008-12-15,2008-12-21,,10,,,,,0,0,,,0,0,0,10,No Activity

Dominican Republic,Region of the Americas of WHO,Central America and Caribbean,2008,52,2008-12-22,2008-12-28,,9,,,,,0,0,,,0,0,0,9,No Activity


