Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ecuador,Region of the Americas of WHO,Tropical South America,2009,1,2008-12-29,2009-01-04,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,2,2009-01-05,2009-01-11,,,4,,,,,4,,,0,0,4,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,3,2009-01-12,2009-01-18,,,7,,,,,7,,,0,0,7,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,4,2009-01-19,2009-01-25,,,3,,,,,3,,,0,0,3,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,5,2009-01-26,2009-02-01,,,,,2,,,2,,,0,0,2,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,6,2009-02-02,2009-02-08,,,5,,15,,,20,,,0,0,20,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,7,2009-02-09,2009-02-15,,,2,,11,,,13,,,0,0,13,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,8,2009-02-16,2009-02-22,,,,,3,,,3,,,0,0,3,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,9,2009-02-23,2009-03-01,,,,,8,,,8,,,0,0,8,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,10,2009-03-02,2009-03-08,,,,,3,,,3,,,0,0,3,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,11,2009-03-09,2009-03-15,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,12,2009-03-16,2009-03-22,,,,,1,,,1,,,0,0,1,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,13,2009-03-23,2009-03-29,,,,,1,,,1,,,0,0,1,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,14,2009-03-30,2009-04-05,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,15,2009-04-06,2009-04-12,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,16,2009-04-13,2009-04-19,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,17,2009-04-20,2009-04-26,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,18,2009-04-27,2009-05-03,,,,,,,,,,,,,,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,19,2009-05-04,2009-05-10,,,1,,,,,1,,,0,0,1,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,20,2009-05-11,2009-05-17,,,1,1,9,,,11,,,0,0,11,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,21,2009-05-18,2009-05-24,,,1,24,3,,,28,,,1,1,29,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,22,2009-05-25,2009-05-31,,,1,17,4,,,22,,,0,0,22,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,23,2009-06-01,2009-06-07,,,,19,4,,,23,,,0,0,23,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,24,2009-06-08,2009-06-14,,,,25,14,,,39,,,0,0,39,,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,25,2009-06-15,2009-06-21,220,220,,5,1,,28,34,,,1,1,35,185,Regional Outbreak

Ecuador,Region of the Americas of WHO,Tropical South America,2009,26,2009-06-22,2009-06-28,204,204,,42,,,12,54,,,1,1,55,149,Regional Outbreak

Ecuador,Region of the Americas of WHO,Tropical South America,2009,27,2009-06-29,2009-07-05,296,296,,75,,,4,79,,,0,0,79,217,Regional Outbreak

Ecuador,Region of the Americas of WHO,Tropical South America,2009,28,2009-07-06,2009-07-12,430,430,,132,,,3,135,,,0,0,135,295,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2009,29,2009-07-13,2009-07-19,462,462,,125,,,8,133,,,0,0,133,329,Regional Outbreak

Ecuador,Region of the Americas of WHO,Tropical South America,2009,30,2009-07-20,2009-07-26,422,422,,137,,,4,141,,,0,0,141,281,Regional Outbreak

Ecuador,Region of the Americas of WHO,Tropical South America,2009,31,2009-07-27,2009-08-02,322,322,,91,,,4,95,,,0,0,95,227,Regional Outbreak

Ecuador,Region of the Americas of WHO,Tropical South America,2009,32,2009-08-03,2009-08-09,232,232,,54,,,1,55,,,0,0,55,177,Widespread Outbreak

