Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ecuador,Region of the Americas of WHO,Tropical South America,2016,1,2016-01-04,2016-01-10,,52,,1,,,,1,,1,2,3,4,48,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,2,2016-01-11,2016-01-17,,67,,1,2,,,3,,1,2,3,6,61,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,3,2016-01-18,2016-01-24,,83,,1,,,,1,,4,1,5,6,77,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,4,2016-01-25,2016-01-31,,95,,2,4,,,6,,6,1,7,13,82,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,5,2016-02-01,2016-02-07,,116,,4,3,,,8,,5,3,8,16,100,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,6,2016-02-08,2016-02-14,,137,,6,6,,,12,,3,2,5,17,120,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,7,2016-02-15,2016-02-21,,144,,6,4,,,10,,3,5,8,18,126,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,8,2016-02-22,2016-02-28,,105,,4,5,,,9,,2,3,5,14,91,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,9,2016-02-29,2016-03-06,,128,,16,2,,,18,,,2,2,20,108,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,10,2016-03-07,2016-03-13,,144,,18,7,,,25,,2,1,3,28,116,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,11,2016-03-14,2016-03-20,,168,,27,6,,,33,,1,,1,34,134,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,12,2016-03-21,2016-03-27,,160,,29,3,,,32,,4,,4,36,124,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,13,2016-03-28,2016-04-03,,147,,25,2,,,27,,,1,1,28,119,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,14,2016-04-04,2016-04-10,,151,,29,1,,,31,,,1,1,32,119,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,15,2016-04-11,2016-04-17,,206,,62,4,,,66,,,1,1,67,139,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,16,2016-04-18,2016-04-24,,198,,54,4,,,58,,,2,2,60,138,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,17,2016-04-25,2016-05-01,,220,,68,2,,,70,,,2,2,72,148,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,18,2016-05-02,2016-05-08,,216,,48,1,,,49,,,2,2,51,165,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,19,2016-05-09,2016-05-15,,250,,64,4,,,68,,,1,1,69,181,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,20,2016-05-16,2016-05-22,,312,,77,3,,,80,,,2,2,82,230,No Report

Ecuador,Region of the Americas of WHO,Tropical South America,2016,21,2016-05-23,2016-05-29,,240,,55,3,,,58,,,1,1,59,181,No Report

