,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Ecuador,Region of the Americas of WHO,Tropical South America,2020,1,2019-12-30,2020-01-05,,270.0,,46.0,4.0,,,50.0,,,2.0,2.0,52.0,218.0,No Report
1,Ecuador,Region of the Americas of WHO,Tropical South America,2020,2,2020-01-06,2020-01-12,,300.0,,32.0,4.0,,,36.0,,,2.0,2.0,38.0,262.0,No Report
2,Ecuador,Region of the Americas of WHO,Tropical South America,2020,3,2020-01-13,2020-01-19,,272.0,,18.0,2.0,,,20.0,,,0.0,0.0,20.0,252.0,No Report
3,Ecuador,Region of the Americas of WHO,Tropical South America,2020,4,2020-01-20,2020-01-26,,270.0,,8.0,2.0,,,10.0,,,6.0,6.0,16.0,254.0,No Report
4,Ecuador,Region of the Americas of WHO,Tropical South America,2020,5,2020-01-27,2020-02-02,,264.0,,6.0,4.0,,,10.0,,,6.0,6.0,16.0,248.0,No Report
5,Ecuador,Region of the Americas of WHO,Tropical South America,2020,6,2020-02-03,2020-02-09,,272.0,,8.0,4.0,,,12.0,,,0.0,0.0,12.0,260.0,No Report
6,Ecuador,Region of the Americas of WHO,Tropical South America,2020,7,2020-02-10,2020-02-16,,200.0,,,2.0,,,2.0,,,2.0,2.0,4.0,196.0,No Report
7,Ecuador,Region of the Americas of WHO,Tropical South America,2020,8,2020-02-17,2020-02-23,,116.0,,,,,,0.0,,,2.0,2.0,2.0,114.0,No Report
8,Ecuador,Region of the Americas of WHO,Tropical South America,2020,9,2020-02-24,2020-03-01,,44.0,,,,,,0.0,,,0.0,0.0,0.0,44.0,No Report
9,Ecuador,Region of the Americas of WHO,Tropical South America,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Ecuador,Region of the Americas of WHO,Tropical South America,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Ecuador,Region of the Americas of WHO,Tropical South America,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Ecuador,Region of the Americas of WHO,Tropical South America,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
