,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,1,2019-12-30,2020-01-05,577.0,577.0,,156.0,4.0,0.0,0.0,160.0,,,41.0,41.0,201.0,376.0,Local Outbreak
1,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,2,2020-01-06,2020-01-12,496.0,496.0,,68.0,3.0,0.0,0.0,71.0,,,23.0,23.0,94.0,402.0,Local Outbreak
2,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,3,2020-01-13,2020-01-19,407.0,407.0,,38.0,0.0,0.0,0.0,38.0,,,25.0,25.0,63.0,344.0,No Report
3,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,4,2020-01-20,2020-01-26,485.0,485.0,,32.0,4.0,0.0,0.0,36.0,,,37.0,37.0,73.0,412.0,Local Outbreak
4,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,5,2020-01-27,2020-02-02,406.0,406.0,,15.0,3.0,0.0,0.0,18.0,,,27.0,27.0,45.0,361.0,Local Outbreak
5,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,6,2020-02-03,2020-02-09,452.0,452.0,,22.0,11.0,0.0,0.0,33.0,,,33.0,33.0,66.0,386.0,Local Outbreak
6,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,7,2020-02-10,2020-02-16,388.0,388.0,,11.0,4.0,0.0,0.0,15.0,,,21.0,21.0,36.0,352.0,No Report
7,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,8,2020-02-17,2020-02-23,352.0,352.0,,5.0,6.0,0.0,0.0,11.0,,,5.0,5.0,16.0,336.0,No Report
8,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
9,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Egypt,Eastern Mediterranean Region of WHO,Northern Africa,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
