Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,1,2011-01-03,2011-01-09,37,37,0,0,0,0,0,0,0,0,5,5,5,32,Local Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,2,2011-01-10,2011-01-16,42,42,0,1,0,0,0,1,0,0,5,5,6,36,Local Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,3,2011-01-17,2011-01-23,39,39,0,0,0,0,0,0,0,0,0,0,0,39,Widespread Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,4,2011-01-24,2011-01-30,34,34,0,0,0,0,0,0,0,0,0,0,0,34,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,5,2011-01-31,2011-02-06,31,31,0,0,0,0,0,0,0,0,0,0,0,31,No Activity

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,6,2011-02-07,2011-02-13,30,30,0,0,0,0,0,0,0,0,0,0,0,30,No Activity

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,7,2011-02-14,2011-02-20,38,38,0,0,0,0,0,0,0,0,0,0,0,38,No Report

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,8,2011-02-21,2011-02-27,45,45,0,0,0,0,0,0,0,0,0,0,0,45,No Report

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,9,2011-02-28,2011-03-06,38,38,0,0,0,0,0,0,0,0,0,0,0,38,No Activity

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,10,2011-03-07,2011-03-13,46,46,0,0,0,0,0,0,0,0,0,0,0,46,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,11,2011-03-14,2011-03-20,36,36,0,2,0,0,0,2,0,0,0,0,2,34,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,12,2011-03-21,2011-03-27,43,43,0,0,0,0,0,0,0,0,0,0,0,43,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,13,2011-03-28,2011-04-03,42,42,0,0,0,0,0,0,0,0,0,0,0,42,No Report

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,14,2011-04-04,2011-04-10,49,49,0,0,0,0,0,0,0,0,2,2,2,47,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,15,2011-04-11,2011-04-17,31,31,0,0,0,0,0,0,0,0,0,0,0,31,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,16,2011-04-18,2011-04-24,20,20,0,0,0,0,0,0,0,0,1,1,1,19,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,17,2011-04-25,2011-05-01,30,30,0,0,0,0,0,0,0,0,2,2,2,28,No Report

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,18,2011-05-02,2011-05-08,27,27,0,0,0,0,0,0,0,0,7,7,7,20,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,19,2011-05-09,2011-05-15,52,52,0,0,0,0,0,0,0,0,0,0,0,52,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,20,2011-05-16,2011-05-22,33,33,0,0,0,0,0,0,0,0,12,12,12,21,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,21,2011-05-23,2011-05-29,37,37,0,0,0,0,0,0,0,0,12,12,12,25,Local Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,22,2011-05-30,2011-06-05,38,38,0,0,0,0,0,0,0,0,5,5,5,33,Local Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,23,2011-06-06,2011-06-12,53,53,0,0,0,0,0,0,0,0,16,16,16,37,Regional Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,24,2011-06-13,2011-06-19,47,47,0,0,0,0,0,0,0,0,14,14,14,33,Regional Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,25,2011-06-20,2011-06-26,47,47,0,0,0,0,0,0,0,0,7,7,7,40,Regional Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,26,2011-06-27,2011-07-03,60,60,0,0,0,0,0,0,0,0,3,3,3,57,Regional Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,27,2011-07-04,2011-07-10,41,41,0,0,0,0,0,0,0,0,1,1,1,40,Regional Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,28,2011-07-11,2011-07-17,64,64,0,0,0,0,0,0,0,0,0,0,0,64,No Report

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,29,2011-07-18,2011-07-24,43,43,0,0,0,0,0,0,0,0,0,0,0,43,Local Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,30,2011-07-25,2011-07-31,40,40,0,0,1,0,0,1,0,0,4,4,5,35,Widespread Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,31,2011-08-01,2011-08-07,44,44,0,0,0,0,0,0,0,0,0,0,0,44,Local Outbreak

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,32,2011-08-08,2011-08-14,35,35,0,0,0,0,0,0,0,0,0,0,0,35,No Activity

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,33,2011-08-15,2011-08-21,44,44,0,0,0,0,0,0,0,0,0,0,0,44,No Activity

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,34,2011-08-22,2011-08-28,39,39,0,0,1,0,0,1,0,0,0,0,1,38,No Report

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,35,2011-08-29,2011-09-04,30,30,0,0,2,0,0,2,0,0,0,0,2,28,Sporadic

El Salvador,Region of the Americas of WHO,Central America and Caribbean,2011,36,2011-09-05,2011-09-11,29,29,0,0,7,0,0,7,0,0,0,0,7,22,Regional Outbreak

