Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Estonia,European Region of WHO,Northern Europe,2008,1,2007-12-31,2008-01-06,,3,0,,0,,0,0,,,0,0,0,,No Report

Estonia,European Region of WHO,Northern Europe,2008,2,2008-01-07,2008-01-13,,15,1,,0,,0,1,,,0,0,1,,No Report

Estonia,European Region of WHO,Northern Europe,2008,3,2008-01-14,2008-01-20,,10,1,,0,,0,1,,,1,1,2,,No Report

Estonia,European Region of WHO,Northern Europe,2008,4,2008-01-21,2008-01-27,,26,5,,0,,2,7,,,0,0,7,,No Report

Estonia,European Region of WHO,Northern Europe,2008,5,2008-01-28,2008-02-03,,61,19,,0,,4,23,,,0,0,23,,No Report

Estonia,European Region of WHO,Northern Europe,2008,6,2008-02-04,2008-02-10,,40,19,,0,,2,21,,,0,0,21,,No Report

Estonia,European Region of WHO,Northern Europe,2008,7,2008-02-11,2008-02-17,,72,18,,0,,1,19,,,0,0,19,,No Report

Estonia,European Region of WHO,Northern Europe,2008,8,2008-02-18,2008-02-24,,53,17,,1,,5,23,,,0,0,23,,No Report

Estonia,European Region of WHO,Northern Europe,2008,9,2008-02-25,2008-03-02,,55,20,,0,,0,20,,,2,2,22,,No Report

Estonia,European Region of WHO,Northern Europe,2008,10,2008-03-03,2008-03-09,,55,23,,0,,1,24,,,2,2,26,,No Report

Estonia,European Region of WHO,Northern Europe,2008,11,2008-03-10,2008-03-16,,50,10,,0,,10,20,,,2,2,22,,No Report

Estonia,European Region of WHO,Northern Europe,2008,12,2008-03-17,2008-03-23,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,13,2008-03-24,2008-03-30,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,14,2008-03-31,2008-04-06,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,15,2008-04-07,2008-04-13,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,16,2008-04-14,2008-04-20,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,17,2008-04-21,2008-04-27,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,18,2008-04-28,2008-05-04,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,19,2008-05-05,2008-05-11,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2008,20,2008-05-12,2008-05-18,,60,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,21,2008-05-19,2008-05-25,,106,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,22,2008-05-26,2008-06-01,,65,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,23,2008-06-02,2008-06-08,,56,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,24,2008-06-09,2008-06-15,,79,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,25,2008-06-16,2008-06-22,,62,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,26,2008-06-23,2008-06-29,,36,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,27,2008-06-30,2008-07-06,,39,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,28,2008-07-07,2008-07-13,,25,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,29,2008-07-14,2008-07-20,,16,0,,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2008,30,2008-07-21,2008-07-27,,13,0,,0,,0,0,0,0,0,0,0,,No Activity

