Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Estonia,European Region of WHO,Northern Europe,2011,1,2011-01-03,2011-01-09,,134,0,20,0,,3,23,0,0,1,1,24,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,2,2011-01-10,2011-01-16,,239,0,73,0,,15,88,0,0,5,5,93,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,3,2011-01-17,2011-01-23,,499,0,115,0,,27,142,0,0,8,8,150,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,4,2011-01-24,2011-01-30,,469,0,123,0,,23,146,0,0,21,21,167,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,5,2011-01-31,2011-02-06,,484,0,64,0,,43,107,0,0,17,17,124,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,6,2011-02-07,2011-02-13,,419,0,70,0,,32,102,0,0,8,8,110,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,7,2011-02-14,2011-02-20,,338,0,36,0,,32,68,0,0,7,7,75,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,8,2011-02-21,2011-02-27,,227,0,20,0,,16,36,0,0,5,5,41,,No Report

Estonia,European Region of WHO,Northern Europe,2011,9,2011-02-28,2011-03-06,,246,0,36,0,,9,45,0,0,11,11,56,,Widespread Outbreak

Estonia,European Region of WHO,Northern Europe,2011,10,2011-03-07,2011-03-13,,213,0,13,0,,10,23,0,0,6,6,29,,Local Outbreak

Estonia,European Region of WHO,Northern Europe,2011,11,2011-03-14,2011-03-20,,208,0,2,0,,4,6,0,0,13,13,19,,Local Outbreak

Estonia,European Region of WHO,Northern Europe,2011,12,2011-03-21,2011-03-27,,172,0,4,0,,2,6,0,0,4,4,10,,Local Outbreak

Estonia,European Region of WHO,Northern Europe,2011,13,2011-03-28,2011-04-03,,147,0,4,0,,0,4,0,0,10,10,14,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,14,2011-04-04,2011-04-10,,146,0,2,0,,2,4,0,0,15,15,19,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,15,2011-04-11,2011-04-17,,117,0,1,0,,1,2,0,0,5,5,7,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,16,2011-04-18,2011-04-24,,91,0,1,0,,2,3,0,0,2,2,5,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,17,2011-04-25,2011-05-01,,76,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,18,2011-05-02,2011-05-08,,42,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,19,2011-05-09,2011-05-15,,56,0,1,0,,0,1,0,0,0,0,1,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,20,2011-05-16,2011-05-22,,25,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Estonia,European Region of WHO,Northern Europe,2011,21,2011-05-23,2011-05-29,,20,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,22,2011-05-30,2011-06-05,,28,0,0,0,,0,0,0,0,0,0,0,,No Report

Estonia,European Region of WHO,Northern Europe,2011,23,2011-06-06,2011-06-12,,14,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,24,2011-06-13,2011-06-19,,22,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,25,2011-06-20,2011-06-26,,9,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,26,2011-06-27,2011-07-03,,19,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,27,2011-07-04,2011-07-10,,13,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,28,2011-07-11,2011-07-17,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,29,2011-07-18,2011-07-24,,10,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,30,2011-07-25,2011-07-31,,11,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,31,2011-08-01,2011-08-07,,10,0,0,0,,0,0,0,0,0,0,0,,No Report

Estonia,European Region of WHO,Northern Europe,2011,32,2011-08-08,2011-08-14,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Estonia,European Region of WHO,Northern Europe,2011,33,2011-08-15,2011-08-21,,10,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,34,2011-08-22,2011-08-28,,22,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,35,2011-08-29,2011-09-04,,,,,,,,,,,,,,,No Report

Estonia,European Region of WHO,Northern Europe,2011,36,2011-09-05,2011-09-11,,22,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,37,2011-09-12,2011-09-18,,24,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,38,2011-09-19,2011-09-25,,42,0,0,0,,0,0,0,0,0,0,0,,No Activity

Estonia,European Region of WHO,Northern Europe,2011,39,2011-09-26,2011-10-02,,39,0,0,0,,0,0,0,0,0,0,0,,No Activity

