Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ethiopia,African Region of WHO,Eastern Africa,2018,1,2018-01-01,2018-01-07,28,24,,0,0,0,0,0,0,0,11,11,11,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,2,2018-01-08,2018-01-14,26,25,,0,4,0,0,4,0,0,13,13,17,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,3,2018-01-15,2018-01-21,25,24,,1,3,0,0,4,0,0,8,8,12,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,4,2018-01-22,2018-01-28,6,11,,2,4,0,0,6,0,0,3,3,9,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,5,2018-01-29,2018-02-04,17,16,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,6,2018-02-05,2018-02-11,14,13,,0,2,0,0,2,0,0,5,5,7,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,7,2018-02-12,2018-02-18,14,16,,3,1,0,0,4,0,0,6,6,10,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,8,2018-02-19,2018-02-25,11,7,,0,0,0,0,0,0,0,2,2,2,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,9,2018-02-26,2018-03-04,24,30,,6,2,0,0,8,0,0,5,5,13,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,10,2018-03-05,2018-03-11,12,14,,1,1,0,0,2,0,0,1,1,3,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,11,2018-03-12,2018-03-18,17,16,,0,0,0,0,0,0,0,1,1,1,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,12,2018-03-19,2018-03-25,18,15,,1,0,0,0,1,0,0,2,2,3,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,13,2018-03-26,2018-04-01,21,17,,2,0,0,0,2,0,0,4,4,6,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,14,2018-04-02,2018-04-08,21,19,,0,0,0,0,0,0,0,1,1,1,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,15,2018-04-09,2018-04-15,19,11,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,16,2018-04-16,2018-04-22,12,10,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,17,2018-04-23,2018-04-29,21,19,,6,0,0,0,6,0,0,0,0,6,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,18,2018-04-30,2018-05-06,10,17,,8,0,0,0,8,0,0,0,0,8,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,19,2018-05-07,2018-05-13,17,13,,1,0,0,0,1,0,0,0,0,1,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,20,2018-05-14,2018-05-20,9,9,,1,0,0,0,1,0,0,0,0,1,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,21,2018-05-21,2018-05-27,12,12,,1,0,0,0,1,0,0,0,0,1,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,22,2018-05-28,2018-06-03,27,27,,2,0,0,0,2,0,0,0,0,2,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,23,2018-06-04,2018-06-10,9,20,,7,1,0,0,8,0,0,1,1,9,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,24,2018-06-11,2018-06-17,7,5,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,25,2018-06-18,2018-06-24,18,19,,1,6,0,0,7,0,0,0,0,7,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,26,2018-06-25,2018-07-01,22,20,,0,1,0,0,1,0,0,0,0,1,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,27,2018-07-02,2018-07-08,26,29,,1,3,0,0,4,1,0,0,1,5,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,28,2018-07-09,2018-07-15,21,20,,2,4,0,0,6,0,0,0,0,6,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,29,2018-07-16,2018-07-22,18,13,,0,3,0,0,3,0,0,0,0,3,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,30,2018-07-23,2018-07-29,25,18,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,31,2018-07-30,2018-08-05,12,25,,0,10,0,0,10,0,0,0,0,10,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,32,2018-08-06,2018-08-12,25,25,,6,0,0,0,6,0,0,0,0,6,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,33,2018-08-13,2018-08-19,6,6,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,34,2018-08-20,2018-08-26,20,18,,0,5,0,0,5,0,0,0,0,5,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,35,2018-08-27,2018-09-02,41,43,,0,7,0,0,7,0,0,0,0,7,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,36,2018-09-03,2018-09-09,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,37,2018-09-10,2018-09-16,9,9,,0,3,0,0,3,0,0,0,0,3,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,38,2018-09-17,2018-09-23,22,22,,0,5,0,0,5,0,0,0,0,5,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,39,2018-09-24,2018-09-30,16,15,,0,3,0,0,3,0,0,0,0,3,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,40,2018-10-01,2018-10-07,16,16,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,41,2018-10-08,2018-10-14,10,10,,0,0,0,0,0,0,0,0,0,0,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,42,2018-10-15,2018-10-21,22,23,,2,1,0,0,3,0,0,0,0,3,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,43,2018-10-22,2018-10-28,21,21,,2,2,0,0,4,0,0,0,0,4,,No Report

Ethiopia,African Region of WHO,Eastern Africa,2018,44,2018-10-29,2018-11-04,26,26,,2,1,0,0,3,0,0,0,0,3,,No Report

