Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,1,2018-01-01,2018-01-07,0,0,,,,,,0,,,0,0,0,,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,2,2018-01-08,2018-01-14,2,2,,,,,,0,,,0,0,0,2,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,3,2018-01-15,2018-01-21,1,1,,,,,,0,,,0,0,0,1,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,4,2018-01-22,2018-01-28,0,0,,,,,,0,,,0,0,0,,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,5,2018-01-29,2018-02-04,7,7,,,1,,,1,,,0,0,1,6,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,6,2018-02-05,2018-02-11,6,6,,1,1,,,2,,,0,0,2,4,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,7,2018-02-12,2018-02-18,5,5,,,,,,0,,,0,0,0,5,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,8,2018-02-19,2018-02-25,0,0,,,,,,0,,,0,0,0,,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,9,2018-02-26,2018-03-04,6,6,,1,,,,1,,,0,0,1,5,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,10,2018-03-05,2018-03-11,0,0,,,,,,0,,,0,0,0,,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,11,2018-03-12,2018-03-18,12,12,,2,5,,,7,,,0,0,7,5,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,12,2018-03-19,2018-03-25,15,15,,2,1,,,3,,,1,1,4,11,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,13,2018-03-26,2018-04-01,10,10,,5,,,,5,,,0,0,5,5,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,14,2018-04-02,2018-04-08,27,27,,7,6,,,13,,,3,3,16,11,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,15,2018-04-09,2018-04-15,27,27,,3,6,,,9,,,3,3,12,15,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,16,2018-04-16,2018-04-22,9,9,,2,,,,2,,,1,1,3,6,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,17,2018-04-23,2018-04-29,12,12,,2,5,,,7,,,3,3,10,2,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,18,2018-04-30,2018-05-06,13,13,,,3,,,3,,,2,2,5,8,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,19,2018-05-07,2018-05-13,7,7,,,1,,,1,,,0,0,1,6,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,20,2018-05-14,2018-05-20,3,3,,,,,,0,,,1,1,1,2,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,21,2018-05-21,2018-05-27,12,12,,1,2,,,3,,,0,0,3,8,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,22,2018-05-28,2018-06-03,4,4,,,,,,0,,,0,0,0,4,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,23,2018-06-04,2018-06-10,9,9,,1,1,,,2,,,0,0,2,7,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,24,2018-06-11,2018-06-17,9,9,,,2,,,2,,,1,1,3,6,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,25,2018-06-18,2018-06-24,7,7,,,3,,,3,,,2,2,5,2,Sporadic

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2018,26,2018-06-25,2018-07-01,16,16,,,4,,,4,,,1,1,5,11,Sporadic

