Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,1,2018-12-31,2019-01-06,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,2,2019-01-07,2019-01-13,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,3,2019-01-14,2019-01-20,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,4,2019-01-21,2019-01-27,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,5,2019-01-28,2019-02-03,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,6,2019-02-04,2019-02-10,15,15,,2,3,,,5,,,0,0,5,10,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,7,2019-02-11,2019-02-17,17,17,,6,,,4,10,,,0,0,10,7,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,8,2019-02-18,2019-02-24,0,0,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,9,2019-02-25,2019-03-03,26,26,,3,4,,,7,,,0,0,7,19,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,10,2019-03-04,2019-03-10,0,0,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,11,2019-03-11,2019-03-17,30,30,,9,4,,,13,,,0,0,13,17,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,12,2019-03-18,2019-03-24,27,27,,13,2,,,15,,,0,0,15,14,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,13,2019-03-25,2019-03-31,0,0,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,14,2019-04-01,2019-04-07,0,0,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,15,2019-04-08,2019-04-14,47,47,,7,1,,,8,,,0,0,8,40,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,16,2019-04-15,2019-04-21,19,19,,,,,1,1,,2,,2,3,17,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,17,2019-04-22,2019-04-28,19,19,,,2,,,2,,2,,2,4,15,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,18,2019-04-29,2019-05-05,0,0,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,19,2019-05-06,2019-05-12,70,70,,,1,,,1,,,44,44,45,25,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,20,2019-05-13,2019-05-19,10,10,,,,,,0,,,3,3,3,7,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,21,2019-05-20,2019-05-26,0,,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,22,2019-05-27,2019-06-02,50,50,,2,1,,,3,,,28,28,31,19,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,23,2019-06-03,2019-06-09,7,7,,,1,,,1,,,1,1,2,5,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,24,2019-06-10,2019-06-16,0,0,,,,,,0,,,0,0,0,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,25,2019-06-17,2019-06-23,48,48,,,,,,0,,28,,28,28,20,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,26,2019-06-24,2019-06-30,23,23,,,,,,0,,7,,7,7,16,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,27,2019-07-01,2019-07-07,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,28,2019-07-08,2019-07-14,9,9,,,,,,0,,2,,2,2,7,Local Outbreak

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,29,2019-07-15,2019-07-21,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,30,2019-07-22,2019-07-28,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,31,2019-07-29,2019-08-04,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,32,2019-08-05,2019-08-11,14,14,,,1,,,1,,,0,0,1,13,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,33,2019-08-12,2019-08-18,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,34,2019-08-19,2019-08-25,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,35,2019-08-26,2019-09-01,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,36,2019-09-02,2019-09-08,15,15,,,,,,0,,,0,0,0,15,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,37,2019-09-09,2019-09-15,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,38,2019-09-16,2019-09-22,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,39,2019-09-23,2019-09-29,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,40,2019-09-30,2019-10-06,15,15,,,,,,0,,,0,0,0,15,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,41,2019-10-07,2019-10-13,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,42,2019-10-14,2019-10-20,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,43,2019-10-21,2019-10-27,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,44,2019-10-28,2019-11-03,21,21,,,1,,,1,,,0,0,1,20,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,45,2019-11-04,2019-11-10,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,46,2019-11-11,2019-11-17,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,47,2019-11-18,2019-11-24,6,6,,,,,,0,,,0,0,0,6,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,48,2019-11-25,2019-12-01,5,5,,,,,,0,,,0,0,0,5,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,49,2019-12-02,2019-12-08,2,2,,,,,,0,,,0,0,0,2,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,50,2019-12-09,2019-12-15,1,1,,,,,,0,,,0,0,0,1,No Activity

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,51,2019-12-16,2019-12-22,,,,,,,,,,,,,,,No Report

Fiji,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,52,2019-12-23,2019-12-29,5,5,,,,,,0,,,0,0,0,5,No Activity


