Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Finland,European Region of WHO,Northern Europe,2016,1,2016-01-04,2016-01-10,,16,0,10,1,,0,11,0,0,0,0,11,,No Report

Finland,European Region of WHO,Northern Europe,2016,2,2016-01-11,2016-01-17,,23,0,12,1,,0,13,0,1,0,1,14,,No Report

Finland,European Region of WHO,Northern Europe,2016,3,2016-01-18,2016-01-24,,43,0,28,1,,0,29,0,0,0,0,29,,No Report

Finland,European Region of WHO,Northern Europe,2016,4,2016-01-25,2016-01-31,,49,0,18,1,,0,19,0,3,0,3,22,,No Report

Finland,European Region of WHO,Northern Europe,2016,5,2016-02-01,2016-02-07,,32,0,11,0,,0,11,0,0,0,0,11,,No Report

Finland,European Region of WHO,Northern Europe,2016,6,2016-02-08,2016-02-14,,36,0,11,4,,0,15,0,2,0,2,17,,No Report

Finland,European Region of WHO,Northern Europe,2016,7,2016-02-15,2016-02-21,,31,0,9,2,,0,11,0,3,0,3,14,,No Report

Finland,European Region of WHO,Northern Europe,2016,8,2016-02-22,2016-02-28,,13,0,6,0,,0,6,0,0,0,0,6,,No Report

Finland,European Region of WHO,Northern Europe,2016,9,2016-02-29,2016-03-06,,12,0,2,0,,0,2,0,1,0,1,3,,No Report

Finland,European Region of WHO,Northern Europe,2016,10,2016-03-07,2016-03-13,,12,0,1,0,,0,1,0,5,0,5,6,,No Report

Finland,European Region of WHO,Northern Europe,2016,11,2016-03-14,2016-03-20,,9,0,0,0,,0,0,0,0,0,0,0,,No Report

Finland,European Region of WHO,Northern Europe,2016,12,2016-03-21,2016-03-27,,6,0,1,0,,0,1,0,2,0,2,3,,No Report

Finland,European Region of WHO,Northern Europe,2016,13,2016-03-28,2016-04-03,,5,0,1,0,,0,1,0,0,0,0,1,,No Report

Finland,European Region of WHO,Northern Europe,2016,14,2016-04-04,2016-04-10,,9,0,0,0,,0,0,0,2,0,2,2,,No Report

