Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

France,European Region of WHO,South West Europe,2013,1,2012-12-31,2013-01-06,1551,5530,0,154,88,0,200,442,56,14,236,306,748,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,2,2013-01-07,2013-01-13,1231,5094,0,186,74,0,250,510,87,6,223,316,826,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,3,2013-01-14,2013-01-20,1638,5756,0,246,121,0,295,662,142,12,383,537,1199,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,4,2013-01-21,2013-01-27,2081,7038,0,378,138,0,402,918,288,15,759,1062,1980,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,5,2013-01-28,2013-02-03,2325,7712,0,482,196,0,476,1154,242,8,1087,1337,2491,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,6,2013-02-04,2013-02-10,2235,8402,0,460,270,0,534,1264,253,16,1179,1448,2712,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,7,2013-02-11,2013-02-17,2360,8750,0,292,155,0,755,1202,227,16,1222,1465,2667,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,8,2013-02-18,2013-02-24,2193,8158,0,234,158,0,642,1034,208,18,990,1216,2250,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,9,2013-02-25,2013-03-03,1842,7252,0,293,134,0,541,968,94,6,878,978,1946,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,10,2013-03-04,2013-03-10,1575,6606,0,152,120,0,448,720,96,17,673,786,1506,,Widespread Outbreak

France,European Region of WHO,South West Europe,2013,11,2013-03-11,2013-03-17,1263,4988,0,92,142,0,212,446,41,7,356,404,850,,Regional Outbreak

France,European Region of WHO,South West Europe,2013,12,2013-03-18,2013-03-24,1212,4598,0,40,30,0,176,246,54,10,214,278,524,,Local Outbreak

France,European Region of WHO,South West Europe,2013,13,2013-03-25,2013-03-31,1006,3802,0,24,32,0,86,142,28,10,139,177,319,,Local Outbreak

France,European Region of WHO,South West Europe,2013,14,2013-04-01,2013-04-07,809,3144,0,16,8,0,36,60,27,4,77,108,168,,Sporadic

France,European Region of WHO,South West Europe,2013,15,2013-04-08,2013-04-14,844,2916,0,12,38,0,46,96,13,2,73,88,184,,Sporadic

France,European Region of WHO,South West Europe,2013,16,2013-04-15,2013-04-21,512,2294,0,8,18,0,18,44,5,1,35,41,85,,Sporadic

France,European Region of WHO,South West Europe,2013,17,2013-04-22,2013-04-28,700,2330,0,0,4,0,18,22,3,0,33,36,58,,Sporadic

France,European Region of WHO,South West Europe,2013,18,2013-04-29,2013-05-05,399,1722,0,0,2,0,6,8,0,1,9,10,18,,Sporadic

France,European Region of WHO,South West Europe,2013,19,2013-05-06,2013-05-12,295,1332,0,0,2,0,0,2,0,0,4,4,6,,Sporadic

France,European Region of WHO,South West Europe,2013,20,2013-05-13,2013-05-19,403,1698,0,6,2,0,10,18,0,0,10,10,28,,No Activity

France,European Region of WHO,South West Europe,2013,21,2013-05-20,2013-05-26,337,1440,0,2,0,0,4,6,0,0,4,4,10,,No Activity

France,European Region of WHO,South West Europe,2013,22,2013-05-27,2013-06-02,302,1520,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,23,2013-06-03,2013-06-09,417,1728,0,0,0,0,2,2,0,0,0,0,2,,No Activity

France,European Region of WHO,South West Europe,2013,24,2013-06-10,2013-06-16,350,1464,0,0,0,0,2,2,0,0,2,2,4,,No Activity

France,European Region of WHO,South West Europe,2013,25,2013-06-17,2013-06-23,337,1340,0,0,0,0,2,2,0,0,2,2,4,,No Activity

France,European Region of WHO,South West Europe,2013,26,2013-06-24,2013-06-30,334,1284,0,0,0,0,2,2,0,0,0,0,2,,No Activity

France,European Region of WHO,South West Europe,2013,27,2013-07-01,2013-07-07,312,1308,0,0,0,0,2,2,0,0,0,0,2,,No Activity

France,European Region of WHO,South West Europe,2013,28,2013-07-08,2013-07-14,338,1304,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,29,2013-07-15,2013-07-21,290,1190,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,30,2013-07-22,2013-07-28,240,978,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,31,2013-07-29,2013-08-04,239,888,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,32,2013-08-05,2013-08-11,186,704,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,33,2013-08-12,2013-08-18,165,632,0,2,0,0,0,2,0,0,0,0,2,,No Activity

France,European Region of WHO,South West Europe,2013,34,2013-08-19,2013-08-25,173,720,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,35,2013-08-26,2013-09-01,153,575,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,36,2013-09-02,2013-09-08,304,1052,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,37,2013-09-09,2013-09-15,426,1426,0,0,2,0,2,4,0,0,0,0,4,,No Activity

France,European Region of WHO,South West Europe,2013,38,2013-09-16,2013-09-22,509,1822,0,0,0,0,0,0,0,0,6,6,6,,No Activity

France,European Region of WHO,South West Europe,2013,39,2013-09-23,2013-09-29,596,2130,0,0,2,0,2,4,0,0,0,0,4,,No Activity

France,European Region of WHO,South West Europe,2013,40,2013-09-30,2013-10-06,552,2270,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2013,41,2013-10-07,2013-10-13,570,2194,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

France,European Region of WHO,South West Europe,2013,42,2013-10-14,2013-10-20,661,2694,0,0,2,0,1,3,0,0,0,0,3,,No Activity

France,European Region of WHO,South West Europe,2013,43,2013-10-21,2013-10-27,698,2834,0,2,16,0,8,26,0,0,2,2,28,,Sporadic

France,European Region of WHO,South West Europe,2013,44,2013-10-28,2013-11-03,585,2512,0,20,10,0,20,50,0,0,0,0,50,,Sporadic

France,European Region of WHO,South West Europe,2013,45,2013-11-04,2013-11-10,611,2732,0,18,0,0,26,44,0,0,4,4,48,,Sporadic

France,European Region of WHO,South West Europe,2013,46,2013-11-11,2013-11-17,669,2682,0,2,2,0,4,8,0,0,0,0,8,,Sporadic

France,European Region of WHO,South West Europe,2013,47,2013-11-18,2013-11-24,763,3198,0,2,0,0,6,8,0,0,4,4,12,,Sporadic

France,European Region of WHO,South West Europe,2013,48,2013-11-25,2013-12-01,880,3404,0,2,6,0,4,12,0,0,4,4,16,,Sporadic

France,European Region of WHO,South West Europe,2013,49,2013-12-02,2013-12-08,1017,4016,0,6,12,0,16,34,0,0,2,2,36,,Sporadic

France,European Region of WHO,South West Europe,2013,50,2013-12-09,2013-12-15,1063,3956,0,20,28,0,30,78,0,0,8,8,86,,Sporadic

France,European Region of WHO,South West Europe,2013,51,2013-12-16,2013-12-22,1401,4882,0,46,42,0,68,156,0,0,6,6,162,,Sporadic

France,European Region of WHO,South West Europe,2013,52,2013-12-23,2013-12-29,1380,5136,0,36,22,0,168,226,0,0,6,6,232,,Sporadic


