Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

France,European Region of WHO,South West Europe,2015,1,2014-12-29,2015-01-04,0,4119,0,40,61,0,212,313,0,0,42,42,355,,No Report

France,European Region of WHO,South West Europe,2015,2,2015-01-05,2015-01-11,1288,6106,0,75,123,0,399,597,0,0,96,96,693,,Regional Outbreak

France,European Region of WHO,South West Europe,2015,3,2015-01-12,2015-01-18,1668,6798,0,99,220,0,677,996,0,0,149,149,1145,,Regional Outbreak

France,European Region of WHO,South West Europe,2015,4,2015-01-19,2015-01-25,1775,7763,0,131,307,0,1100,1538,0,0,182,182,1720,,Regional Outbreak

France,European Region of WHO,South West Europe,2015,5,2015-01-26,2015-02-01,2067,8886,0,139,343,0,1758,2240,0,0,292,292,2532,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,6,2015-02-02,2015-02-08,2657,11054,0,215,550,0,2606,3371,0,0,407,407,3778,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,7,2015-02-09,2015-02-15,3012,12907,0,227,748,0,3351,4326,0,0,543,543,4869,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,8,2015-02-16,2015-02-22,3388,13280,0,238,663,0,3123,4024,0,0,707,707,4731,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,9,2015-02-23,2015-03-01,3228,12131,0,176,399,0,2024,2599,0,0,803,803,3402,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,10,2015-03-02,2015-03-08,2715,9390,0,98,226,0,1044,1368,0,0,685,685,2053,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,11,2015-03-09,2015-03-15,2087,7556,0,56,116,0,547,719,0,0,566,566,1285,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,12,2015-03-16,2015-03-22,1747,6149,0,30,30,0,304,364,0,0,437,437,801,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,13,2015-03-23,2015-03-29,1434,5167,0,17,17,0,169,203,0,0,338,338,541,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,14,2015-03-30,2015-04-05,1175,4260,0,3,14,0,96,113,0,0,293,293,406,,Widespread Outbreak

France,European Region of WHO,South West Europe,2015,15,2015-04-06,2015-04-12,1051,2605,0,1,3,0,27,31,0,0,146,146,177,,Regional Outbreak

France,European Region of WHO,South West Europe,2015,16,2015-04-13,2015-04-19,730,730,0,1,1,0,5,7,0,0,27,27,34,,Local Outbreak

France,European Region of WHO,South West Europe,2015,17,2015-04-20,2015-04-26,811,811,0,0,0,0,7,7,0,0,21,21,28,,Sporadic

France,European Region of WHO,South West Europe,2015,18,2015-04-27,2015-05-03,712,712,0,0,0,0,5,5,0,0,21,21,26,,Sporadic

France,European Region of WHO,South West Europe,2015,19,2015-05-04,2015-05-10,389,389,0,0,0,0,0,0,0,0,5,5,5,,Sporadic

France,European Region of WHO,South West Europe,2015,20,2015-05-11,2015-05-17,434,434,0,1,0,0,1,2,0,0,3,3,5,,Sporadic

France,European Region of WHO,South West Europe,2015,21,2015-05-18,2015-05-24,410,410,0,0,0,0,1,1,0,0,0,0,1,,No Activity

France,European Region of WHO,South West Europe,2015,22,2015-05-25,2015-05-31,403,403,0,0,0,0,2,2,0,0,0,0,2,,Sporadic

France,European Region of WHO,South West Europe,2015,23,2015-06-01,2015-06-07,358,358,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

France,European Region of WHO,South West Europe,2015,24,2015-06-08,2015-06-14,347,347,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,25,2015-06-15,2015-06-21,417,417,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,26,2015-06-22,2015-06-28,458,458,0,0,0,0,1,1,0,0,2,2,3,,Sporadic

France,European Region of WHO,South West Europe,2015,27,2015-06-29,2015-07-05,430,430,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,28,2015-07-06,2015-07-12,417,417,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,29,2015-07-13,2015-07-19,391,391,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,30,2015-07-20,2015-07-26,333,333,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,31,2015-07-27,2015-08-02,336,336,0,0,1,0,0,1,0,0,0,0,1,,No Activity

France,European Region of WHO,South West Europe,2015,32,2015-08-03,2015-08-09,349,349,0,1,0,0,0,1,0,0,0,0,1,,No Activity

France,European Region of WHO,South West Europe,2015,33,2015-08-10,2015-08-16,289,289,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,34,2015-08-17,2015-08-23,305,305,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,35,2015-08-24,2015-08-30,319,319,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,36,2015-08-31,2015-09-06,338,338,0,0,1,0,0,1,0,0,0,0,1,,No Activity

France,European Region of WHO,South West Europe,2015,37,2015-09-07,2015-09-13,356,356,0,0,0,0,0,0,0,0,0,0,0,,No Activity

France,European Region of WHO,South West Europe,2015,38,2015-09-14,2015-09-20,346,346,0,0,0,0,0,0,0,0,1,1,1,,No Activity

France,European Region of WHO,South West Europe,2015,39,2015-09-21,2015-09-27,490,490,0,0,1,0,0,1,0,0,0,0,1,,No Activity

France,European Region of WHO,South West Europe,2015,40,2015-09-28,2015-10-04,511,1631,0,0,0,0,5,5,0,0,0,0,5,,No Activity

France,European Region of WHO,South West Europe,2015,41,2015-10-05,2015-10-11,1310,1837,0,2,7,0,18,27,0,0,3,3,30,,Sporadic

France,European Region of WHO,South West Europe,2015,42,2015-10-12,2015-10-18,1345,1992,0,3,7,0,11,21,0,0,5,5,26,,Sporadic

France,European Region of WHO,South West Europe,2015,43,2015-10-19,2015-10-25,1661,2287,0,0,0,0,4,4,0,0,5,5,9,,Sporadic

France,European Region of WHO,South West Europe,2015,44,2015-10-26,2015-11-01,1929,2576,0,0,0,0,22,22,0,0,5,5,27,,Sporadic

France,European Region of WHO,South West Europe,2015,45,2015-11-02,2015-11-08,1867,2464,0,0,0,0,16,16,0,0,4,4,20,,Sporadic

France,European Region of WHO,South West Europe,2015,46,2015-11-09,2015-11-15,1644,2296,0,2,0,0,7,9,0,0,3,3,12,,Sporadic

France,European Region of WHO,South West Europe,2015,47,2015-11-16,2015-11-22,1788,2535,0,0,0,0,11,11,0,0,2,2,13,,Sporadic

France,European Region of WHO,South West Europe,2015,48,2015-11-23,2015-11-29,1931,2900,0,0,0,0,4,4,0,2,4,6,10,,Sporadic

France,European Region of WHO,South West Europe,2015,49,2015-11-30,2015-12-06,2212,3275,0,3,0,0,11,14,0,4,8,12,26,,Sporadic

France,European Region of WHO,South West Europe,2015,50,2015-12-07,2015-12-13,2439,3689,0,2,0,0,10,12,0,7,17,24,36,,Sporadic

France,European Region of WHO,South West Europe,2015,51,2015-12-14,2015-12-20,2731,4195,0,7,4,0,23,34,0,13,22,35,69,,Sporadic

France,European Region of WHO,South West Europe,2015,52,2015-12-21,2015-12-27,2641,3589,0,7,5,0,17,29,0,6,32,38,67,,Sporadic

France,European Region of WHO,South West Europe,2015,53,2015-12-28,2016-01-03,2245,3310,0,11,0,0,24,35,0,5,31,36,71,,Sporadic


