,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,France,European Region of WHO,South West Europe,2020,1,2019-12-30,2020-01-05,,5859.0,0.0,67.0,19.0,,191.0,277.0,0.0,11.0,166.0,177.0,454.0,,No Report
1,France,European Region of WHO,South West Europe,2020,2,2020-01-06,2020-01-12,,6609.0,0.0,77.0,22.0,,265.0,364.0,2.0,15.0,171.0,188.0,552.0,,No Report
2,France,European Region of WHO,South West Europe,2020,3,2020-01-13,2020-01-19,,6539.0,0.0,117.0,18.0,,387.0,522.0,0.0,31.0,254.0,285.0,807.0,,No Report
3,France,European Region of WHO,South West Europe,2020,4,2020-01-20,2020-01-26,,7132.0,0.0,155.0,92.0,,609.0,856.0,1.0,45.0,345.0,391.0,1247.0,,No Report
4,France,European Region of WHO,South West Europe,2020,5,2020-01-27,2020-02-02,,8564.0,0.0,234.0,52.0,,1006.0,1292.0,1.0,57.0,696.0,754.0,2046.0,,No Report
5,France,European Region of WHO,South West Europe,2020,6,2020-02-03,2020-02-09,,8722.0,0.0,361.0,53.0,,950.0,1364.0,2.0,82.0,765.0,849.0,2213.0,,No Report
6,France,European Region of WHO,South West Europe,2020,7,2020-02-10,2020-02-16,,8651.0,0.0,406.0,40.0,,887.0,1333.0,1.0,36.0,806.0,843.0,2176.0,,No Report
7,France,European Region of WHO,South West Europe,2020,8,2020-02-17,2020-02-23,,7673.0,0.0,302.0,56.0,,758.0,1116.0,0.0,43.0,698.0,741.0,1857.0,,No Report
8,France,European Region of WHO,South West Europe,2020,9,2020-02-24,2020-03-01,,8313.0,0.0,306.0,42.0,,746.0,1094.0,1.0,45.0,757.0,803.0,1897.0,,No Report
9,France,European Region of WHO,South West Europe,2020,10,2020-03-02,2020-03-08,,6121.0,0.0,153.0,29.0,,308.0,490.0,0.0,26.0,347.0,373.0,863.0,,No Report
10,France,European Region of WHO,South West Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,France,European Region of WHO,South West Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,France,European Region of WHO,South West Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,France,European Region of WHO,South West Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,France,European Region of WHO,South West Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,France,European Region of WHO,South West Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,France,European Region of WHO,South West Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,France,European Region of WHO,South West Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,France,European Region of WHO,South West Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,France,European Region of WHO,South West Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,France,European Region of WHO,South West Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,France,European Region of WHO,South West Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,France,European Region of WHO,South West Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,France,European Region of WHO,South West Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,France,European Region of WHO,South West Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,France,European Region of WHO,South West Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,France,European Region of WHO,South West Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,France,European Region of WHO,South West Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,France,European Region of WHO,South West Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,France,European Region of WHO,South West Europe,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,France,European Region of WHO,South West Europe,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,France,European Region of WHO,South West Europe,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,France,European Region of WHO,South West Europe,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,France,European Region of WHO,South West Europe,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,France,European Region of WHO,South West Europe,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,France,European Region of WHO,South West Europe,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,France,European Region of WHO,South West Europe,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,France,European Region of WHO,South West Europe,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,France,European Region of WHO,South West Europe,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
39,France,European Region of WHO,South West Europe,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
40,France,European Region of WHO,South West Europe,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
41,France,European Region of WHO,South West Europe,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
42,France,European Region of WHO,South West Europe,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
43,France,European Region of WHO,South West Europe,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
44,France,European Region of WHO,South West Europe,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
45,France,European Region of WHO,South West Europe,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
46,France,European Region of WHO,South West Europe,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
47,France,European Region of WHO,South West Europe,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
48,France,European Region of WHO,South West Europe,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
49,France,European Region of WHO,South West Europe,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
50,France,European Region of WHO,South West Europe,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
51,France,European Region of WHO,South West Europe,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
52,France,European Region of WHO,South West Europe,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
53,France,European Region of WHO,South West Europe,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
54,France,European Region of WHO,South West Europe,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
55,France,European Region of WHO,South West Europe,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
56,France,European Region of WHO,South West Europe,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
57,France,European Region of WHO,South West Europe,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
58,France,European Region of WHO,South West Europe,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
59,France,European Region of WHO,South West Europe,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
60,France,European Region of WHO,South West Europe,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
61,France,European Region of WHO,South West Europe,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
62,France,European Region of WHO,South West Europe,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
63,France,European Region of WHO,South West Europe,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
64,France,European Region of WHO,South West Europe,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
65,France,European Region of WHO,South West Europe,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
66,France,European Region of WHO,South West Europe,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
67,France,European Region of WHO,South West Europe,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
68,France,European Region of WHO,South West Europe,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
69,France,European Region of WHO,South West Europe,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
70,France,European Region of WHO,South West Europe,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
71,France,European Region of WHO,South West Europe,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
72,France,European Region of WHO,South West Europe,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
