Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

French Guiana,Region of the Americas of WHO,Tropical South America,2019,1,2018-12-31,2019-01-06,6,6,,1,,,1,2,,,0,0,2,4,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,2,2019-01-07,2019-01-13,5,5,,,1,,,1,,,0,0,1,4,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,3,2019-01-14,2019-01-20,4,4,,,3,,,3,,,0,0,3,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,4,2019-01-21,2019-01-27,14,14,,3,3,,,6,,,0,0,6,8,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,5,2019-01-28,2019-02-03,10,10,,2,4,,,6,,,0,0,6,4,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,6,2019-02-04,2019-02-10,13,13,,1,6,,,7,,,0,0,7,6,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,7,2019-02-11,2019-02-17,13,13,,1,7,,,8,,,0,0,8,5,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,8,2019-02-18,2019-02-24,9,9,,2,4,,,6,,,0,0,6,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,9,2019-02-25,2019-03-03,11,11,,1,8,,,9,,,0,0,9,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,10,2019-03-04,2019-03-10,8,8,,1,6,,,7,,,0,0,7,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,11,2019-03-11,2019-03-17,12,12,,3,3,,,6,,,0,0,6,6,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,12,2019-03-18,2019-03-24,5,5,,1,3,,,4,,,0,0,4,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,13,2019-03-25,2019-03-31,11,11,,4,4,,,8,,,0,0,8,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,14,2019-04-01,2019-04-07,14,14,,3,9,,,12,,,0,0,12,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,15,2019-04-08,2019-04-14,5,5,,,3,,,3,,,0,0,3,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,16,2019-04-15,2019-04-21,5,5,,1,2,,,3,,,0,0,3,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,17,2019-04-22,2019-04-28,15,15,,2,4,,,6,,1,,1,7,8,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,18,2019-04-29,2019-05-05,28,28,,,4,,,4,,1,,1,5,23,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,19,2019-05-06,2019-05-12,25,25,,,9,,,9,,,0,0,9,16,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,20,2019-05-13,2019-05-19,31,31,,,1,,,1,,2,,2,3,28,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,21,2019-05-20,2019-05-26,16,16,,1,5,,,6,,2,,2,8,8,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,22,2019-05-27,2019-06-02,16,16,,1,9,,,10,,4,,4,14,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,23,2019-06-03,2019-06-09,23,23,,,8,,,8,,6,,6,14,9,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,24,2019-06-10,2019-06-16,23,23,,1,9,,,10,,7,,7,17,6,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,25,2019-06-17,2019-06-23,25,25,,2,11,,,13,,4,,4,17,8,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,26,2019-06-24,2019-06-30,18,18,,,7,,,7,,,0,0,7,11,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,27,2019-07-01,2019-07-07,34,34,,,10,,,10,,3,,3,13,21,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,28,2019-07-08,2019-07-14,24,24,,,1,,,1,,2,,2,3,21,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,29,2019-07-15,2019-07-21,19,19,,,2,,,2,,2,,2,4,15,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,30,2019-07-22,2019-07-28,4,4,,,,,,0,,,0,0,0,4,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,31,2019-07-29,2019-08-04,4,4,,,1,,,1,,,0,0,1,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,32,2019-08-05,2019-08-11,2,2,,,,,,0,,1,,1,1,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,33,2019-08-12,2019-08-18,0,0,,,,,,0,,,0,0,0,,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,34,2019-08-19,2019-08-25,0,0,,,,,,0,,,0,0,0,,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,35,2019-08-26,2019-09-01,2,2,,,,,,0,,,0,0,0,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,36,2019-09-02,2019-09-08,3,3,,,,,,0,,,0,0,0,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,37,2019-09-09,2019-09-15,0,0,,,,,,0,,,0,0,0,,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,38,2019-09-16,2019-09-22,2,2,,,,,,0,,,0,0,0,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,39,2019-09-23,2019-09-29,2,2,,,,,,0,,1,,1,1,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,40,2019-09-30,2019-10-06,3,3,,,,,,0,,,0,0,0,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,41,2019-10-07,2019-10-13,2,2,,,,,,0,,1,,1,1,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,42,2019-10-14,2019-10-20,5,5,,,1,,,1,,1,,1,2,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,43,2019-10-21,2019-10-27,1,1,,,,,,0,,,0,0,0,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,44,2019-10-28,2019-11-03,2,2,,,,,,0,,,0,0,0,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,45,2019-11-04,2019-11-10,2,2,,,,,,0,,1,,1,1,1,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,46,2019-11-11,2019-11-17,1,1,,,,,,0,,1,,1,1,,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,47,2019-11-18,2019-11-24,0,0,,,,,,0,,,0,0,0,,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,48,2019-11-25,2019-12-01,3,3,,,,,,0,,,0,0,0,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,49,2019-12-02,2019-12-08,5,5,,,,,,0,,1,,1,1,4,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,50,2019-12-09,2019-12-15,5,5,,,,,,0,,2,,2,2,3,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,51,2019-12-16,2019-12-22,2,2,,,,,,0,,,0,0,0,2,No Report

French Guiana,Region of the Americas of WHO,Tropical South America,2019,52,2019-12-23,2019-12-29,2,2,,1,,,,1,,,0,0,1,1,No Report


