Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Georgia,European Region of WHO,Western Asia,2018,1,2018-01-01,2018-01-07,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Georgia,European Region of WHO,Western Asia,2018,2,2018-01-08,2018-01-14,,14,0,0,0,,0,0,2,0,0,2,2,,No Report

Georgia,European Region of WHO,Western Asia,2018,3,2018-01-15,2018-01-21,,6,0,0,0,,0,0,1,0,0,1,1,,No Report

Georgia,European Region of WHO,Western Asia,2018,4,2018-01-22,2018-01-28,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Georgia,European Region of WHO,Western Asia,2018,5,2018-01-29,2018-02-04,,11,0,0,0,,0,0,0,0,0,0,0,,No Report

Georgia,European Region of WHO,Western Asia,2018,6,2018-02-05,2018-02-11,,7,0,0,0,,0,0,4,0,0,4,4,,No Report

Georgia,European Region of WHO,Western Asia,2018,7,2018-02-12,2018-02-18,,10,0,0,0,,0,0,3,0,0,3,3,,No Report

Georgia,European Region of WHO,Western Asia,2018,8,2018-02-19,2018-02-25,,5,0,2,0,,0,2,0,0,0,0,2,,No Report

Georgia,European Region of WHO,Western Asia,2018,9,2018-02-26,2018-03-04,,14,0,0,0,,0,0,1,0,0,1,1,,No Report

Georgia,European Region of WHO,Western Asia,2018,10,2018-03-05,2018-03-11,,8,0,0,0,,0,0,3,0,0,3,3,,No Report

Georgia,European Region of WHO,Western Asia,2018,11,2018-03-12,2018-03-18,,12,0,0,0,,0,0,2,0,0,2,2,,No Report

Georgia,European Region of WHO,Western Asia,2018,12,2018-03-19,2018-03-25,,5,0,0,0,,0,0,1,0,0,1,1,,No Report

Georgia,European Region of WHO,Western Asia,2018,13,2018-03-26,2018-04-01,,7,0,1,0,,0,1,0,0,0,0,1,,No Report

Georgia,European Region of WHO,Western Asia,2018,14,2018-04-02,2018-04-08,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Georgia,European Region of WHO,Western Asia,2018,15,2018-04-09,2018-04-15,,3,0,0,0,,0,0,1,0,0,1,1,,No Report

Georgia,European Region of WHO,Western Asia,2018,16,2018-04-16,2018-04-22,,8,0,0,0,,0,0,0,0,0,0,0,,No Report

Georgia,European Region of WHO,Western Asia,2018,17,2018-04-23,2018-04-29,,9,0,0,0,,0,0,2,0,0,2,2,,No Report

Georgia,European Region of WHO,Western Asia,2018,18,2018-04-30,2018-05-06,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Georgia,European Region of WHO,Western Asia,2018,19,2018-05-07,2018-05-13,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

